cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI,shadow_loss,length(leaf_aging),leaf_aging
0,0,0.0,1.0,1.3929479114291774,0.0,0.2,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00002033703950687,0.0,1,[1.3929479114291774]
24,1,0.0,1.0,1.3929479114291774,0.0,0.2,0.005,0.001,0.0,1.0,1.3929479114291774,0.0,0.2,0.005,0.001,-0.025,0.063,-0.00278589582285835,0.0,0.0,0.0,0.0,0.00002033703950687,0.09642499999999998,1,[1.3929479114291774]
48,2,0.025,0.937,1.3957338072520358,0.0,0.2,0.005,0.001,0.0,1.0,1.3929479114291774,0.0,0.2,0.005,0.001,-0.03015,0.061425,-0.00296140725969842,0.0,0.0,0.0,0.0,0.00002037771358588,0.09642499999999998,1,[1.3929479114291774]
72,3,0.05515,0.8755750000000001,1.3986952145117342,0.0,0.2,0.005,0.001,0.025,0.937,1.3957338072520358,0.0,0.2,0.005,0.001,-0.0312109,0.05555655000000001,-0.00297246448021937,0.0,0.0,0.0,0.0,0.00002042095013187,0.09642499999999998,1,[1.3929479114291774]
96,4,0.0863609,0.8200184500000001,1.4016676789919535,0.0,0.2,0.005,0.001,0.05515,0.8755750000000001,1.3986952145117342,0.0,0.2,0.005,0.001,-0.0314294454,0.0497204883,-0.00297316108511216,0.0,0.0,0.0,0.0,0.00002046434811328,0.09642499999999998,1,[1.3929479114291774]
120,5,0.1177903454,0.7702979617000001,1.4046408400770658,0.0,0.2,0.005,0.001,0.0863609,0.8200184500000001,1.4016676789919535,0.0,0.2,0.005,0.001,-0.0314744657524,0.0442403705898,-0.00297320497122044,0.0,0.0,0.0,0.0,0.00002050775626513,0.09642499999999998,1,[1.3929479114291774]
144,6,0.14926481115239998,0.7260575911102001,1.4076140450482861,0.0,0.2,0.005,0.001,0.1177903454,0.7702979617000001,1.4046408400770658,0.0,0.2,0.005,0.001,-0.0314837399449944,0.0391250884844988,-0.00297320773604524,0.0,0.0,0.0,0.0,0.0000205511650577,0.09642499999999998,1,[1.3929479114291774]
168,7,0.18074855109739438,0.6869325026257013,1.4105872527843313,0.0,0.2,0.005,0.001,0.14926481115239998,0.7260575911102001,1.4076140450482861,0.0,0.2,0.005,0.001,-0.03148565042866885,0.03435446952080676,-0.0029732079102292,0.0,0.0,0.0,0.0,0.00002059457389065,0.09642499999999998,1,[1.3929479114291774]
192,8,0.21223420152606323,0.6525780331048945,1.4135604606945604,0.0,0.2,0.005,0.001,0.18074855109739438,0.6869325026257013,1.4105872527843313,0.0,0.2,0.005,0.001,-0.03148604398830579,0.0299059929692772,-0.00297320792120279,0.0,0.0,0.0,0.0,0.00002063798272614,0.09642499999999998,1,[1.3929479114291774]
216,9,0.24372024551436902,0.6226720401356173,1.4165336686157632,0.0,0.2,0.005,0.001,0.21223420152606323,0.6525780331048945,1.4135604606945604,0.0,0.2,0.005,0.001,-0.03148612506159099,0.0257580406182031,-0.00297320792189413,0.0,0.0,0.0,0.0,0.00002068139156179,0.09642499999999998,1,[1.3929479114291774]
240,10,0.27520637057596004,0.5969139995174142,1.4195068765376573,0.0,0.2,0.005,0.001,0.24372024551436902,0.6226720401356173,1.4165336686157632,0.0,0.2,0.005,0.001,-0.03148614176268775,0.02189033718225841,-0.00297320792193768,0.0,0.0,0.0,0.0,0.00002072480039745,0.09642499999999998,1,[1.3929479114291774]
264,11,0.3066925123386478,0.5750236623351558,1.422480084459595,0.0,0.2,0.005,0.001,0.27520637057596004,0.5969139995174142,1.4195068765376573,0.0,0.2,0.005,0.001,-0.03148614520311369,0.01828395369226228,-0.00297320792194044,0.0,0.0,0.0,0.0,0.00002076820923311,0.09642499999999998,1,[1.3929479114291774]
288,12,0.33817865754176146,0.5567397086428935,1.4254532923815355,0.0,0.2,0.005,0.001,0.3066925123386478,0.5750236623351558,1.422480084459595,0.0,0.2,0.005,0.001,-0.03148614591184141,0.01492123530198384,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00002081161806877,0.09642499999999998,1,[1.3929479114291774]
312,13,0.36966480345360286,0.5418184733409096,1.4284265003034762,0.0,0.2,0.005,0.001,0.33817865754176146,0.5567397086428935,1.4254532923815355,0.0,0.2,0.005,0.001,-0.03148614605783933,0.01178571902692531,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002085502690443,0.09642499999999998,1,[1.3929479114291774]
336,14,0.4011509495114422,0.5300327543139843,1.4313997082254168,0.0,0.2,0.005,0.001,0.36966480345360286,0.5418184733409096,1.4284265003034762,0.0,0.2,0.005,0.001,-0.03148614608791491,0.00886205400125644,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002089843574009,0.09642499999999998,1,[1.3929479114291774]
360,15,0.4326370955993571,0.5211707003127279,1.4343729161473575,0.0,0.2,0.005,0.001,0.4011509495114422,0.5300327543139843,1.4313997082254168,0.0,0.2,0.005,0.001,-0.03148614609411047,0.00613592649902152,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002094184457575,0.09642499999999998,1,[1.3929479114291774]
384,16,0.4641232416934676,0.5150347738137064,1.4373461240692982,0.0,0.2,0.005,0.001,0.4326370955993571,0.5211707003127279,1.4343729161473575,0.0,0.2,0.005,0.001,-0.03148614609538677,0.0035939898930134,-0.00297320792194061,0.0,0.0,0.0,0.0,0.00002098525341141,0.09642499999999998,1,[1.3929479114291774]
408,17,0.4956093877888543,0.511440783920693,1.4403193319912388,0.0,0.2,0.005,0.001,0.4641232416934676,0.5150347738137064,1.4373461240692982,0.0,0.2,0.005,0.001,-0.03148614609564967,0.00122379931956568,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002102866224707,0.09642499999999998,1,[1.3929479114291774]
