cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',length(leaf_proportion),leaf_proportion
0,0,-0.00295010860402994,0.01989916393041247,0.5,1.0,0.00053628494590023,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00053628494590023,0.01608783333041247,0.0038113306,0.0,0.0,0.0019056653,0.00804391666520623,-0.025,0.063,-0.00278589582285835,0.0,0.0019056653,0.00804391666520623,0.00026814247295012,1,[0.063]
1,1,-0.00295010860402994,0.01989916393041247,0.0,1.0,0.00053628494590023,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00053628494590023,0.01608783333041247,0.0038113306,0.0,0.0,0.0,0.0,-0.025,0.063,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.126]
2,2,-0.00295010860402994,0.01989916393041247,0.0,1.0,0.00053628494590023,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00053628494590023,0.01608783333041247,0.0038113306,0.0,0.0,0.0,0.0,-0.025,0.063,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.189]
3,3,-0.00295010860402994,0.01989916393041247,0.0,1.0,0.00053628494590023,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00053628494590023,0.01608783333041247,0.0038113306,0.0,0.0,0.0,0.0,-0.025,0.063,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.252]
4,4,-0.00241301230690227,0.06580016116692755,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00054432922008874,0.05319731168956036,0.01260284947736719,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.315945]
5,5,-0.00241301230690227,0.06580016116692755,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00054432922008874,0.05319731168956036,0.01260284947736719,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.37988999999999995]
6,6,-0.00251396412098063,0.0620961785846833,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00054432922008874,0.05020276103153876,0.01189341755314453,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.4438349999999999]
7,7,-0.00251396412098063,0.0620961785846833,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00054432922008874,0.05020276103153876,0.01189341755314453,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.5077799999999999]
8,8,-0.00261837047525855,0.05839219600243902,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00054432922008874,0.04720821037351715,0.01118398562892187,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.5717249999999999]
9,9,-0.00261837047525855,0.05839219600243902,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00054432922008874,0.04720821037351715,0.01118398562892187,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.63567]
10,10,-0.00261837047525855,0.05839219600243902,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00054432922008874,0.04720821037351715,0.01118398562892187,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.699615]
11,11,-0.00261837047525855,0.05839219600243902,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00054432922008874,0.04720821037351715,0.01118398562892187,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.76356]
12,12,-0.00283802370287233,0.05098423083795049,0.0,1.0,0.00054432922008874,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00054432922008874,0.04121910905747393,0.00976512178047656,0.0,0.0,0.0,0.0,-0.025,0.09642499999999998,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.859985]
13,13,-0.00283802370287233,0.05098423083795049,0.0,1.0,0.00054432922008874,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00054432922008874,0.04121910905747393,0.00976512178047656,0.0,0.0,0.0,0.0,-0.025,0.09642499999999998,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[0.95641]
14,14,-0.00283802370287233,0.05098423083795049,0.0,1.0,0.00054432922008874,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00054432922008874,0.04121910905747393,0.00976512178047656,0.0,0.0,0.0,0.0,-0.025,0.09642499999999998,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.052835]
15,15,-0.00283802370287233,0.05098423083795049,0.0,1.0,0.00054432922008874,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00054432922008874,0.04121910905747393,0.00976512178047656,0.0,0.0,0.0,0.0,-0.025,0.09642499999999998,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.14926]
16,16,-0.00283802370287233,0.05098423083795049,0.0,1.0,0.00054432922008874,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00054432922008874,0.04121910905747393,0.00976512178047656,0.0,0.0,0.0,0.0,-0.025,0.09642499999999998,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.245685]
17,17,-0.00283802370287233,0.05098423083795049,0.0,1.0,0.00054432922008874,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00054432922008874,0.04121910905747393,0.00976512178047656,0.0,0.0,0.0,0.0,-0.025,0.09642499999999998,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.34211]
18,18,-0.00283802370287233,0.05098423083795049,0.0,1.0,0.00054432922008874,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00054432922008874,0.04121910905747393,0.00976512178047656,0.0,0.0,0.0,0.0,-0.025,0.09642499999999998,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.438535]
19,19,-0.00261837047525855,0.05839219600243902,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00054432922008874,0.04720821037351715,0.01118398562892187,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.5024799999999998]
20,20,-0.00261837047525855,0.05839219600243902,0.0,1.0,0.00054432922008874,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00054432922008874,0.04720821037351715,0.01118398562892187,0.0,0.0,0.0,0.0,-0.025,0.06394499999999999,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.5664249999999997]
21,21,-0.00315546677238622,0.01765886070645874,0.0,1.0,0.00053628494590023,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00053628494590023,0.01427662030645874,0.0033822404,0.0,0.0,0.0,0.0,-0.025,0.063,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.6294249999999997]
22,22,-0.00315546677238622,0.01765886070645874,0.0,1.0,0.00053628494590023,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00053628494590023,0.01427662030645874,0.0033822404,0.0,0.0,0.0,0.0,-0.025,0.063,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.6924249999999996]
23,23,-0.00315546677238622,0.01765886070645874,0.0,1.0,0.00053628494590023,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00053628494590023,0.01427662030645874,0.0033822404,0.0,0.0,0.0,0.0,-0.025,0.063,-0.00278589582285835,0.0,0.0,0.0,0.0,1,[1.7554249999999996]
24,0,-0.00295010860402994,0.02010372576927329,0.0,1.0,0.00053735751579203,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00053735751579203,0.01612000899707329,0.0035712167722,0.0004125,0.0,0.0,0.0,-0.03015,0.061425,-0.00296140725969842,0.0,0.0,0.0,0.0,1,[0.063]
