cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
0,0,0.0,1.0,3.953634411343346,0.05,1.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02886153120280643
24,1,0.0,1.0,3.953634411343346,0.05,1.5,0.05,0.5,0.0,1.0,3.953634411343346,0.05,1.5,0.05,0.5,-0.025,0.126,-0.02,0.0,0.0,0.0,0.0,0.02886153120280643
48,2,0.025,0.874,3.973634411343346,0.05,1.5,0.05,0.5,0.0,1.0,3.953634411343346,0.05,1.5,0.05,0.5,-0.03015,0.12285,-0.02251999999999997,0.0,0.0,0.0,0.0,0.02900753120280643
72,3,0.05515,0.75115,3.9961544113433463,0.05,1.5,0.05,0.5,0.025,0.874,3.973634411343346,0.05,1.5,0.05,0.5,-0.0312109,0.10317509999999999,-0.02283752000000004,0.0,0.0,0.0,0.0,0.02917192720280643
96,4,0.0863609,0.6479749,4.018991931343346,0.05,1.5,0.05,0.5,0.05515,0.75115,3.9961544113433463,0.05,1.5,0.05,0.5,-0.0314294454,0.0837634266,-0.02287752752000003,0.0,0.0,0.0,0.0,0.02933864109880643
120,5,0.1177903454,0.5642114734,4.041869458863347,0.05,1.5,0.05,0.5,0.0863609,0.6479749,4.018991931343346,0.05,1.5,0.05,0.5,-0.0314744657524,0.06680325387960001,-0.02288256846752,0.0,0.0,0.0,0.0,0.02950564704970243
144,6,0.14926481115239998,0.4974082195204,4.064752027330867,0.05,1.5,0.05,0.5,0.1177903454,0.5642114734,4.041869458863347,0.05,1.5,0.05,0.5,-0.0314837399449944,0.05228327944319759,-0.02288320362690764,0.0,0.0,0.0,0.0,0.02967268979951533
168,7,0.18074855109739438,0.4451249400772024,4.087635230957774,0.05,1.5,0.05,0.5,0.14926481115239998,0.4974082195204,4.064752027330867,0.05,1.5,0.05,0.5,-0.03148565042866885,0.03989911822129871,-0.02288328365699031,0.0,0.0,0.0,0.0,0.02983973718599175
192,8,0.21223420152606323,0.40522582185590367,4.110518514614765,0.05,1.5,0.05,0.5,0.18074855109739438,0.4451249400772024,4.087635230957774,0.05,1.5,0.05,0.5,-0.03148604398830579,0.02934423305744353,-0.02288329374078078,0.0,0.0,0.0,0.0,0.03000678515668779
216,9,0.24372024551436902,0.3758815887984601,4.133401808355545,0.05,1.5,0.05,0.5,0.21223420152606323,0.40522582185590367,4.110518514614765,0.05,1.5,0.05,0.5,-0.03148612506159099,0.02034970261903337,-0.02288329501133833,0.0,0.0,0.0,0.0,0.03017383320099548
