cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
0,0,-0.02278539165714183,0.14842133555605347,0.5,1.0,0.00152214924836719,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00456644774510157,0.13698734375605348,0.0114339918,0.0,0.0,0.0057169959,0.06849367187802674,-0.025,0.126,-0.02,0.0,0.00571699590000008,0.06849367187802674,0.00076107462418359
1,1,-0.02278539165714183,0.14842133555605347,0.0,1.0,0.00152214924836719,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00456644774510157,0.13698734375605348,0.0114339918,0.0,0.0,0.0,0.0,-0.025,0.126,-0.02,0.0,0.0,0.0,0.0
2,2,-0.02278539165714183,0.14842133555605347,0.0,1.0,0.00152214924836719,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00456644774510157,0.13698734375605348,0.0114339918,0.0,0.0,0.0,0.0,-0.025,0.126,-0.02,0.0,0.0,0.0,0.0
3,3,-0.02278539165714183,0.14842133555605347,0.0,1.0,0.00152214924836719,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00456644774510157,0.13698734375605348,0.0114339918,0.0,0.0,0.0,0.0,-0.025,0.126,-0.02,0.0,0.0,0.0,0.0
4,4,0.7354612693219633,0.49078181547482347,0.0,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00463494446127809,0.4529732670427219,0.03780854843210155,0.0,0.0,0.0,0.0,-0.025,0.12788999999999998,-0.02,0.0,0.0,0.0,0.0
5,5,0.7354612693219633,0.49078181547482347,1.4985503662364028,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00463494446127809,0.4529732670427219,0.03780854843210155,0.0,0.0,0.05665801409979256,0.6788032552221708,-0.025,0.12788999999999998,-0.02,0.0,0.05665801409979254,0.6788032552221708,0.00231523257331122
6,6,0.7346815601888378,0.46315502453749907,1.4985503662364028,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00463494446127809,0.4274747718780655,0.0356802526594336,0.0,0.0,0.05346865569020161,0.6405924759546978,-0.025,0.12788999999999998,-0.02,0.0,0.05346865569020154,0.6405924759546978,0.00231523257331122
7,7,0.7346815601888378,0.46315502453749907,1.586254107730952,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00463494446127809,0.4274747718780655,0.0356802526594336,0.0,0.0,0.05659794734590477,0.6780836128429331,-0.025,0.12788999999999998,-0.02,0.0,0.05659794734590484,0.6780836128429331,0.00245073323026906
8,8,0.7338751696476667,0.43552823360017456,1.586254107730952,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00463494446127809,0.4019762767134089,0.03355195688676563,0.0,0.0,0.05322192943404378,0.6376365201470388,-0.025,0.12788999999999998,-0.02,0.0,0.05322192943404369,0.6376365201470388,0.00245073323026906
9,9,0.7338751696476667,0.43552823360017456,1.6850231811179937,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00463494446127809,0.4019762767134089,0.03355195688676563,0.0,0.0,0.05653582512607159,0.6773393445215952,-0.025,0.12788999999999998,-0.02,0.0,0.05653582512607169,0.6773393445215952,0.00260332962014934
10,10,0.7338751696476667,0.43552823360017456,1.6850231811179937,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00463494446127809,0.4019762767134089,0.03355195688676563,0.0,0.0,0.05653582512607159,0.6773393445215952,-0.025,0.12788999999999998,-0.02,0.0,0.05653582512607169,0.6773393445215952,0.00260332962014934
11,11,0.7338751696476667,0.43552823360017456,1.6850231811179937,1.0,0.0015449814870927,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00463494446127809,0.4019762767134089,0.03355195688676563,0.0,0.0,0.05653582512607159,0.6773393445215952,-0.025,0.12788999999999998,-0.02,0.0,0.05653582512607169,0.6773393445215952,0.00260332962014934
12,12,0.732178660979105,0.3802746517255255,1.6850231811179937,1.0,0.0015449814870927,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00463494446127809,0.3509792863840958,0.02929536534142968,0.0,0.0,0.04936336969962966,0.5914082336494524,-0.025,0.19284999999999997,-0.02,0.0,0.04936336969962962,0.5914082336494524,0.00260332962014934
13,13,0.732178660979105,0.3802746517255255,1.9253943371107909,1.0,0.0015449814870927,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00463494446127809,0.3509792863840958,0.02929536534142968,0.0,0.0,0.05640513053198044,0.6757735304471246,-0.025,0.19284999999999997,-0.02,0.0,0.05640513053198037,0.6757735304471246,0.00297469860618929
14,14,0.732178660979105,0.3802746517255255,1.9253943371107909,1.0,0.0015449814870927,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00463494446127809,0.3509792863840958,0.02929536534142968,0.0,0.0,0.05640513053198044,0.6757735304471246,-0.025,0.19284999999999997,-0.02,0.0,0.05640513053198037,0.6757735304471246,0.00297469860618929
