cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI,,currentState'N_L',prevState'N_L',d_Int'N_L',,length(leaf_aging),leaf_aging,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,4.686940752,0,1.5,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061586401,,4.686940752,0,0,,1,4.686940752,,,,,,,,,,,,,,,,,,,,,
24,1,0,1,4.686940752,0,1.5,0.5,0.9,0,1,4.686940752,0,1.5,0.5,0.9,-0.025,0.126,-0.93738815,0,0,0,0,0.061586401,,4.686940752,4.686940752,-0.93738815,,1,4.686940752,,,,,,,,,,,,,,,,,,,,,
48,2,0.025,0.874,5.624328902,0,1.5,0.5,0.9,0,1,4.686940752,0,1.5,0.5,0.9,-0.03015,0.12285,-1.242976687,0,0,0,0,0.073903682,,5.624328902,4.686940752,-1.242976687,,2,4.686940752,0.93738815,,,,,5.624328902,,,,,,,,,,,,,,,
72,3,0.05515,0.75115,6.86730559,0,1.5,0.5,0.9,0.025,0.874,5.624328902,0,1.5,0.5,0.9,-0.0312109,0.1031751,-1.530076181,0,0,0,0,0.090236395,,6.86730559,5.624328902,-1.530076181,,3,4.992529289,1.687298671,0.18747763,,,,6.86730559,,,,,,,,,,,,,,,
96,4,0.0863609,0.6479749,8.39738177,0,1.5,0.5,0.9,0.05515,0.75115,6.86730559,0,1.5,0.5,0.9,-0.031429445,0.083763427,-1.872265953,0,0,0,0,0.110341596,,8.39738177,6.86730559,-1.872265953,,4,5.524099612,2.348344794,0.487441838,0.037495526,,,,,,,,,,,,,,,,,,
120,5,0.117790345,0.564211473,10.26964772,0,1.5,0.5,0.9,0.0863609,0.6479749,8.39738177,0,1.5,0.5,0.9,-0.031474466,0.066803254,-2.289835055,0,0,0,0,0.134943171,,10.26964772,8.39738177,-2.289835055,,5,6.291545642,2.983495758,0.859622429,0.127484788,0.007499105,,,,,,,,,,,,,,,,,
144,6,0.149264811,0.49740822,12.55948278,0,1.5,0.5,0.9,0.117790345,0.564211473,10.26964772,0,1.5,0.5,0.9,-0.03148374,0.052283279,-2.800415772,0,0,0,0,0.165031604,,12.55948278,10.26964772,-2.800415772,,6,7.323071569,3.645105735,1.284397095,0.273912317,0.031496242,0.001499821,,,,,,,,,,,,,,,,
168,7,0.180748551,0.44512494,15.35989855,0,1.5,0.5,0.9,0.149264811,0.49740822,12.55948278,0,1.5,0.5,0.9,-0.03148565,0.039899118,-3.424832097,0,0,0,0,0.201829067,,15.35989855,12.55948278,-3.424832097,,7,8.658873027,4.380698902,1.756538823,0.476009272,0.079979457,0.007499105,0.000299964,,,,,,,,,,,,,,,
192,8,0.212234202,0.405225822,18.78473065,0,1.5,0.5,0.9,0.180748551,0.44512494,15.35989855,0,1.5,0.5,0.9,-0.031486044,0.029344233,-4.188474974,0,0,0,0,0.246831361,,18.78473065,15.35989855,-4.188474974,,8,10.35193052,5.236333727,2.281370839,0.732115182,0.15918542,0.021995176,0.001739792,5.99928E-05,,,,,,,,,,,,,,
216,9,0.243720246,0.375881589,22.97320562,0,1.5,0.5,0.9,0.212234202,0.405225822,18.78473065,0,1.5,0.5,0.9,-0.031486125,0.020349703,-5.122388971,0,0,0,0,0.301867922,,22.97320562,18.78473065,-5.122388971,,9,12.47001939,6.259453085,2.872363416,1.041966314,0.273771372,0.049433224,0.005790869,0.000395953,1.19986E-05,,,,,,,,,,,,,
240,10,0.275206371,0.355531886,28.09559459,0,1.5,0.5,0.9,0.243720246,0.375881589,22.97320562,0,1.5,0.5,0.9,-0.031486142,0.012685077,-6.264539929,0,0,0,0,0.369176113,,28.09559459,22.97320562,-6.264539929,,10,15.09840448,7.501566346,3.54978135,1.408045734,0.427410361,0.094300854,0.01451934,0.001474936,8.87894E-05,2.39971E-06,,,,,,,,,,,,
264,11,0.306692512,0.342846809,34.36013452,0,1.5,0.5,0.9,0.275206371,0.355531886,28.09559459,0,1.5,0.5,0.9,-0.031486145,0.006153761,-7.661358935,0,0,0,0,0.451492168,,34.36013452,28.09559459,-7.661358935,,11,18.34326351,9.020933973,4.340138349,1.836392857,0.623537435,0.160922755,0.030475643,0.004083817,0.000366019,1.96777E-05,4.79943E-07,,,,,,,,,,,
288,12,0.338178658,0.336693048,42.02149346,0,1.5,0.5,0.9,0.306692512,0.342846809,34.36013452,0,1.5,0.5,0.9,-0.031486146,0.000588187,-9.369629917,0,0,0,0,0.552162424,,42.02149346,34.36013452,-9.369629917,,12,22.33596975,10.88539988,5.276297474,2.337141956,0.86610852,0.253445691,0.056565065,0.009362182,0.001109578,8.89459E-05,4.31948E-06,9.59885E-08,,,,,,,,,,
312,13,0.369664803,0.336104861,51.39112337,0,1.5,0.5,0.9,0.338178658,0.336693048,42.02149346,0,1.5,0.5,0.9,-0.031486146,-0.004154441,-11.45879804,0,0,0,0,0.675279361,,51.39112337,42.02149346,-11.45879804,,13,27.23840572,13.17551385,6.398117956,2.924973059,1.160315207,0.375978257,0.095941191,0.018802759,0.002760099,0.000293072,2.12448E-05,9.40688E-07,1.91977E-08,,,,,,,,,
336,14,0.40115095,0.340259302,62.84992142,0,1.5,0.5,0.9,0.369664803,0.336104861,51.39112337,0,1.5,0.5,0.9,-0.031486146,-0.008195807,-14.01379284,0,0,0,0,0.825847967,,62.84992142,51.39112337,-14.01379284,,14,33.24952262,15.98809223,7.753597135,3.619602039,1.513246778,0.532845647,0.151948604,0.034230445,0.005968631,0.000786478,7.56103E-05,5.0015E-06,2.03496E-07,3.83954E-09,,,,,,,,
360,15,0.432637096,0.348455109,76.86371426,0,1.5,0.5,0.9,0.40115095,0.340259302,62.84992142,0,1.5,0.5,0.9,-0.031486146,-0.011639602,-17.13848075,0,0,0,0,1.009989205,,76.86371426,62.84992142,-17.13848075,,15,40.61341093,19.4403783,9.400496154,4.446401058,1.93451783,0.728925873,0.228128013,0.057774077,0.011620994,0.001822908,0.000217784,1.91233E-05,1.1631E-06,4.37708E-08,7.67908E-10,,,,,,,
384,16,0.464123242,0.360094711,94.00219501,0,1.5,0.5,0.9,0.432637096,0.348455109,76.86371426,0,1.5,0.5,0.9,-0.031486146,-0.014574185,-20.95988758,0,0,0,0,1.235188842,,94.00219501,76.86371426,-20.95988758,,16,49.62920949,23.67498483,11.40847258,5.437220077,2.436894475,0.970044264,0.328287585,0.091844864,0.02085161,0.003782525,0.000538809,5.88554E-05,4.75513E-06,2.67636E-07,9.36848E-09,1.53582E-10,,,,,,
