cycle,int(cycle / 24),length(leaf_proportion),sum(leaf_proportion),leaf_proportion,,,,,,,,,
0,0,1,0.091978833,0.091978833,,,,,,,,,
1,0,1,0.091978833,0.091978833,,,,,,,,,
2,0,1,0.091978833,0.091978833,,,,,,,,,
3,0,1,0.091978833,0.091978833,,,,,,,,,
4,0,1,0.091978833,0.091978833,,,,,,,,,
5,0,1,0.091978833,0.091978833,,,,,,,,,
6,0,1,0.091978833,0.091978833,,,,,,,,,
7,0,1,0.091978833,0.091978833,,,,,,,,,
8,0,1,0.091978833,0.091978833,,,,,,,,,
9,0,1,0.091978833,0.091978833,,,,,,,,,
10,0,1,0.091978833,0.091978833,,,,,,,,,
11,0,1,0.091978833,0.091978833,,,,,,,,,
12,0,1,0.091978833,0.091978833,,,,,,,,,
13,0,1,0.091978833,0.091978833,,,,,,,,,
14,0,1,0.091978833,0.091978833,,,,,,,,,
15,0,1,0.091978833,0.091978833,,,,,,,,,
16,0,1,0.091978833,0.091978833,,,,,,,,,
17,0,1,0.091978833,0.091978833,,,,,,,,,
18,0,1,0.091978833,0.091978833,,,,,,,,,
19,0,1,0.091978833,0.091978833,,,,,,,,,
20,0,1,0.091978833,0.091978833,,,,,,,,,
21,0,1,0.091978833,0.091978833,,,,,,,,,
22,0,1,0.091978833,0.091978833,,,,,,,,,
23,0,1,0.091978833,0.091978833,,,,,,,,,
24,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
25,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
26,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
27,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
28,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
29,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
30,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
31,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
32,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
33,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
34,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
35,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
36,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
37,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
38,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
39,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
40,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
41,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
42,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
43,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
44,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
45,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
46,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
47,1,2,0.09381841,0.091978833,0.001839577,,,,,,,,
48,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
49,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
50,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
51,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
52,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
53,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
54,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
55,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
56,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
57,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
58,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
59,2,3,0.095810672,0.092131518,0.003642362,3.67915E-05,,,,,,,
