cycle,hour,int(cycle / 24),prev_value,value,pl_total,chg,length(leaf_proportion),sum(leaf_proportion),leaf_proportion,,,,,,,,,
0,0,0,0.289733325,0.289733325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
1,1,0,0.289733325,0.289733325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
2,2,0,0.289733325,0.289733325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
3,3,0,0.289733325,0.289733325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
4,4,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
5,5,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
6,6,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
7,7,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
8,8,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
9,9,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
10,10,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
11,11,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
12,12,0,0.443452951,0.443452951,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
13,13,0,0.443452951,0.443452951,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
14,14,0,0.443452951,0.443452951,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
15,15,0,0.443452951,0.443452951,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
16,16,0,0.443452951,0.443452951,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
17,17,0,0.443452951,0.443452951,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
18,18,0,0.443452951,0.443452951,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
19,19,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
20,20,0,0.294079325,0.294079325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
21,21,0,0.289733325,0.289733325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
22,22,0,0.289733325,0.289733325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
23,23,0,0.289733325,0.289733325,0.091978833,-0.091978833,1,0.091978833,0.091978833,,,,,,,,,
24,0,1,0.289733325,0.295527992,0.09381841,-0.099613077,2,0.09381841,0.091978833,0.001839577,,,,,,,,
25,1,1,0.289733325,0.295527992,0.09381841,-0.099613077,2,0.09381841,0.091978833,0.001839577,,,,,,,,
