cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
0,0,0.0,1.0,2.1700317600175794,0.05,1.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
24,1,0.0,1.0,2.1700317600175794,0.05,1.5,0.05,0.5,0.0,1.0,2.1700317600175794,0.05,1.5,0.05,0.5,-0.025,0.126,-0.02,0.0,-0.00321699598701031,-0.0211544953444281,-0.00039732223550839,0.0025
48,2,0.025,0.874,2.1900317600175794,0.05,1.5032169959870103,0.07115449534442811,0.5003973222355084,0.0,1.0,2.1700317600175794,0.05,1.5,0.05,0.5,-0.03015,0.12285,-0.02252000000000002,-0.00019930906647421,-0.00607359316737011,-0.02435619018624542,-0.00040739363992877,0.00125099330558877
72,3,0.05515,0.75115,2.2125517600175795,0.05019930906647421,1.5092905891543804,0.09551068553067353,0.5008047158754372,0.025,0.874,2.1900317600175794,0.05,1.5032169959870103,0.07115449534442811,0.5003973222355084,-0.0312109,0.10317509999999999,-0.02283751999999998,-0.00048797410812898,-0.00856909567208652,-0.02534352735842464,-0.00041836085210403,0.00062650334696746
96,4,0.0863609,0.6479749,2.2353892800175794,0.05068728317460319,1.517859684826467,0.12085421288909817,0.5012230767275412,0.05515,0.75115,2.2125517600175795,0.05019930906647421,1.5092905891543804,0.09551068553067353,0.5008047158754372,-0.0314294454,0.0837634266,-0.02287752752000003,-0.0008110407794232,-0.01075467564140209,-0.02604126089599311,-0.00042912907784793,0.00031401793514713
120,5,0.1177903454,0.5642114734,2.2582668075375794,0.05149832395402638,1.528614360467869,0.14689547378509127,0.5016522058053892,0.0863609,0.6479749,2.2353892800175794,0.05068728317460319,1.517859684826467,0.12085421288909817,0.5012230767275412,-0.0314744657524,0.06680325387960001,-0.02288256846752,-0.00114979451973948,-0.01268447691989039,-0.02668745686793697,-0.00043961468236706,0.00015752778982901
144,6,0.14926481115239998,0.4974082195204,2.281149376005099,0.05264811847376587,1.5412988373877594,0.17358293065302824,0.5020918204877562,0.1177903454,0.5642114734,2.2582668075375794,0.05149832395402638,1.528614360467869,0.14689547378509127,0.5016522058053892,-0.0314837399449944,0.05228327944319759,-0.02288320362690747,-0.00149839875185279,-0.01440796166367497,-0.02731420526894541,-0.00044985698882322,0.00007909341477266
168,7,0.18074855109739438,0.4451249400772024,2.3040325796320067,0.05414651722561866,1.5557067990514344,0.20089713592197364,0.5025416774765795,0.14926481115239998,0.4974082195204,2.281149376005099,0.05264811847376587,1.5412988373877594,0.17358293065302824,0.5020918204877562,-0.03148565042866885,0.03989911822129871,-0.02288328365699037,-0.00185492758842064,-0.01596909296527538,-0.02792839805828631,-0.00045990949979464,0.0000397477373372
192,8,0.21223420152606323,0.40522582185590367,2.3269158632889972,0.0560014448140393,1.5716758920167098,0.22882553398025995,0.5030015869763742,0.18074855109739438,0.4451249400772024,2.3040325796320067,0.05414651722561866,1.5557067990514344,0.20089713592197364,0.5025416774765795,-0.03148604398830579,0.02934423305744353,-0.02288329374078078,-0.00221863561894403,-0.01740665982750289,-0.028533815418745,-0.00046982690442629,0.00001999317495933
216,9,0.24372024551436902,0.3758815887984601,2.349799157029778,0.05822008043298332,1.5890825518442127,0.25735934939900496,0.5034714138808005,0.21223420152606323,0.40522582185590367,2.3269158632889972,0.0560014448140393,1.5716758920167098,0.22882553398025995,0.5030015869763742,-0.03148612506159099,0.02034970261903337,-0.02288329501133838,-0.00258920188200373,-0.01875478544854148,-0.02913380349125079,-0.00047966310381065,0.00001006599206474
240,10,0.27520637057596004,0.35553188617942677,2.3726824520411163,0.06080928231498706,1.6078373372927541,0.28649315289025573,0.5039510769846112,0.24372024551436902,0.3758815887984601,2.349799157029778,0.05822008043298332,1.5890825518442127,0.25735934939900496,0.5034714138808005,-0.03148614176268775,0.01268507749603501,-0.02288329517142866,-0.00296652412017123,-0.0200434480342131,-0.02973157510169379,-0.00048947052229658,0.00000507276754195
264,11,0.3066925123386478,0.34284680868339173,2.395565747212545,0.06377580643515829,1.6278807853269672,0.3162247279919495,0.5044405475069077,0.27520637057596004,0.35553188617942677,2.3726824520411163,0.06080928231498706,1.6078373372927541,0.28649315289025573,0.5039510769846112,-0.03148614520311369,0.00615376110393815,-0.02288329519160002,-0.00335065645158189,-0.02129897801353886,-0.03033022758448006,-0.00049929973057322,0.00000255890963623
288,12,0.33817865754176146,0.33669304757945356,2.418449042404145,0.06712646288674018,1.649179763340506,0.34655495557642957,0.504939847237481,0.3066925123386478,0.34284680868339173,2.395565747212545,0.06377580643515829,1.6278807853269672,0.3162247279919495,0.5044405475069077,-0.03148614591184141,0.00058818704384542,-0.02288329519414154,-0.00374178351564929,-0.02254452100851223,-0.03093273596720815,-0.00050919927548514,0.00000129209544081
312,13,0.36966480345360286,0.3361048605356082,2.4413323375982863,0.07086824640238948,1.6717242843490183,0.3774876915436377,0.5054490465129661,0.33817865754176146,0.33669304757945356,2.418449042404145,0.06712646288674018,1.649179763340506,0.34655495557642957,0.504939847237481,-0.03148614605783933,-0.00415444124014281,-0.02288329519446184,-0.00414020453873601,-0.02380046252557388,-0.03154195143313266,-0.00051921566728309,0.00000065308840856
336,14,0.4011509495114422,0.340259301775751,2.4642156327927482,0.07500845094112549,1.6955247468745922,0.40902964297677036,0.5059682621802492,0.36966480345360286,0.3361048605356082,2.4413323375982863,0.07086824640238948,1.6717242843490183,0.3774876915436377,0.5054490465129661,-0.03148614608791491,-0.00819580721095509,-0.0228832951945022,-0.00454632102280549,-0.02508481321660505,-0.03216060637123376,-0.00052939347811265,0.00000033044200713
360,15,0.4326370955993571,0.34845510898670606,2.4870989279872506,0.07955477196393097,1.7206095600911973,0.4411902493480041,0.5064976556583618,0.4011509495114422,0.340259301775751,2.4642156327927482,0.07500845094112549,1.6955247468745922,0.40902964297677036,0.5059682621802492,-0.03148614609411047,-0.01163960202177437,-0.02288329519450731,-0.00496062659376531,-0.02641355531210787,-0.03279132412183559,-0.00053977551310466,0.00000016736810194
384,16,0.4641232416934676,0.36009471100848045,2.509982223181758,0.08451539855769628,1.7470231154033051,0.4739815734698397,0.5070374311714665,0.4326370955993571,0.34845510898670606,2.4870989279872506,0.07955477196393097,1.7206095600911973,0.4411902493480041,0.5064976556583618,-0.03148614609538677,-0.01457418472105195,-0.02288329519450792,-0.005383698616702,-0.02780095198201926,-0.03343663161474006,-0.0005504030246805,0.00000008486189247
408,17,0.4956093877888543,0.3746688957295324,2.5328655183762656,0.08989909717439828,1.7748240673853244,0.5074182050845798,0.507587834196147,0.4641232416934676,0.36009471100848045,2.509982223181758,0.08451539855769628,1.7470231154033051,0.4739815734698397,0.5070374311714665,-0.03148614609564967,-0.01707484927432711,-0.02288329519450797,-0.00581619138898056,-0.02925982210357381,-0.03409897354884837,-0.00056131594896432,0.0000000430748642
432,18,0.527095533884504,0.3917437450038595,2.5557488135707738,0.09571528856337885,1.8040838894888982,0.5415171786334282,0.5081491501451113,0.4956093877888543,0.3746688957295324,2.5328655183762656,0.08989909717439828,1.7748240673853244,0.5074182050845798,0.507587834196147,-0.03148614609570385,-0.01920575640752643,-0.02288329519450803,-0.00625883074802738,-0.03080178331873418,-0.03478072717163071,-0.0005725531498136,0.00000002188845564
456,19,0.5585816799802079,0.4109495014113859,2.578632108765282,0.10197411931140624,1.8348856728076324,0.5762979058050589,0.5087217032949249,0.527095533884504,0.3917437450038595,2.5557488135707738,0.09571528856337885,1.8040838894888982,0.5415171786334282,0.5081491501451113,-0.03148614609571499,-0.02102157980701991,-0.02288329519450803,-0.00671240993206468,-0.03243746643191892,-0.03548421703534431,-0.00058415266099342,0.00000001113513243
480,20,0.5900678260759229,0.43197108121840583,2.60151540395979,0.10868652924347091,1.8673231392395513,0.6117821228404032,0.5093058559559184,0.5585816799802079,0.4109495014113859,2.578632108765282,0.10197411931140624,1.8348856728076324,0.5762979058050589,0.5087217032949249,-0.03148614609571729,-0.02256890890773167,-0.02288329519450803,-0.00717778653800224,-0.03417670420181351,-0.03621172934227067,-0.00059615192068674,0.00000000567118816
504,21,0.6215539721716402,0.4545399901261375,2.6243986991542982,0.11586431578147315,1.9014998434413648,0.6479938521826739,0.5099020078766051,0.5900678260759229,0.43197108121840583,2.60151540395979,0.10868652924347091,1.8673231392395513,0.6117821228404032,0.5093058559559184,-0.03148614609571777,-0.02388744426010754,-0.02288329519450803,-0.00765588043306379,-0.03602869747372917,-0.0369655256595554,-0.00060858799513728,0.00000000289175023
528,22,0.653040118267358,0.478427434386245,2.6472819943488064,0.12352019621453694,1.937528540915094,0.6849593778422293,0.5105105958717424,0.6215539721716402,0.4545399901261375,2.6243986991542982,0.11586431578147315,1.9014998434413648,0.6479938521826739,0.5099020078766051,-0.03148614609571785,-0.02501101614579378,-0.02288329519450803,-0.00814767249291557,-0.03800216142287138,-0.03774785590109692,-0.0006214977900179,0.00000000147626913
552,23,0.6845262643630758,0.5034384505320388,2.6701652895433146,0.1316678687074525,1.9755307023379653,0.7227072337433262,0.5111320936617603,0.653040118267358,0.478427434386245,2.6472819943488064,0.12352019621453694,1.937528540915094,0.6849593778422293,0.5105105958717424,-0.03148614609571791,-0.02596845257708068,-0.02288329519450803,-0.00865420405658954,-0.04010545446448099,-0.03856097055251231,-0.0006349182493171,0.00000000075456853
576,24,0.7160124104587937,0.5294069031091195,2.6930485847378227,0.14032207276404204,2.0156361568024463,0.7612682042958385,0.5117670119110773,0.6845262643630758,0.5034384505320388,2.6701652895433146,0.1316678687074525,1.9755307023379653,0.7227072337433262,0.5111320936617603,-0.03148614609571788,-0.02678431895077112,-0.02288329519450803,-0.00917657700570143,-0.04234669215576492,-0.03940713216601014,-0.0006488865423043,0.00000000038616328
600,25,0.7474985565545116,0.5561912220598907,2.715931879932331,0.14949864976974347,2.0579828489582113,0.8006753364618486,0.5124158984533816,0.7160124104587937,0.5294069031091195,2.6930485847378227,0.14032207276404204,2.0156361568024463,0.7612682042958385,0.5117670119110773,-0.03148614609571788,-0.02747954833411939,-0.02288329519450803,-0.00971595439141739,-0.04473384818164305,-0.04028862618308694,-0.000663440239598,0.00000000019787621
624,26,0.7789847026502295,0.58367077039401,2.738815175126839,0.15921460416116087,2.1027166971398543,0.8409639626449356,0.5130793386929796,0.7474985565545116,0.5561912220598907,2.715931879932331,0.14949864976974347,2.0579828489582113,0.8006753364618486,0.5124158984533816,-0.03148614609571788,-0.02807197855438268,-0.02288329519450803,-0.01027356154688225,-0.04727484429127715,-0.04120777116038589,-0.00067861747961504,0.00000000010152619
648,27,0.8104708487459473,0.6117427489483928,2.761698470321347,0.16948816570804312,2.1499915414311315,0.8821717338053214,0.5137579561725947,0.7789847026502295,0.58367077039401,2.738815175126839,0.15921460416116087,2.1027166971398543,0.8409639626449356,0.5130793386929796,-0.03148614609571788,-0.02857680987234409,-0.02288329519450803,-0.01085068763525405,-0.049977630841056,-0.04216692848224661,-0.00069445712679126,0.00000000005215989
672,28,0.8419569948416652,0.6403195588207369,2.7845817655158553,0.18033885334329716,2.1999691722721875,0.924338662287568,0.514452413299386,0.8104708487459473,0.6117427489483928,2.761698470321347,0.16948816570804312,2.1499915414311315,0.8821717338053214,0.5137579561725947,-0.03148614609571791,-0.02900699498255234,-0.02288329519450803,-0.0114486875941484,-0.05285025940545607,-0.04316851164562621,-0.00071099892298526,0.00000000002683378
696,29,0.8734431409373831,0.6693265538032892,2.8074650607103635,0.19178754093744554,2.2528194316776435,0.9675071739331942,0.5151634122223712,0.8419569948416652,0.6403195588207369,2.7845817655158553,0.18033885334329716,2.1999691722721875,0.924338662287568,0.514452413299386,-0.03148614609571788,-0.02937357134669742,-0.02288329519450803,-0.01206898444632949,-0.0559009487414297,-0.04421499520144093,-0.00072828363344108,0.00000000001382378
720,30,0.9049292870331009,0.6987001251499866,2.8303483559048717,0.20385652538377502,2.3087203804190732,1.0117221691346352,0.5158916958558123,0.8734431409373831,0.6693265538032892,2.8074650607103635,0.19178754093744554,2.2528194316776435,0.9675071739331942,0.5151634122223712,-0.03148614609571788,-0.02968594438695628,-0.02288329519450803,-0.01271307195408515,-0.05913814523486405,-0.04530892343253382,-0.00074635318861725,0.00000000000713157
744,31,0.9364154331288188,0.7283860695369428,2.85323165109938,0.2165695973378602,2.3678585256539373,1.057031092567169,0.5166380490444296,0.9049292870331009,0.6987001251499866,2.8303483559048717,0.20385652538377502,2.3087203804190732,1.0117221691346352,0.5158916958558123,-0.03148614609571788,-0.02995212880533286,-0.02288329519450803,-0.0133825176010944,-0.06257057881862815,-0.04645291884348168,-0.0007652508231052,0.00000000000368444
768,32,0.9679015792245367,0.7583381983422757,2.876114946293888,0.2299521149389546,2.4304291044725654,1.1034840114106508,0.5174032998675347,0.9364154331288188,0.7283860695369428,2.85323165109938,0.2165695973378602,2.3678585256539373,1.057031092567169,0.5166380490444296,-0.03148614609571788,-0.03017895422063682,-0.02288329519450803,-0.01407896589093204,-0.06620731522970758,-0.04764969053202375,-0.00078502121276943,0.00000000000190634
