cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
0,0,-0.02278539165714183,0.05774816695713247,0.5,1.0,0.00083546222760677,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00167092445521354,0.05012550575713248,0.0076226612,0.0,0.0,0.0038113306,0.02506275287856624,-0.025,0.126,-0.02,0.0,0.00381133060000005,0.02506275287856624,0.00041773111380338
1,1,-0.02278539165714183,0.05774816695713247,-0.3945647603681662,1.0,0.00083546222760677,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00167092445521354,0.05012550575713248,0.0076226612,0.0,-0.0,-0.00300763348974572,-0.01977775816739611,-0.025,0.126,-0.02,0.0,-0.00300763348974575,-0.01977775816739611,-0.00032964395363232
2,2,-0.02278539165714183,0.05774816695713247,-0.3945647603681662,1.0,0.00083546222760677,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00167092445521354,0.05012550575713248,0.0076226612,0.0,-0.0,-0.00300763348974572,-0.01977775816739611,-0.025,0.126,-0.02,0.0,-0.00300763348974575,-0.01977775816739611,-0.00032964395363232
3,3,-0.02278539165714183,0.05774816695713247,-0.3945647603681662,1.0,0.00083546222760677,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00167092445521354,0.05012550575713248,0.0076226612,0.0,-0.0,-0.00300763348974572,-0.01977775816739611,-0.025,0.126,-0.02,0.0,-0.00300763348974575,-0.01977775816739611,-0.00032964395363232
4,4,0.04320933000416011,0.1909546906675086,-0.3945647603681662,1.0,0.00084799416102087,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00169598832204174,0.1657489917127742,0.02520569895473437,0.0,-0.0,-0.0099452805679869,-0.06539871119641592,-0.025,0.12788999999999998,-0.02,0.0,-0.00994528056798694,-0.06539871119641592,-0.0003345886129368
5,5,0.04320933000416011,0.1909546906675086,0.2262805372997956,1.0,0.00084799416102087,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00169598832204174,0.1657489917127742,0.02520569895473437,0.0,0.0,0.00570355910249419,0.03750577090166592,-0.025,0.12788999999999998,-0.02,0.0,0.00570355910249409,0.03750577090166592,0.00019188457438289
6,6,0.04242962087103458,0.18020558556370847,0.2262805372997956,1.0,0.00084799416102087,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00169598832204174,0.1564187504574194,0.02378683510628906,0.0,0.0,0.00538249782851273,0.03539451889726751,-0.025,0.12788999999999998,-0.02,0.0,0.00538249782851263,0.03539451889726751,0.00019188457438289
7,7,0.04242962087103458,0.18020558556370847,0.23545119724401853,1.0,0.00084799416102087,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00169598832204174,0.1564187504574194,0.02378683510628906,0.0,0.0,0.00560063880442181,0.03682898206661277,-0.025,0.12788999999999998,-0.02,0.0,0.00560063880442185,0.03682898206661277,0.0001996612404683
8,8,0.04162323032986361,0.16945648045990833,0.23545119724401853,1.0,0.00084799416102087,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00169598832204174,0.14708850920206457,0.02236797125784375,0.0,0.0,0.00526656561257911,0.03463216559246394,-0.025,0.12788999999999998,-0.02,0.0,0.00526656561257921,0.03463216559246394,0.0001996612404683
9,9,0.04162323032986361,0.16945648045990833,0.2456278462582093,1.0,0.00084799416102087,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00169598832204174,0.14708850920206457,0.02236797125784375,0.0,0.0,0.00549419660522969,0.03612903372463392,-0.025,0.12788999999999998,-0.02,0.0,0.00549419660522976,0.03612903372463392,0.00020829097941109
