cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
0,0,0.0,1.0,4.593470839311903,0.05,1.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
24,1,0.0,1.0,4.593470839311903,0.05,1.5,0.05,0.5,0.0,1.0,4.593470839311903,0.05,1.5,0.05,0.5,-0.025,0.126,-0.02,0.0,-0.00163352082339108,-0.02273797050804726,-0.00021353147702388,0.0073
48,2,0.025,0.874,4.613470839311902,0.05,1.501633520823391,0.07273797050804726,0.5002135314770239,0.0,1.0,4.593470839311903,0.05,1.5,0.05,0.5,-0.03015,0.12285,-0.02251999999999997,-0.00005069152163925,-0.00308659328361038,-0.02610785032183691,-0.00021827293309084,0.00730311755956455
72,3,0.05515,0.75115,4.635990839311902,0.05005069152163925,1.5047201141070015,0.09884582082988416,0.5004318044101147,0.025,0.874,4.613470839311902,0.05,1.501633520823391,0.07273797050804726,0.5002135314770239,-0.0312109,0.10317509999999999,-0.02283751999999993,-0.00012443755038597,-0.00435965027669316,-0.0270990633320596,-0.00022359393022677,0.00730630434438768
96,4,0.0863609,0.6479749,4.658828359311902,0.05017512907202522,1.5090797643836946,0.12594488416194377,0.5006553983403415,0.05515,0.75115,4.635990839311902,0.05005069152163925,1.5047201141070015,0.09884582082988416,0.5004318044101147,-0.0314294454,0.0837634266,-0.02287752751999992,-0.00020753172157762,-0.0054786976690242,-0.02779556912607238,-0.0002289619272723,0.00730956881576899
120,5,0.1177903454,0.5642114734,4.681705886831901,0.05038266079360285,1.5145584620527188,0.15374045328801617,0.5008843602676137,0.0863609,0.6479749,4.658828359311902,0.05017512907202522,1.5090797643836946,0.12594488416194377,0.5006553983403415,-0.0314744657524,0.06680325387960001,-0.02288256846752,-0.00029540973897091,-0.00647100487066443,-0.02845361289802333,-0.00023431744454452,0.00731291165990716
144,6,0.14926481115239998,0.4974082195204,4.7045884552994215,0.05067807053257376,1.5210294669233833,0.1821940661860395,0.5011186777121582,0.1177903454,0.5642114734,4.681705886831901,0.05038266079360285,1.5145584620527188,0.15374045328801617,0.5008843602676137,-0.0314837399449944,0.05228327944319759,-0.02288320362690753,-0.00038673670660827,-0.00736142878397006,-0.02910579491281065,-0.00023966342489413,0.00731633269459751
168,7,0.18074855109739438,0.4451249400772024,4.727471658926329,0.05106480723918204,1.5283908957073533,0.21129986109885016,0.5013583411370524,0.14926481115239998,0.4974082195204,4.7045884552994215,0.05067807053257376,1.5210294669233833,0.1821940661860395,0.5011186777121582,-0.03148565042866885,0.03989911822129871,-0.02288328365699031,-0.00048113953800921,-0.0081720960615701,-0.02975742807561877,-0.00024501118698604,0.00731983178060096
192,8,0.21223420152606323,0.40522582185590367,4.75035494258332,0.05154594677719125,1.5365629917689234,0.24105728917446892,0.5016033523240384,0.18074855109739438,0.4451249400772024,4.727471658926329,0.05106480723918204,1.5283908957073533,0.21129986109885016,0.5013583411370524,-0.03148604398830579,0.02934423305744353,-0.02288329374078089,-0.00057851746780298,-0.0089226169022576,-0.03041051763553156,-0.00025037327548711,0.00732340894393096
216,9,0.24372024551436902,0.3758815887984601,4.773238236324101,0.05212446424499424,1.545485608671181,0.2714678068100005,0.5018537255995256,0.21223420152606323,0.40522582185590367,4.75035494258332,0.05154594677719125,1.5365629917689234,0.24105728917446892,0.5016033523240384,-0.03148612506159099,0.02034970261903337,-0.02288329501133844,-0.00067885297353831,-0.00963036464644862,-0.03106667701894376,-0.00025576246929342,0.00732706439375307
