cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
0,0,-0.02278539165714183,0.2274542432494199,0.5,1.0,0.00176848627313508,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00707394509254033,0.2122089208494199,0.01524532240000001,0.0,0.0,0.0076226612,0.10610446042470995,-0.025,0.126,-0.02,0.0,0.0076226612000001,0.10610446042470995,0.00088424313656754
1,1,-0.02278539165714183,0.2274542432494199,-0.10017571592259111,1.0,0.00176848627313508,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00707394509254033,0.2122089208494199,0.01524532240000001,0.0,-0.0,-0.00152721108589072,-0.02125818057125111,-0.025,0.126,-0.02,0.0,-0.00152721108589082,-0.02125818057125111,-0.00017715937851058
2,2,-0.02278539165714183,0.2274542432494199,-0.10017571592259111,1.0,0.00176848627313508,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00707394509254033,0.2122089208494199,0.01524532240000001,0.0,-0.0,-0.00152721108589072,-0.02125818057125111,-0.025,0.126,-0.02,0.0,-0.00152721108589082,-0.02125818057125111,-0.00017715937851058
3,3,-0.02278539165714183,0.2274542432494199,-0.10017571592259111,1.0,0.00176848627313508,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00707394509254033,0.2122089208494199,0.01524532240000001,0.0,-0.0,-0.00152721108589072,-0.02125818057125111,-0.025,0.126,-0.02,0.0,-0.00152721108589082,-0.02125818057125111,-0.00017715937851058
4,4,0.16975152608234556,0.7521183259885403,-0.10017571592259111,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00718005426892843,0.7017069280790716,0.05041139790946874,0.0,-0.0,-0.00504999787623964,-0.07029399388816315,-0.025,0.12788999999999998,-0.02,0.0,-0.00504999787623972,-0.07029399388816315,-0.00017981676918824
5,5,0.16975152608234556,0.7521183259885403,0.22569789914271013,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00718005426892843,0.7017069280790716,0.05041139790946874,0.0,0.0,0.0113777466010143,0.15837377948133127,-0.025,0.12788999999999998,-0.02,0.0,0.01137774660101432,0.15837377948133127,0.00040513079105695
6,6,0.16897181694922,0.7097805394262717,0.22569789914271013,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00718005426892843,0.6622068692136936,0.04757367021257813,0.0,0.0,0.01073727742148701,0.14945869917940208,-0.025,0.12788999999999998,-0.02,0.0,0.01073727742148711,0.14945869917940208,0.00040513079105695
7,7,0.16897181694922,0.7097805394262717,0.23806205941600334,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00718005426892843,0.6622068692136936,0.04757367021257813,0.0,0.0,0.01132548590478412,0.1576463310444359,-0.025,0.12788999999999998,-0.02,0.0,0.01132548590478422,0.1576463310444359,0.00042732462649494
8,8,0.16816542640804907,0.6674427528640029,0.23806205941600334,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00718005426892843,0.6227068103483154,0.0447359425156875,0.0,0.0,0.01064993060520051,0.14824286568389058,-0.025,0.12788999999999998,-0.02,0.0,0.01064993060520059,0.14824286568389058,0.00042732462649494
9,9,0.16816542640804907,0.6674427528640029,0.25195483161132504,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00718005426892843,0.6227068103483154,0.0447359425156875,0.0,0.0,0.01127143686351396,0.15689398954453512,-0.025,0.12788999999999998,-0.02,0.0,0.01127143686351406,0.15689398954453512,0.00045226234107201
10,10,0.16816542640804907,0.6674427528640029,0.25195483161132504,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00718005426892843,0.6227068103483154,0.0447359425156875,0.0,0.0,0.01127143686351396,0.15689398954453512,-0.025,0.12788999999999998,-0.02,0.0,0.01127143686351406,0.15689398954453512,0.00045226234107201
11,11,0.16816542640804907,0.6674427528640029,0.25195483161132504,1.0,0.00179501356723211,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00718005426892843,0.6227068103483154,0.0447359425156875,0.0,0.0,0.01127143686351396,0.15689398954453512,-0.025,0.12788999999999998,-0.02,0.0,0.01127143686351406,0.15689398954453512,0.00045226234107201
12,12,0.16646891773948738,0.5827671797394651,0.25195483161132504,1.0,0.00179501356723211,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00718005426892843,0.5437066926175589,0.03906048712190624,0.0,0.0,0.00984147845545622,0.13698952818440752,-0.025,0.19284999999999997,-0.02,0.0,0.00984147845545613,0.13698952818440752,0.00045226234107201
