cycle,hour,int(cycle / 24),r_l,FC,n_L,shadow_loss,prevState'N_L',currentState'N_L',prev_value,value,pl_total,chg,length(leaf_proportion),sum(leaf_proportion),leaf_proportion
0,0,0,0.0063,1.0,10.0,0.063,1.3929479114291774,1.3929479114291774,0.08775571842003818,0.08775571842003818,0.00278589582285835,-0.00278589582285835,1,0.063,[0.063]
1,1,0,0.0063,1.0,10.0,0.063,1.3929479114291774,1.3929479114291774,0.08775571842003818,0.08775571842003818,0.00278589582285835,-0.00278589582285835,1,0.126,[0.126]
2,2,0,0.0063,1.0,10.0,0.063,1.3929479114291774,1.3929479114291774,0.08775571842003818,0.08775571842003818,0.00278589582285835,-0.00278589582285835,1,0.189,[0.189]
3,3,0,0.0063,1.0,10.0,0.063,1.3929479114291774,1.3929479114291774,0.08775571842003818,0.08775571842003818,0.00278589582285835,-0.00278589582285835,1,0.252,[0.252]
4,4,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.315945,[0.315945]
5,5,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.37988999999999995,[0.37988999999999995]
6,6,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.4438349999999999,[0.4438349999999999]
7,7,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.5077799999999999,[0.5077799999999999]
8,8,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.5717249999999999,[0.5717249999999999]
9,9,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.63567,[0.63567]
10,10,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.699615,[0.699615]
11,11,0,0.0063,1.015,10.0,0.06394499999999999,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,0.76356,[0.76356]
12,12,0,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.1343150023595584,0.1343150023595584,0.00278589582285835,-0.00278589582285835,1,0.859985,[0.859985]
13,13,0,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.1343150023595584,0.1343150023595584,0.00278589582285835,-0.00278589582285835,1,0.95641,[0.95641]
14,14,0,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.1343150023595584,0.1343150023595584,0.00278589582285835,-0.00278589582285835,1,1.052835,[1.052835]
15,15,0,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.1343150023595584,0.1343150023595584,0.00278589582285835,-0.00278589582285835,1,1.14926,[1.14926]
16,16,0,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.1343150023595584,0.1343150023595584,0.00278589582285835,-0.00278589582285835,1,1.245685,[1.245685]
17,17,0,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.1343150023595584,0.1343150023595584,0.00278589582285835,-0.00278589582285835,1,1.34211,[1.34211]
18,18,0,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.1343150023595584,0.1343150023595584,0.00278589582285835,-0.00278589582285835,1,1.438535,[1.438535]
19,19,0,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,1.5024799999999998,[1.5024799999999998]
20,20,0,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.08907205419633873,0.08907205419633873,0.00278589582285835,-0.00278589582285835,1,1.5664249999999997,[1.5664249999999997]
21,21,0,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.08775571842003818,0.08775571842003818,0.00278589582285835,-0.00278589582285835,1,1.6294249999999997,[1.6294249999999997]
22,22,0,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.08775571842003818,0.08775571842003818,0.00278589582285835,-0.00278589582285835,1,1.6924249999999996,[1.6924249999999996]
23,23,0,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3929479114291774,0.08775571842003818,0.08775571842003818,0.00278589582285835,-0.00278589582285835,1,1.7554249999999996,[1.7554249999999996]
24,0,1,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08775571842003818,0.08793122985687825,0.00278589582285835,-0.00296140725969842,1,0.063,[0.063]
25,1,1,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08775571842003818,0.08793122985687825,0.00278589582285835,-0.00296140725969842,1,0.126,[0.126]
26,2,1,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08775571842003818,0.08793122985687825,0.00278589582285835,-0.00296140725969842,1,0.189,[0.189]
27,3,1,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08775571842003818,0.08793122985687825,0.00278589582285835,-0.00296140725969842,1,0.252,[0.252]
28,4,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.315945,[0.315945]
