cycle,DTFAST,GENR,TEMFAC,RDVLV,RDVFR,TTH,TTL,TTAB,FCO2D,TSLA,CSLA,GP,MAINT,GPFN
0,1,0.00000000000072769,20.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.37,1.0,34.0,0.00521035697213341,-0.00014724988049338
1,2,0.00000000000145538,21.72,0.0208,0.027,0.0,0.0,0.0,2.0,2.64,1.0,34.0,0.00542071394426681,-0.00014724988049338
2,3,0.00000000000218308,22.58,0.0312,0.0405,0.0,0.0,0.0,3.0,3.91,1.0,34.0,0.00563107091640022,-0.00014724988049338
3,4,0.00000000000291077,23.439999999999998,0.0416,0.054,0.0,0.0,0.0,4.0,5.18,1.0,34.0,0.00584142788853362,-0.00014724988049338
4,5,0.00000000000363846,24.299999999999997,0.052494,0.06814125,0.0,0.0,0.0,5.0475,6.449999999999999,2.5175,35.31957906124583,0.00605178486066703,0.9235580929915882
5,6,0.00000000000436615,25.159999999999997,0.063388,0.08228250000000001,0.0,0.0,0.0,6.095000000000001,7.719999999999999,4.035,36.639158122491665,0.00626214183280044,0.9235580929915882
6,7,0.00000000000511923,26.049999999999997,0.07459625,0.0969475,0.0,0.0,0.0,7.142500000000001,8.944999999999999,5.5525,37.9587371837375,0.00647969715617823,0.9235530541457171
7,8,0.00000000000587231,26.939999999999998,0.0858045,0.1116125,0.0,0.0,0.0,8.190000000000001,10.169999999999998,7.07,39.27831624498333,0.00669725247955602,0.9235530541457171
8,9,0.00000000000665077,27.86,0.09732700000000001,0.12680125,0.0,0.0,0.0,9.2375,11.349999999999998,8.5875,40.59789530622916,0.00692225247955602,0.9235478428720816
9,10,0.00000000000742923,28.78,0.10884950000000002,0.14199,0.0,0.0,0.0,10.285,12.529999999999998,10.105,41.917474367474995,0.00714725247955602,0.9235478428720816
10,11,0.00000000000820769,29.700000000000003,0.12037200000000002,0.15717875,0.0,0.0,0.0,11.3325,13.709999999999997,11.6225,43.23705342872083,0.00737225247955602,0.9235478428720816
11,12,0.00000000000898615,30.620000000000005,0.13189450000000003,0.1723675,0.0,0.0,0.0,12.379999999999999,14.889999999999997,13.14,44.55663248996666,0.00759725247955602,0.9235478428720816
12,13,0.00000000000979604,31.57714285714286,0.14367887500000004,0.18860375000000001,0.0,0.0,0.0,13.427499999999998,15.979999999999997,14.6575,45.87621155121249,0.00783791481409416,0.9235368792379048
13,14,0.00000000001060593,32.534285714285716,0.15546325000000005,0.20484000000000002,0.0,0.0,0.0,14.474999999999998,17.069999999999997,16.175,47.195790612458325,0.00807857714863231,0.9235368792379048
14,15,0.00000000001141582,33.49142857142857,0.16724762500000007,0.22107625000000003,0.0,0.0,0.0,15.522499999999997,18.159999999999997,17.692500000000003,48.51536967370416,0.00831923948317045,0.9235368792379048
15,16,0.00000000001222571,34.44857142857143,0.17903200000000008,0.23731250000000004,0.0,0.0,0.0,16.569999999999997,19.249999999999996,19.21,49.83494873494999,0.00855990181770859,0.9235368792379048
16,17,0.0000000000130356,35.40571428571428,0.1908163750000001,0.25354875000000004,0.0,0.0,0.0,17.617499999999996,20.339999999999996,20.7275,51.15452779619582,0.00880056415224673,0.9235368792379048
