cycle,DTFAST,GENRF,TEMFCF,RDVLVF,RDVFRF,TTHF,TTLF,TTABF,FCO2,TSLAF,CSLAF,GPF,MAINTF
0,1,0.00000000000072769,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.0,0.00021035697213341
1,2,0.00000000000072769,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.0,0.00021035697213341
2,3,0.00000000000072769,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.0,0.00021035697213341
3,4,0.00000000000072769,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.0,0.00021035697213341
4,5,0.00000000000072769,0.86,0.010894,0.01414125,0.0,0.0,0.0,1.0475,1.27,1.5175,1.319579061245831,0.00021035697213341
5,6,0.00000000000072769,0.86,0.010894,0.01414125,0.0,0.0,0.0,1.0475,1.27,1.5175,1.319579061245831,0.00021035697213341
6,7,0.00000000000075308,0.8899999999999999,0.01120825,0.014665,0.0,0.0,0.0,1.0475,1.225,1.5175,1.319579061245831,0.00021755532337779
7,8,0.00000000000075308,0.8899999999999999,0.01120825,0.014665,0.0,0.0,0.0,1.0475,1.225,1.5175,1.319579061245831,0.00021755532337779
8,9,0.00000000000077846,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.319579061245831,0.000225
9,10,0.00000000000077846,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.319579061245831,0.000225
10,11,0.00000000000077846,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.319579061245831,0.000225
11,12,0.00000000000077846,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.319579061245831,0.000225
12,13,0.00000000000080989,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.319579061245831,0.00024066233453814
13,14,0.00000000000080989,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.319579061245831,0.00024066233453814
14,15,0.00000000000080989,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.319579061245831,0.00024066233453814
15,16,0.00000000000080989,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.319579061245831,0.00024066233453814
16,17,0.00000000000080989,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.319579061245831,0.00024066233453814
17,18,0.00000000000080989,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.319579061245831,0.00024066233453814
18,19,0.00000000000080989,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.319579061245831,0.00024066233453814
19,20,0.00000000000077846,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.319579061245831,0.000225
20,21,0.00000000000077846,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.319579061245831,0.000225
21,22,0.00000000000077846,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.319579061245831,0.000225
22,23,0.00000000000077846,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.319579061245831,0.000225
23,24,0.00000000000077846,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.319579061245831,0.000225
24,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.319579061245831,-0.0012313733390696
25,2,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.319579061245831,-0.0012313733390696
26,3,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.319579061245831,-0.0012313733390696
27,4,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.319579061245831,-0.0012313733390696
28,5,0.47300000000000003,0.86,0.010894,0.01414125,0.0,0.0,0.0,1.0475,1.27,1.5175,1.054159518422965,-0.0012313733390696
29,6,0.47300000000000003,0.86,0.010894,0.01414125,0.0,0.0,0.0,1.0475,1.27,1.5175,1.054159518422965,-0.0012313733390696
