cycle,TIME,PLSTN,XLAI,XSLA,TOTNST,TOTWST,TOTNLV,TOTWML,FWFR10,APFFW,TOTNF,TOTWMF,ATL,ATT,ATV
0,0,5.0,0.002,0.02684563760389262,1.0,0.0,4.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001
24,1,5.000000000018548,0.00173045004033033,-5.165750998424248,1.0000000000185476,-0.00239862026640985,4.000000000018548,-0.02221274666154524,0.00000000025600689,256.0068866228879,0.00000000000018548,0.00000000038771947,0.0,-0.02461136654023561,-0.02461136692795509
48,2,17.05600000001855,0.0162395597062718,2574.0516743321487,13.056000000018548,0.5155183042183568,16.05600000001855,1.1788191090191655,2.1389888513087283,2138988851052.7217,0.12056000000018549,5.273262242859823,0.0,6.967599656097345,1.6943374132375224
72,3,29.11200000001855,0.02679591737590416,6210.2224246000305,25.11200000001855,1.019077271678019,25.120661654153892,2.052650938338734,4.277977702430199,2138988851121.471,2.548638400005777,5.06312340381729,0.0,8.134851613834043,3.071728210016753
96,4,41.16800000001855,0.03738087705386975,10611.652393687616,37.16800000001856,1.5176828272682052,34.18532330828923,2.928850378348108,6.394831978506173,2116854276075.9736,37.47521485719976,5.252183523207091,0.0,9.698716728823404,4.446533205616314
120,5,53.22400000001855,0.0481783340822006,15470.846414133548,49.224000000018556,2.0202015220738048,43.24998496242457,3.8226398768043848,8.497458677713972,2102626699207.799,74.84881485719977,10.861275401379148,0.0,16.70411680025734,5.842841398878189
144,6,65.28000000001855,0.0591600355584791,21086.63268499147,61.28000000001856,2.5352865766531956,52.314646616559905,4.731680721229659,10.592303300950906,2094844623236.9343,105.28910521582338,26.039074564486523,0.0,33.306041862369376,7.266967297882855
168,7,67.67652317219816,0.06135589514261373,17558.372042430845,63.67652317219818,2.6387545093607345,54.11654373849947,4.9134490979163585,12.68224025706241,2089936956111.5054,111.23248268282886,28.938024656767777,0.0,36.49022826404487,7.552203607277093
192,8,68.10954234357065,0.06175702695494482,13271.97504334141,64.10954234357067,2.657629210994798,54.44212206283969,4.9466538979371,14.771409987792039,2089169730729.628,112.30637022783262,29.604796007632334,0.0,37.20907911656423,7.604283108931899
216,9,68.18880340375387,0.06183127014061088,9826.97549221347,64.18880340375387,2.66111847274212,54.501716844932325,4.952799583861681,16.860446850448316,2089036862656.2764,112.50293765708696,29.75202847474828,0.0,37.36594653135208,7.613918056603802
240,10,68.203026584696,0.06184473038594144,7241.54716078488,64.203026584696,2.6617504153883,54.512410965941456,4.953913793058487,18.94945957526705,2089012724818.7346,112.5382111458235,29.78470634322107,0.0,37.40037055166786,7.615664208446788
264,11,68.20549722300161,0.0618470901118112,5330.403912470821,64.20549722300164,2.6618611020647047,54.514268588727624,4.954109125922151,21.038602840514276,2089143265247.226,112.54433832882141,29.791685675920554,0.0,37.40765590390741,7.615970227986855
