cycle,XM,PMAX,QE,XK,PPFD,TMPA,CO2AVG,ASTOTL,PLTM2V,TOP,BOT,GPF,GPF_1,GPF_2
4,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
5,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
6,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
7,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
8,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
9,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
10,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
11,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
12,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
13,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
14,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
15,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
16,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
17,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
18,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
19,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
20,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.006,5.0,77.56819,77.20401867849318,0.5089611370786582,0.3471114954876449,1.319579061245831
28,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
29,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
30,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
31,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
32,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
33,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
34,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
35,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
36,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
37,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
38,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
39,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
40,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
41,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
42,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
43,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
44,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00478702518142797,5.0,77.56819,77.27713031464495,0.40658892135822616,0.27729364436631027,1.054159518422965
52,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
53,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
54,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
55,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
56,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
57,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
58,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
59,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
60,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
61,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
62,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
63,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
64,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
65,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
66,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
67,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
68,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00457154161306225,5.0,77.56819,77.29014543530675,0.3883750734426814,0.2648718000879087,1.0069366352141937
76,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
77,0.1,62.7291,0.056,0.58,650.0,18.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
78,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
79,0.1,62.7291,0.056,0.58,650.0,19.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
80,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
81,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
82,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
83,0.1,62.7291,0.056,0.58,650.0,20.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
84,0.1,62.7291,0.056,0.58,650.0,22.0,400.0,0.00378375451086571,5.0,77.56819,77.3377967382509,0.321716214316866,0.21941045816410262,0.8341107977566525
