cycle,i,LVSNi,tab,TEMFAC,FCO2D,RCLFAi
0,0,18.0,-0.0002,20.0,0.0,-0.0
0,1,0.0,0.00025,20.0,0.0,0.0
0,2,0.0,0.0007,20.0,0.0,0.0
0,3,0.0,0.00115,20.0,0.0,0.0
0,4,0.0,0.0016,20.0,0.0,0.0
0,5,0.0,0.00235,20.0,0.0,0.0
0,6,0.0,0.0031,20.0,0.0,0.0
0,7,0.0,0.00315,20.0,0.0,0.0
0,8,0.0,0.0032,20.0,0.0,0.0
0,9,0.0,0.0032,20.0,0.0,0.0
0,10,0.0,0.0032,20.0,0.0,0.0
0,11,0.0,0.0032,20.0,0.0,0.0
0,12,0.0,0.0032,20.0,0.0,0.0
0,13,0.0,0.0032,20.0,0.0,0.0
0,14,0.0,0.0032,20.0,0.0,0.0
0,15,0.0,0.0032,20.0,0.0,0.0
0,16,0.0,0.0032,20.0,0.0,0.0
0,17,0.0,0.0032,20.0,0.0,0.0
0,18,0.0,0.0032,20.0,0.0,0.0
0,19,0.0,0.0016,20.0,0.0,0.0
24,0,18.0,-0.0002,41.92,24.807499999999994,-3.743749440000001
24,1,0.0,0.00025,41.92,24.807499999999994,0.0
24,2,0.0,0.0007,41.92,24.807499999999994,0.0
24,3,0.0,0.00115,41.92,24.807499999999994,0.0
24,4,0.0,0.0016,41.92,24.807499999999994,0.0
24,5,0.0,0.00235,41.92,24.807499999999994,0.0
24,6,0.0,0.0031,41.92,24.807499999999994,0.0
24,7,0.0,0.00315,41.92,24.807499999999994,0.0
24,8,0.0,0.0032,41.92,24.807499999999994,0.0
24,9,0.0,0.0032,41.92,24.807499999999994,0.0
24,10,0.0,0.0032,41.92,24.807499999999994,0.0
24,11,0.0,0.0032,41.92,24.807499999999994,0.0
24,12,0.0,0.0032,41.92,24.807499999999994,0.0
24,13,0.0,0.0032,41.92,24.807499999999994,0.0
24,14,0.0,0.0032,41.92,24.807499999999994,0.0
24,15,0.0,0.0032,41.92,24.807499999999994,0.0
24,16,0.0,0.0032,41.92,24.807499999999994,0.0
24,17,0.0,0.0032,41.92,24.807499999999994,0.0
24,18,0.0,0.0032,41.92,24.807499999999994,0.0
24,19,0.0,0.0016,41.92,24.807499999999994,0.0
48,0,13.132257750041834,-0.0002,21.92,24.807499999999994,-1.42821287444417
48,1,4.867742250000003,0.00025,21.92,24.807499999999994,0.6617457069504752
48,2,0.0,0.0007,21.92,24.807499999999994,0.0
48,3,0.0,0.00115,21.92,24.807499999999994,0.0
48,4,0.0,0.0016,21.92,24.807499999999994,0.0
48,5,0.0,0.00235,21.92,24.807499999999994,0.0
48,6,0.0,0.0031,21.92,24.807499999999994,0.0
48,7,0.0,0.00315,21.92,24.807499999999994,0.0
48,8,0.0,0.0032,21.92,24.807499999999994,0.0
