cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,2820.0561941849382
48,0,1,4559.664071824938
72,0,1,6299.271949464938
96,0,1,7930.824233031783
120,0,1,9560.595860642446
144,0,1,11049.969285411475
168,0,1,11542.68083503795
192,0,1,11544.297174092406
216,0,1,11539.918001223188
240,0,1,11539.769981512009
264,0,1,11539.568461558816
288,0,1,11538.8110153906
312,0,1,11536.709199231302
336,0,1,11531.908215571908
360,0,1,11522.352915583675
384,0,1,11505.216143057107
408,0,1,11476.920967038433
432,0,1,11433.271996536436
456,0,1,11369.688343508613
480,0,1,0.0
504,0,1,2762.097996969606
528,0,1,1458.1174609896898
552,0,1,830.0924593077636
576,0,1,520.6954960278895
600,0,1,350.4235462652416
624,0,1,248.74061120255772
648,0,1,184.32204618256478
672,0,1,141.64857416659981
696,0,1,112.36368719012209
720,0,1,91.6737993326802
744,0,1,76.69055020225251
768,0,1,65.60385219661597
792,0,1,57.242179768960625
816,0,1,50.826430532015735
840,0,1,45.826227638654544
864,0,1,41.873043688111686
888,0,1,38.70610056956947
912,0,1,36.137810892142355
936,0,1,34.031205309294734
960,0,1,32.28489471938169
984,0,1,30.822873102634304
1008,0,1,29.587490864148037
1032,0,1,28.53454129973113
1056,0,1,27.62977795215109
1080,0,1,26.846415072524277
1104,0,1,26.163312652175218
1128,0,1,25.56364411431459
1152,0,1,25.033922588447837
1176,0,1,24.563279316199353
1200,0,1,24.142913881673344
1224,0,1,23.765664507728616
1248,0,1,23.425667447372255
1272,0,1,23.11808638087818
1296,0,1,22.838898581493126
1320,0,1,22.584727382290612
1344,0,1,22.352712018764983
1368,0,1,22.14040711938586
1392,0,1,21.945705272999042
1416,0,1,21.766777252642953
1440,0,1,21.602025566516794
1464,0,1,21.450047980047522
1488,0,1,21.30960847358528
1512,0,1,21.179613759858636
1536,0,1,21.0590939947924
1560,0,1,20.94718669601518
1584,0,1,20.843123160307464
1608,0,1,20.746216868383424
1632,0,1,20.655853503526384
1656,0,1,20.571482306411742
1680,0,1,20.4926085546999
1704,0,1,20.418787001995906
1728,0,1,20.34961614315947
1752,0,1,20.284733196257154
1776,0,1,20.22380970873407
1800,0,1,20.166547708660225
1824,0,1,20.112676332479992
1848,0,1,20.06194886939768
1872,0,1,20.01414016989604
1896,0,1,19.969044372244948
1920,0,1,19.92647290642901
1944,0,1,19.88625273984684
1968,0,1,19.848224833507512
1992,0,1,19.812242781340284
2016,0,1,19.778171608694855
2040,0,1,19.74588670918427
2064,0,1,19.715272901747486
2088,0,1,19.68622359221589
2112,0,1,19.658640025788024
2136,0,1,19.632430618675482
2160,0,1,19.60751035880695
2184,0,1,19.583800266890396
2208,0,1,19.561226910356858
2232,0,1,19.53972196376555
2256,0,1,19.5192218101582
2280,0,1,19.49966717862496
2304,0,1,19.481002814010843
2328,0,1,19.46317717525358
2352,0,1,19.446142159323685
2376,0,1,19.429852848143994
2400,0,1,19.414267276210463
2424,0,1,19.327761913544425
2448,0,1,19.242515831614526
2472,0,1,19.15848124596352
2496,0,1,19.075613231550875
2520,0,1,18.99386951936074
2544,0,1,18.913210309057966
2568,0,1,18.833598096396802
2592,0,1,18.754997514237097
2616,0,1,18.677375186173364
2640,0,1,18.60069959191872
2664,0,1,18.52494094370476
2688,0,1,18.450071073100577
2712,0,1,18.3760633278378
2736,0,1,18.302892478454602
2760,0,1,18.23053463484657
2784,0,1,18.15896717316485
2808,0,1,18.088168673962137
2832,0,1,18.018118873109934
2856,0,1,17.948798627861123
2880,0,1,17.880189901613214
2904,0,1,17.812275772576708
2928,0,1,17.745040473866872
2952,0,1,17.67846947579839
2976,0,1,17.612549625762522
3000,0,1,17.54726936757829
3024,0,1,17.48261907200022
3048,0,1,17.418591523480774
3072,0,1,17.355182623971007
3096,0,1,17.292392404655708
3120,0,1,17.23022647234991
3144,0,1,16.888163789888978
3168,0,1,16.559503095478327
3192,0,1,16.24352867457478
3216,0,1,15.939597373524283
3240,0,1,15.6471395299007
3264,0,1,15.365662651716093
3288,0,1,15.094758707334002
3312,0,1,14.834116312442344
3336,0,1,14.583539236563478
3360,0,1,14.34297280256947
3384,0,1,14.112540691786423
3408,0,1,13.892595842056108
3432,0,1,13.683791613487445
3456,0,1,13.487182783518218
3480,0,1,13.304358750464653
3504,0,1,13.137616675457602
3528,0,1,12.990191932214058
3552,0,1,12.866573836121054
3576,0,1,12.772951837091743
3600,0,1,12.717772676930982
3624,0,1,12.838919593777009
3648,0,1,13.024883240741607
3672,0,1,13.297933145126672
3696,0,1,13.687753751795341
3720,0,1,14.232795891002352
