cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,327.0577987067699
48,0,1,43.739733268148385
72,0,1,1.9865993558771722
96,0,1,0.14015085819308912
120,0,1,0.14510951739317016
144,0,1,0.2473102464980678
168,0,1,0.2601580397992387
192,0,1,0.26360745118530404
216,0,1,0.2644555697330614
240,0,1,0.2646630512424506
264,0,1,0.2647106564248284
288,0,1,0.2647177464505517
312,0,1,0.2647188208910425
336,0,1,0.26471898476966654
360,0,1,0.2647190095211966
384,0,1,0.2647190120037881
408,0,1,0.2647190123083752
432,0,1,0.264719012337974
456,0,1,0.2647190123404376
480,0,1,0.2647190123411958
504,0,1,0.2647190123418833
528,0,1,0.26471901234261136
552,0,1,0.2647190123432841
576,0,1,0.26471901234397094
600,0,1,0.26471901234463174
624,0,1,0.26471901234527423
648,0,1,0.26471901234590517
672,0,1,0.2647190123465041
696,0,1,0.2647190123470988
720,0,1,0.2647190123476565
744,0,1,0.26471901234821404
768,0,1,0.2647190123487338
792,0,1,0.26471901234921397
816,0,1,0.2647190123496592
840,0,1,0.2647190123500733
864,0,1,0.2647190123504587
888,0,1,0.2647190123508183
912,0,1,0.2647190123511545
936,0,1,0.26471901235146983
960,0,1,0.2647190123517659
984,0,1,0.26493806903379935
1008,0,1,0.265324637564469
1032,0,1,0.26582976509648726
1056,0,1,0.26640843293060595
1080,0,1,0.2670208756920623
1104,0,1,0.2676336671216148
1128,0,1,0.26822040334756186
1152,0,1,0.2687618872464957
1176,0,1,0.2692458051369228
1200,0,1,0.26966596855274805
1224,0,1,0.27002125140684574
1248,0,1,0.2703143773997761
1272,0,1,0.2705507051014221
1296,0,1,0.270737127449999
1320,0,1,0.27088116045062127
1344,0,1,0.27099025368737795
1368,0,1,0.2710713205217923
