cycle,hour_cyc,stp,value
0,0,1,0.4999999999998333
24,0,1,0.49708316194091445
48,0,1,0.949871821613611
72,0,1,0.9716735251217712
96,0,1,0.9791244581949343
120,0,1,0.9833195746896373
144,0,1,0.9864883344892117
168,0,1,0.988885710792233
192,0,1,0.9894199464455685
216,0,1,0.9894338062743462
240,0,1,0.9894338062743473
264,0,1,0.9894338062743484
288,0,1,0.9894338062743514
312,0,1,0.9894338062743545
336,0,1,0.989433806274357
360,0,1,0.9894338062743607
384,0,1,0.9894338062743644
408,0,1,0.9894338062743674
432,0,1,0.9894338062743708
456,0,1,0.9894338062743743
480,0,1,0.9894338062743777
504,0,1,0.9894338062743809
528,0,1,0.989433806274384
552,0,1,0.9894338062743879
576,0,1,0.9894338062743903
600,0,1,0.9894338062743938
624,0,1,0.9894338062743963
648,0,1,0.9894338062743997
672,0,1,0.9894338062744028
696,0,1,0.989433806274407
720,0,1,0.989433806274421
744,0,1,0.9894338062744776
768,0,1,0.9894338062747092
792,0,1,0.989433806275596
816,0,1,0.9894338062786839
840,0,1,0.9894338062885569
864,0,1,0.9894338063177365
888,0,1,0.9894338063980032
912,0,1,0.9894338066047753
936,0,1,0.9894338071062566
960,0,1,0.9894338082567488
984,0,1,0.9894278166814222
1008,0,1,0.9894166795257466
1032,0,1,0.989401296050227
1056,0,1,0.989382596552761
1080,0,1,0.9893615162615748
1104,0,1,0.9893389663369856
1128,0,1,0.9893158048378196
1152,0,1,0.9892928108038669
1176,0,1,0.9892706643621912
1200,0,1,0.9892499349896953
1224,0,1,0.9892310788966312
1248,0,1,0.9892144451719411
1272,0,1,0.9892002891166178
1296,0,1,0.9891887903080758
1320,0,1,0.989180072515617
1344,0,1,0.9891742226446731
1368,0,1,0.9891713063546961
1392,0,1,0.9891713787450632
1416,0,1,0.9891744893884213
1440,0,1,0.9891806818716494
1464,0,1,0.98918998876396
1488,0,1,0.9892024234822934
1512,0,1,0.9892179708130172
1536,0,1,0.989236577860764
1560,0,1,0.9892581469541941
1584,0,1,0.9892825316051856
1608,0,1,0.9893095360791254
1632,0,1,0.989338918585945
1656,0,1,0.9893703976311259
1680,0,1,0.9894036607342097
1704,0,1,0.9894383745561803
1728,0,1,0.9894741954692632
1752,0,1,0.9895107797203045
1776,0,1,0.9895477925355799
1800,0,1,0.9895849157430362
1824,0,1,0.989621853708012
1848,0,1,0.9896583375636233
1872,0,1,0.9896941278539758
1896,0,1,0.9897290157951341
1920,0,1,0.9897628234010559
1944,0,1,0.9897954027291515
1968,0,1,0.9898266344835597
1992,0,1,0.9898564261834685
2016,0,1,0.9898847100667347
2040,0,1,0.9899114408614089
2064,0,1,0.9899365935231226
2088,0,1,0.9899601610066446
2112,0,1,0.9899821521159868
2136,0,1,0.990002589459221
2160,0,1,0.9900215075210563
2184,0,1,0.9900389508575198
2208,0,1,0.9900547718845316
2232,0,1,0.9900686959272154
2256,0,1,0.9900809232540106
2280,0,1,0.9900916353318447
2304,0,1,0.990100996828238
2328,0,1,0.9901091572125805
2352,0,1,0.9901162520721238
2376,0,1,0.9901224042268681
2400,0,1,0.9901277247039996
