cycle,hour_cyc,stp,value
0,0,1,4.5
24,0,1,4.5
48,0,1,4.5
72,0,1,4.5
96,0,1,4.5
120,0,1,4.5
144,0,1,4.5
168,0,1,4.5
192,0,1,4.5
216,0,1,4.5
240,0,1,4.5
264,0,1,4.5
288,0,1,4.5
312,0,1,4.5
336,0,1,4.5
360,0,1,4.5
384,0,1,4.5
408,0,1,4.5
432,0,1,4.5
456,0,1,4.5
480,0,1,4.5
504,0,1,4.5
528,0,1,4.5
552,0,1,4.5
576,0,1,4.5
600,0,1,4.5
624,0,1,4.5
648,0,1,4.5
672,0,1,4.5
696,0,1,4.5
720,0,1,4.5
744,0,1,4.5
768,0,1,4.5
792,0,1,4.5
816,0,1,4.5
840,0,1,4.5
864,0,1,4.5
888,0,1,4.5
912,0,1,4.5
936,0,1,4.5
960,0,1,4.5
984,0,1,4.5
1008,0,1,4.5
1032,0,1,4.5
1056,0,1,4.5
1080,0,1,4.5
1104,0,1,4.5
1128,0,1,4.5
1152,0,1,4.5
1176,0,1,4.5
1200,0,1,4.5
1224,0,1,4.5
1248,0,1,4.5
1272,0,1,4.5
1296,0,1,4.5
1320,0,1,4.5
1344,0,1,4.5
1368,0,1,4.5
1392,0,1,4.5
1416,0,1,4.5
1440,0,1,4.5
1464,0,1,4.5
1488,0,1,4.5
1512,0,1,4.5
1536,0,1,4.5
1560,0,1,4.5
1584,0,1,4.5
1608,0,1,4.5
1632,0,1,4.5
1656,0,1,4.5
1680,0,1,4.5
1704,0,1,4.5
1728,0,1,4.5
1752,0,1,4.5
1776,0,1,4.5
1800,0,1,4.5
1824,0,1,4.5
1848,0,1,4.5
1872,0,1,4.5
1896,0,1,4.5
1920,0,1,4.5
1944,0,1,4.5
1968,0,1,4.5
1992,0,1,4.5
2016,0,1,4.5
2040,0,1,4.5
2064,0,1,4.5
2088,0,1,4.5
2112,0,1,4.5
2136,0,1,4.5
2160,0,1,4.5
2184,0,1,4.5
2208,0,1,4.5
2232,0,1,4.5
2256,0,1,4.5
2280,0,1,4.5
2304,0,1,4.5
2328,0,1,4.5
2352,0,1,4.5
2376,0,1,4.5
2400,0,1,4.5
2424,0,1,4.516666666666667
2448,0,1,4.533333333333333
2472,0,1,4.55
2496,0,1,4.566666666666666
2520,0,1,4.583333333333333
2544,0,1,4.6
2568,0,1,4.616666666666666
2592,0,1,4.633333333333334
2616,0,1,4.65
2640,0,1,4.666666666666667
2664,0,1,4.683333333333334
2688,0,1,4.7
2712,0,1,4.716666666666667
2736,0,1,4.733333333333333
2760,0,1,4.75
2784,0,1,4.766666666666667
2808,0,1,4.783333333333333
2832,0,1,4.8
2856,0,1,4.816666666666666
2880,0,1,4.833333333333333
2904,0,1,4.85
2928,0,1,4.866666666666666
2952,0,1,4.883333333333334
2976,0,1,4.9
3000,0,1,4.916666666666667
3024,0,1,4.933333333333334
3048,0,1,4.95
3072,0,1,4.966666666666667
3096,0,1,4.983333333333333
3120,0,1,5.0
3144,0,1,5.1
3168,0,1,5.2
3192,0,1,5.3
3216,0,1,5.4
3240,0,1,5.5
3264,0,1,5.6
3288,0,1,5.7
3312,0,1,5.8
3336,0,1,5.9
3360,0,1,6.0
3384,0,1,6.1
3408,0,1,6.2
3432,0,1,6.3
3456,0,1,6.4
3480,0,1,6.5
3504,0,1,6.6
3528,0,1,6.7
3552,0,1,6.8
3576,0,1,6.9
3600,0,1,7.0
3624,0,1,7.03
3648,0,1,7.06
3672,0,1,7.09
3696,0,1,7.12
3720,0,1,7.15
3744,0,1,7.18
3768,0,1,7.21
3792,0,1,7.24
3816,0,1,7.27
3840,0,1,7.3
3864,0,1,7.33
3888,0,1,7.36
3912,0,1,7.39
3936,0,1,7.42
3960,0,1,7.45
3984,0,1,7.48
4008,0,1,7.51
4032,0,1,7.54
4056,0,1,7.57
4080,0,1,7.6
4104,0,1,7.63
4128,0,1,7.66
4152,0,1,7.6899999999999995
4176,0,1,7.72
4200,0,1,7.75
4224,0,1,7.78
4248,0,1,7.8100000000000005
4272,0,1,7.84
4296,0,1,7.87
4320,0,1,7.9
4344,0,1,7.93
4368,0,1,7.96
4392,0,1,7.99
4416,0,1,8.02
4440,0,1,8.05
4464,0,1,8.08
4488,0,1,8.11
4512,0,1,8.14
4536,0,1,8.17
4560,0,1,8.2
4584,0,1,8.23
4608,0,1,8.26
4632,0,1,8.29
4656,0,1,8.32
4680,0,1,8.35
4704,0,1,8.379999999999999
4728,0,1,8.41
4752,0,1,8.44
4776,0,1,8.47
4800,0,1,8.5
4824,0,1,8.51
4848,0,1,8.52
4872,0,1,8.53
4896,0,1,8.54
4920,0,1,8.55
4944,0,1,8.56
4968,0,1,8.57
4992,0,1,8.58
5016,0,1,8.59
5040,0,1,8.6
5064,0,1,8.61
5088,0,1,8.62
5112,0,1,8.63
5136,0,1,8.64
5160,0,1,8.65
5184,0,1,8.66
5208,0,1,8.67
5232,0,1,8.68
5256,0,1,8.69
5280,0,1,8.7
5304,0,1,8.71
5328,0,1,8.72
5352,0,1,8.73
5376,0,1,8.74
5400,0,1,8.75
5424,0,1,8.76
5448,0,1,8.77
5472,0,1,8.78
5496,0,1,8.79
5520,0,1,8.8
5544,0,1,8.81
5568,0,1,8.82
5592,0,1,8.83
5616,0,1,8.84
5640,0,1,8.85
5664,0,1,8.86
5688,0,1,8.87
5712,0,1,8.88
5736,0,1,8.89
5760,0,1,8.9
5784,0,1,8.91
5808,0,1,8.92
5832,0,1,8.93
5856,0,1,8.94
5880,0,1,8.95
5904,0,1,8.96
5928,0,1,8.97
5952,0,1,8.98
5976,0,1,8.99
6000,0,1,9.0
6024,0,1,0.0
6048,0,1,0.0
6072,0,1,0.0
6096,0,1,0.0
6120,0,1,0.0
6144,0,1,0.0
6168,0,1,0.0
6192,0,1,0.0
6216,0,1,0.0
6240,0,1,0.0
6264,0,1,0.0
6288,0,1,0.0
6312,0,1,0.0
6336,0,1,0.0
6360,0,1,0.0
6384,0,1,0.0
6408,0,1,0.0
6432,0,1,0.0
6456,0,1,0.0
6480,0,1,0.0
6504,0,1,0.0
6528,0,1,0.0
6552,0,1,0.0
6576,0,1,0.0
6600,0,1,0.0
6624,0,1,0.0
6648,0,1,0.0
6672,0,1,0.0
6696,0,1,0.0
6720,0,1,0.0
6744,0,1,0.0
