cycle,hour_cyc,stp,value
24,0,1,-6.300000000948517
24,0,2,0.0
48,0,1,-9.674262407646548
48,0,2,0.0
72,0,1,-10.010053787475343
72,0,2,0.0
96,0,1,-9.39692546427477
96,0,2,0.0
120,0,1,-8.203794562186706
120,0,2,0.0
144,0,1,-6.300000000626657
144,0,2,0.0
168,0,1,-0.5874361637421197
168,0,2,0.0
192,0,1,1.0
192,0,2,1.0
288,0,1,1.0
288,0,2,1.0
312,0,1,1.0
312,0,2,1.0
336,0,1,1.0
336,0,2,1.0
360,0,1,1.0
360,0,2,1.0
384,0,1,1.0
384,0,2,1.0
408,0,1,1.0
408,0,2,1.0
432,0,1,1.0
432,0,2,1.0
456,0,1,1.0
456,0,2,1.0
480,0,1,1.0
480,0,2,1.0
504,0,1,1.0
504,0,2,1.0
528,0,1,1.0
528,0,2,1.0
552,0,1,1.0
552,0,2,1.0
576,0,1,1.0
576,0,2,1.0
600,0,1,1.0
600,0,2,1.0
624,0,1,1.0
624,0,2,1.0
648,0,1,1.0
648,0,2,1.0
672,0,1,1.0
672,0,2,1.0
696,0,1,1.0
696,0,2,1.0
720,0,1,1.0
720,0,2,1.0
744,0,1,1.0
744,0,2,1.0
768,0,1,1.0
768,0,2,1.0
792,0,1,1.0
792,0,2,1.0
816,0,1,1.0
816,0,2,1.0
840,0,1,1.0
840,0,2,1.0
864,0,1,1.0
864,0,2,1.0
888,0,1,1.0
888,0,2,1.0
912,0,1,1.0
912,0,2,1.0
936,0,1,1.0
936,0,2,1.0
960,0,1,1.0
960,0,2,1.0
984,0,1,1.0
984,0,2,1.0
1008,0,1,1.0
1008,0,2,1.0
1032,0,1,1.0
1032,0,2,1.0
1056,0,1,1.0
1056,0,2,1.0
1080,0,1,1.0
1080,0,2,1.0
1104,0,1,1.0
1104,0,2,1.0
1128,0,1,1.0
1128,0,2,1.0
1152,0,1,1.0
1152,0,2,1.0
1176,0,1,1.0
1176,0,2,1.0
1200,0,1,1.0
1200,0,2,1.0
