cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000282005619
48,0,1,0.00000000737972027
72,0,1,0.00000001367899222
96,0,1,0.00000002160981645
120,0,1,0.00000003117041231
144,0,1,0.00000004222038159
168,0,1,0.00000005376306243
192,0,1,0.0000000653073596
216,0,1,0.0000000768472776
240,0,1,0.00000008838704759
264,0,1,0.00000009992661605
288,0,1,0.00000011146542706
312,0,1,0.00000012300213626
336,0,1,0.00000013453404448
360,0,1,0.00000014605639739
384,0,1,0.00000015756161354
408,0,1,0.0000001690385345
432,0,1,0.0000001804718065
456,0,1,0.00000019184149486
480,0,1,-0.00000008801922678
504,0,1,0.0000770623145532
528,0,1,0.00086572660431936
552,0,1,0.00513498870366799
576,0,1,0.02154616744185406
600,0,1,0.07190150214714655
624,0,1,0.20322958657709053
648,0,1,0.5059080982431379
672,0,1,1.138737795758894
696,0,1,2.361428700397651
720,0,1,4.574248144327056
744,0,1,8.363515983798495
768,0,1,14.550209908635061
792,0,1,24.237315221616832
816,0,1,38.85002800320105
840,0,1,60.16189600377663
864,0,1,90.29983199503434
888,0,1,131.72189622892097
912,0,1,187.1638398523988
936,0,1,259.55341754660424
960,0,1,351.89500994518494
984,0,1,467.1306301231391
1008,0,1,607.9864030516761
1032,0,1,776.8156715172395
1056,0,1,975.4507246564829
1080,0,1,1205.0746852562768
1104,0,1,1466.1234347380628
1128,0,1,1758.2248564081822
1152,0,1,2080.1785031071568
1176,0,1,2429.9747888144716
1200,0,1,2804.850038028034
1224,0,1,3201.372283487949
1248,0,1,3615.552139008548
1272,0,1,4042.972881383568
1296,0,1,4478.933722824982
1320,0,1,4918.600041755639
1344,0,1,5357.1541360122965
1368,0,1,5789.94001948144
1392,0,1,6212.596047940721
1416,0,1,6621.16982083309
1440,0,1,7012.210869839817
1464,0,1,7382.838041525048
1488,0,1,7730.780081887203
1512,0,1,8054.389578626843
1536,0,1,8352.631955687555
1560,0,1,8625.052511229476
1584,0,1,8871.725451093895
1608,0,1,9093.189447725936
1632,0,1,9290.374447496206
1656,0,1,9464.524293886652
1680,0,1,9617.119294410726
1704,0,1,9749.80221561951
1728,0,1,9864.310427709353
1752,0,1,9962.416117542012
1776,0,1,10045.875713701753
1800,0,1,10116.388970842629
1824,0,1,10175.56757686789
1848,0,1,10224.912692627478
1872,0,1,10265.800512690268
1896,0,1,10299.474739087502
1920,0,1,10327.044771827614
1944,0,1,10349.488420211901
1968,0,1,10367.658005806354
1992,0,1,10382.288840334724
2016,0,1,10394.009200983086
2040,0,1,10403.351076014276
2064,0,1,10410.761103043162
2088,0,1,10416.611262122504
2112,0,1,10421.20901034605
2136,0,1,10424.80665101677
2160,0,1,10427.609817636314
2184,0,1,10429.785021630467
2208,0,1,10431.466264419136
2232,0,1,10432.760751332447
2256,0,1,10433.753769379755
2280,0,1,10434.512805414028
2304,0,1,10435.090988060294
2328,0,1,10435.529937896395
2352,0,1,10435.862107486637
2376,0,1,10436.11268735953
2400,0,1,10436.301146977914
2424,0,1,10436.441950499908
2448,0,1,10436.546852663525
2472,0,1,10436.624794506228
2496,0,1,10436.68255225475
2520,0,1,10436.72524359714
2544,0,1,10436.756720684118
2568,0,1,10436.779873737145
2592,0,1,10436.796864526048
2616,0,1,10436.80930513525
2640,0,1,10436.81839427228
2664,0,1,10436.825020791604
2688,0,1,10436.829842022196
2712,0,1,10436.833342817283
2736,0,1,10436.835879917033
2760,0,1,10436.837715166854
2784,0,1,10436.839040311925
2808,0,1,10436.839995447763
2832,0,1,10436.840682709815
