cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000646199121
48,0,1,87.8877040474717
72,0,1,82.78114842513995
96,0,1,84.34450970800779
120,0,1,176.25240431993507
144,0,1,427.64459023779204
168,0,1,474.3929723920918
192,0,1,483.9389509417925
216,0,1,484.8260477467336
240,0,1,483.80391934433294
264,0,1,482.35348525652597
288,0,1,480.80519512079417
312,0,1,479.2403610750212
336,0,1,477.6712382629762
360,0,1,476.0967659118022
384,0,1,474.5121660866853
408,0,1,472.9100736380084
432,0,1,471.2808487005828
456,0,1,469.6131524728103
480,0,1,467.8948483351112
504,0,1,466.1141278459178
528,0,1,464.26069581338595
552,0,1,462.32683512897574
576,0,1,460.30817596052526
600,0,1,458.20400842739974
624,0,1,456.0170051455563
648,0,1,453.7522656454253
672,0,1,451.4156615006185
696,0,1,449.0115453835149
720,0,1,446.5399790132308
744,0,1,443.9937201744865
768,0,1,441.3552736267299
792,0,1,438.5943436517395
816,0,1,435.66602072061346
840,0,1,432.5099901325033
864,0,1,429.05097042088306
888,0,1,425.2004821623339
912,0,1,420.8599251550773
936,0,1,415.92481722512787
960,0,1,410.2899348756646
984,0,1,403.09782864294107
1008,0,1,394.4735413765329
1032,0,1,384.5360599023377
1056,0,1,373.39778971981303
1080,0,1,361.16560746988836
1104,0,1,347.94305006946604
1128,0,1,333.83310355821044
1152,0,1,318.94104413284873
1176,0,1,303.3768795468403
1200,0,1,287.25707422233387
1224,0,1,270.70537057040934
1248,0,1,253.85262820857517
1272,0,1,236.83569428988517
1296,0,1,219.79539687489722
1320,0,1,202.87382048478986
1344,0,1,186.21107602673248
1368,0,1,169.94181181824857
