cycle,hour_cyc,stp,value
0,0,0,0.0
0,0,1,0.0
24,0,0,0.0
24,0,1,2743.3721179999993
48,0,0,2743.3721179999993
48,0,1,2846.6903940026396
72,0,0,2846.6903940026396
72,0,1,2841.614270005388
96,0,0,2841.614270005388
96,0,1,2849.310820408135
120,0,0,2849.310820408135
120,0,1,2985.1624262462506
144,0,0,2985.1624262462506
144,0,1,3243.731007749562
168,0,0,3243.731007749562
168,0,1,3640.932067989277
192,0,0,3640.932067989277
192,0,1,4174.647649811558
216,0,0,4174.647649811558
216,0,1,4774.091454591793
240,0,0,4774.091454591793
240,0,1,5444.732639700904
264,0,0,5444.732639700904
264,0,1,6172.4127402207605
288,0,0,6172.4127402207605
288,0,1,6974.317145991329
312,0,0,6974.317145991329
312,0,1,7839.191923289728
336,0,0,7839.191923289728
336,0,1,8741.902594910149
360,0,0,8741.902594910149
360,0,1,9728.3403073271
384,0,0,9728.3403073271
384,0,1,10807.520397873224
408,0,0,10807.520397873224
408,0,1,11967.75999215886
432,0,0,11967.75999215886
432,0,1,13263.497931806734
456,0,0,13263.497931806734
456,0,1,14701.619748953777
480,0,0,14701.619748953777
480,0,1,16247.771861449824
504,0,0,16247.771861449824
504,0,1,17946.702266778608
528,0,0,17946.702266778608
528,0,1,19682.603429769235
552,0,0,19682.603429769235
552,0,1,21436.33779320108
576,0,0,21436.33779320108
576,0,1,23334.701906084934
600,0,0,23334.701906084934
600,0,1,25373.792432321796
624,0,0,25373.792432321796
624,0,1,27548.313530146486
648,0,0,27548.313530146486
648,0,1,29851.721156593856
672,0,0,29851.721156593856
672,0,1,32303.445375817086
696,0,0,32303.445375817086
696,0,1,34893.642137206385
720,0,0,34893.642137206385
720,0,1,37605.861786716654
744,0,0,37605.861786716654
744,0,1,40472.55871202177
768,0,0,40472.55871202177
768,0,1,43437.460103307574
792,0,0,43437.460103307574
792,0,1,46495.00240802649
816,0,0,46495.00240802649
816,0,1,49609.75956687238
840,0,0,49609.75956687238
840,0,1,52750.24251516044
864,0,0,52750.24251516044
864,0,1,55905.67396061719
888,0,0,55905.67396061719
888,0,1,59070.522164793525
912,0,0,59070.522164793525
912,0,1,62235.37036896993
936,0,0,62235.37036896993
936,0,1,65400.218573146405
960,0,0,65400.218573146405
960,0,1,68565.06677732294
984,0,0,68565.06677732294
984,0,1,71729.91498149956
1008,0,0,71729.91498149956
1008,0,1,74893.50964842646
1032,0,0,74893.50964842646
1032,0,1,78054.92506749474
1056,0,0,78054.92506749474
