cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000000018548
48,0,1,0.01183675761745109
72,0,1,0.11825469960621136
96,0,1,0.5861925520325225
120,0,1,0.6747996575628771
144,0,1,0.712294788275238
168,0,1,0.7330029686043809
192,0,1,0.7368896008875756
216,0,1,0.737009463225093
240,0,1,0.7370094632251029
264,0,1,0.7370094632251126
288,0,1,0.7370094632251206
312,0,1,0.7370094632251286
336,0,1,0.7370094632251364
360,0,1,0.7370094632251444
384,0,1,0.7370094632251524
408,0,1,0.7370094632251601
432,0,1,0.7370094632251682
456,0,1,0.7370094632251761
480,0,1,0.737009463225184
504,0,1,0.7370094632251919
528,0,1,0.7370094632251999
552,0,1,0.7370094632252078
576,0,1,0.7370094632252157
600,0,1,0.7370094632252238
624,0,1,0.7370094632252315
648,0,1,0.7370094632252395
672,0,1,0.737009463225248
696,0,1,0.7370094632252586
720,0,1,0.7370094632252863
744,0,1,0.7370094632254061
768,0,1,0.7370094632259734
792,0,1,0.7370094632284778
816,0,1,0.7370094632385309
840,0,1,0.7370094632753654
864,0,1,0.7370094633994625
888,0,1,0.7370094637866825
912,0,1,0.7370094649129721
936,0,1,0.7370094679842116
960,0,1,0.7370094758752256
984,0,1,0.737045059124894
1008,0,1,0.7371404454512027
1032,0,1,0.7373135259158397
1056,0,1,0.7375748344691695
1080,0,1,0.737927143328013
1104,0,1,0.7383657802299263
1128,0,1,0.7388796598399591
1152,0,1,0.7394529089203645
1176,0,1,0.7400668782509202
1200,0,1,0.7407022925665222
1224,0,1,0.7413412987319677
1248,0,1,0.7419692234424635
1272,0,1,0.7425759263526458
1296,0,1,0.7431567113596008
1320,0,1,0.7437128204515326
1344,0,1,0.7442515716364048
1368,0,1,0.7447862139449901
1392,0,1,0.7453355637557569
1416,0,1,0.7459234665244531
1440,0,1,0.7465781057513724
1464,0,1,0.7473311643857997
1488,0,1,0.7482168376417462
1512,0,1,0.7492707017678919
1536,0,1,0.7505284588230381
1560,0,1,0.7520245985892796
1584,0,1,0.7537910397054085
1608,0,1,0.7558558273063335
1632,0,1,0.758241969744336
1656,0,1,0.760966490588902
1680,0,1,0.7640397550035979
1704,0,1,0.7674651050040325
1728,0,1,0.7712388105164826
1752,0,1,0.7753503171666906
1776,0,1,0.779782750951764
1800,0,1,0.7845136264266359
1824,0,1,0.7895156991380882
1848,0,1,0.7947579037844436
1872,0,1,0.8002063251928597
1896,0,1,0.8058251576882571
1920,0,1,0.8115776179915496
1944,0,1,0.8174267861027847
1968,0,1,0.8233363568928316
1992,0,1,0.8292712919989104
2016,0,1,0.8351983670766606
2040,0,1,0.8410866136755099
2064,0,1,0.8469076582182091
2088,0,1,0.8526359630160888
2112,0,1,0.8582489761267679
2136,0,1,0.8637271982875594
2160,0,1,0.8690541762079811
2184,0,1,0.8742164322125984
2208,0,1,0.8791433691550223
2232,0,1,0.8837194602518714
2256,0,1,0.8879766995058397
2280,0,1,0.8919427645124112
2304,0,1,0.8956419241812048
2328,0,1,0.8990957055365543
2352,0,1,0.9023233882392168
2376,0,1,0.9053423751924515
2400,0,1,0.9081684736294049
