cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000000018548
48,0,1,0.01197854474824587
72,0,1,0.13411435201684505
96,0,1,1.4165828935940108
120,0,1,2.075027512289133
144,0,1,2.4757799276735613
168,0,1,2.7453599943523868
192,0,1,2.8006859606210788
216,0,1,2.802418186841063
240,0,1,2.802418186841206
264,0,1,2.80241818684135
288,0,1,2.802418186841464
312,0,1,2.8024181868415785
336,0,1,2.802418186841692
360,0,1,2.8024181868418077
384,0,1,2.802418186841923
408,0,1,2.8024181868420364
432,0,1,2.802418186842151
456,0,1,2.802418186842266
480,0,1,2.80241818684238
504,0,1,2.8024181868424947
528,0,1,2.8024181868426092
552,0,1,2.8024181868427247
576,0,1,2.802418186842838
600,0,1,2.802418186842954
624,0,1,2.802418186843068
648,0,1,2.802418186843184
672,0,1,2.8024181868433033
696,0,1,2.8024181868434606
720,0,1,2.802418186843858
744,0,1,2.8024181868455895
768,0,1,2.8024181868537927
792,0,1,2.802418186890002
816,0,1,2.8024181870353546
840,0,1,2.802418187567923
864,0,1,2.802418189362166
888,0,1,2.80241819496074
912,0,1,2.8024182112450693
936,0,1,2.80241825565023
960,0,1,2.8024183697415492
984,0,1,2.8029329157004264
1008,0,1,2.8043129218434406
1032,0,1,2.8068195307216954
1056,0,1,2.8106101523350935
1080,0,1,2.8157328183422297
1104,0,1,2.822129998433723
1128,0,1,2.8296518738720216
1152,0,1,2.838077776482844
1176,0,1,2.847143423935509
1200,0,1,2.8565709272865356
1224,0,1,2.8660984343370743
1248,0,1,2.8755066869979244
1272,0,1,2.884640569280643
1296,0,1,2.8934246843415825
1320,0,1,2.901872898058431
1344,0,1,2.9100924545206164
1368,0,1,2.91828362980539
1392,0,1,2.9267359618322284
1416,0,1,2.935821960103383
1440,0,1,2.945988972124556
1464,0,1,2.9577496669470493
1488,0,1,2.9716714598140355
1512,0,1,2.9883651693320186
1536,0,1,3.008473252228208
1560,0,1,3.0326580552387323
1584,0,1,3.061590605002717
1608,0,1,3.095940480441954
1632,0,1,3.1363672550710318
1656,0,1,3.1835138615656007
1680,0,1,3.2380020414678232
1704,0,1,3.300429834487171
1728,0,1,3.371370870459877
1752,0,1,3.4513750804714136
1776,0,1,3.5409703568722803
1800,0,1,3.640664666712867
1824,0,1,3.7509481510264737
1848,0,1,3.872294809100692
1872,0,1,4.005163456577364
1896,0,1,4.149997744787788
1920,0,1,4.307225125490409
1944,0,1,4.477254733342093
1968,0,1,4.660474234607377
1992,0,1,4.857245753851884
2016,0,1,5.067901041157584
2040,0,1,5.292736081767645
2064,0,1,5.53200537898456
2088,0,1,5.785916160190278
2112,0,1,6.054622765154063
2136,0,1,6.338221475112659
2160,0,1,6.636746030085682
2184,0,1,6.950164060302313
2208,0,1,7.274266732478227
2232,0,1,7.5998912816028135
2256,0,1,7.926714313796972
2280,0,1,8.254354837856809
2304,0,1,8.582392087569493
2328,0,1,8.910380973549811
2352,0,1,9.237865359714451
2376,0,1,9.564389313942034
2400,0,1,9.889506463873895
2424,0,1,10.212787586420767
2448,0,1,10.533826565684473
2472,0,1,10.852244863305817
