cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000286400272
48,0,1,-0.1895986418138531
72,0,1,-0.1885349948360793
96,0,1,-0.03387493986436944
120,0,1,1.210587234516188
144,0,1,2.692794237675077
168,0,1,3.0002687210121897
192,0,1,2.896218465457322
216,0,1,2.8923844598602586
240,0,1,2.892384459859941
264,0,1,2.8923844598596236
288,0,1,2.8923844598603288
312,0,1,2.892384459860992
336,0,1,2.8923844598615918
360,0,1,2.8923844598621735
384,0,1,2.892384459862741
408,0,1,2.892384459863284
432,0,1,2.8923844598638326
456,0,1,2.8923844598643824
480,0,1,2.8923844598649096
504,0,1,2.892384459865431
528,0,1,2.8923844598658484
552,0,1,2.8923844598662543
576,0,1,2.8923844598666593
600,0,1,2.8923844598670536
624,0,1,2.892384459867437
648,0,1,2.8923844598678032
672,0,1,2.8923844598681643
696,0,1,2.892384459868545
720,0,1,2.892384459869126
744,0,1,2.8923844598709474
768,0,1,2.8923844598789157
792,0,1,2.892384459913844
816,0,1,2.8923844600549535
840,0,1,2.8923844605758444
864,0,1,2.8923844623424473
888,0,1,2.892384467886147
912,0,1,2.8923844840888133
936,0,1,2.892384528453542
960,0,1,2.892384642844319
984,0,1,2.8938364219406587
1008,0,1,2.896931211269637
1032,0,1,2.9017615212544974
1056,0,1,2.908314595515609
1080,0,1,2.9164743120304255
1104,0,1,2.9260320564553215
1128,0,1,2.9367059434084073
1152,0,1,2.9481665809939264
1176,0,1,2.9600666928756247
1200,0,1,2.972071507641457
1224,0,1,2.9838869662932765
1248,0,1,2.9952834194986226
1272,0,1,3.006113407074577
1296,0,1,3.0163230991937784
1320,0,1,3.0259578160495497
1344,0,1,3.035162589048807
1368,0,1,3.0441789403956854
1392,0,1,3.0533389878710055
1416,0,1,3.06305773409713
1440,0,1,3.0738240979545792
1464,0,1,3.0861909946811243
1488,0,1,3.1007646335800754
1512,0,1,3.1181931922600197
1536,0,1,3.139155115390517
1560,0,1,3.164347419015073
1584,0,1,3.1944744971269246
1608,0,1,3.2302379763729996
1632,0,1,3.272328122767082
1656,0,1,3.321417174347939
1680,0,1,3.3781547817933144
1704,0,1,3.443165523432397
1728,0,1,3.517048260829849
1752,0,1,3.600376946303908
1776,0,1,3.693702400821527
1800,0,1,3.7975545520791085
1824,0,1,3.9124446496804137
1848,0,1,4.038867042345018
1872,0,1,4.17730019450637
1896,0,1,4.328206721688128
1920,0,1,4.492032324462994
1944,0,1,4.669203592436632
1968,0,1,4.860124728956228
1992,0,1,5.065173313091182
2016,0,1,5.284695268344225
2040,0,1,5.518999248579652
2064,0,1,5.768350681800945
2088,0,1,6.032965732276224
2112,0,1,6.313005451223137
2136,0,1,6.608570385583446
2160,0,1,6.919695902962957
2184,0,1,7.246348468347135
2208,0,1,7.584141727421893
2232,0,1,7.923526054091576
2256,0,1,8.264164499136577
2280,0,1,8.605659983821877
2304,0,1,8.947573890159331
2328,0,1,9.289442178872761
2352,0,1,9.630789238940185
2376,0,1,9.971139624851297
2400,0,1,10.310027818179487
2424,0,1,10.64700614747792
2448,0,1,10.981651006859325
2472,0,1,11.313567523294042
2496,0,1,11.642392831887351
2520,0,1,11.967798124841549
2544,0,1,12.289489642250123
2568,0,1,12.607208770925228
2592,0,1,12.920731411327992
2616,0,1,13.229866762941917
2640,0,1,13.534455665900529
2664,0,1,13.834368622227196
2688,0,1,14.129503604521704
2712,0,1,14.419783744102123
2736,0,1,14.705154975123301
2760,0,1,14.9855836965449
2784,0,1,15.261054500369752
2808,0,1,15.531568002545345
2832,0,1,15.797138802431276
2856,0,1,16.05779358780642
2880,0,1,16.31356939497323
2904,0,1,16.56451202751442
2928,0,1,16.810674632537985
2952,0,1,17.05211642966043
2976,0,1,17.288901585369523
3000,0,1,17.521098223622218
3024,0,1,17.74877756242611
3048,0,1,17.972013165590234
3072,0,1,18.190880298695042
3096,0,1,18.405455378519182
3120,0,1,18.61581550558524
3144,0,1,18.822038070075063
3168,0,1,19.024200422058776
3192,0,1,19.222379597733195
3216,0,1,19.41665209413869
3240,0,1,19.607093685591128
3264,0,1,19.793779275807086
3288,0,1,19.9767827804028
3312,0,1,20.156177035100804
3336,0,1,20.332033725578196
3360,0,1,20.504423335434616
3384,0,1,20.673415109246783
3408,0,1,20.839077028111223
3432,0,1,21.001475795460422
3456,0,1,21.16067683127422
3480,0,1,21.31674427310082
3504,0,1,21.469740982555194
3528,0,1,21.61972855618052
3552,0,1,21.766767339744874
3576,0,1,21.910916445204247
3600,0,1,22.052233769697473
3624,0,1,22.19077601605243
3648,0,1,22.32659871437816
3672,0,1,22.45975624439773
3696,0,1,22.59030185824275
3720,0,1,22.718287703486165
3744,0,1,22.843764846235235
3768,0,1,22.966783294144435
3792,0,1,23.087392019238642
3816,0,1,23.205638980462258
3840,0,1,23.321571145890356
3864,0,1,23.435234514554143
3888,0,1,23.546674137825608
3912,0,1,23.65593414044626
3936,0,1,23.763057740966016
3960,0,1,23.86808727180403
3984,0,1,23.97106419881806
