cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000000055643
48,0,1,0.3616800000005565
72,0,1,7.696550400034103
96,0,1,119.81735040003412
120,0,1,231.9381504000341
144,0,1,344.0589504000342
168,0,1,456.17975040003404
192,0,1,488.05959304624344
216,0,1,489.00204901665256
240,0,1,489.0020490167308
264,0,1,489.00204901680894
288,0,1,489.0020490168821
312,0,1,489.00204901695514
336,0,1,489.0020490170283
360,0,1,489.00204901710157
384,0,1,489.0020490171746
408,0,1,489.00204901724777
432,0,1,489.00204901732087
456,0,1,489.0020490173941
480,0,1,489.00204901746713
504,0,1,489.0020490166689
528,0,1,489.00204898881117
552,0,1,489.00204844800703
576,0,1,489.00204330496473
600,0,1,489.0020117872346
624,0,1,489.00186808881807
648,0,1,489.0013401168663
672,0,1,488.99969799914743
696,0,1,488.9952303954971
720,0,1,488.9843488471349
744,0,1,488.9602108769272
768,0,1,488.91080103668224
792,0,1,488.816497215903
816,0,1,488.6472670197814
840,0,1,488.3597647768566
864,0,1,487.8947064664666
888,0,1,487.1749609372752
912,0,1,486.1047920589464
936,0,1,484.57061103768126
960,0,1,482.44345811924154
984,0,1,478.32971044599185
1008,0,1,472.4118227858824
1032,0,1,464.8508180370436
1056,0,1,455.7819590081953
1080,0,1,445.3147724406066
1104,0,1,433.5367923914953
1128,0,1,420.52002022073685
1152,0,1,406.32890693868177
1176,0,1,391.02869459075583
1200,0,1,374.69311876551774
1224,0,1,357.41069800898276
1248,0,1,339.28907736794383
1272,0,1,320.4571345091821
1296,0,1,301.06478731365195
1320,0,1,281.2806506470401
1344,0,1,261.2878649096545
1368,0,1,241.2785486275084
1392,0,1,221.44740414139048
1416,0,1,201.98502729605804
1440,0,1,183.07144274767495
1464,0,1,164.8703149433806
1488,0,1,147.52418320624736
1512,0,1,131.15095134561932
1536,0,1,115.84174109449674
1560,0,1,101.66010592440631
1584,0,1,88.64250612143167
1608,0,1,76.7998729614448
1632,0,1,66.1200417805822
1656,0,1,56.57081030063097
1680,0,1,48.1033771583277
1704,0,1,40.655932144802705
1728,0,1,34.15719935683455
1752,0,1,28.529772323147483
1776,0,1,23.693121583921595
1800,0,1,19.56619626616788
1824,0,1,16.069578913146245
1848,0,1,13.127185158905775
1872,0,1,10.667525670859732
1896,0,1,8.624566784888373
1920,0,1,6.938238719443916
1944,0,1,5.554646904015328
1968,0,1,4.426043779576901
1992,0,1,3.5106165185447367
2016,0,1,2.7721415513476586
2040,0,1,2.1795505607141195
2064,0,1,1.7064455485465828
2088,0,1,1.3305933560141057
2112,0,1,1.0334231125808628
2136,0,1,0.7995438303170772
2160,0,1,0.6162939342233926
2184,0,1,0.47333000515664025
2208,0,1,0.36225840441039736
2232,0,1,0.27631068644467405
2256,0,1,0.2100616923197549
2280,0,1,0.15918783766602473
2304,0,1,0.12026224830793808
2328,0,1,0.0905829421026283
2352,0,1,0.06803010641425544
2376,0,1,0.05094859030310772
2400,0,1,0.03805194743944185
2424,0,1,0.02834467310333366
2448,0,1,0.02105963292717661
2472,0,1,0.01560805037024693
2496,0,1,0.01153978202825101
2520,0,1,0.00851195021766671
2544,0,1,0.00626431224316093
2568,0,1,0.00460002117443992
2592,0,1,0.0033706728083871
2616,0,1,0.00246473886159038
2640,0,1,0.00179865976349447
2664,0,1,0.00131001486056448
2688,0,1,0.00095230687333014
2712,0,1,0.00069099456800359
2736,0,1,0.00050048613115905
2760,0,1,0.00036186870960364
2784,0,1,0.00026119970186755
2808,0,1,0.0001882250073777
2832,0,1,0.00013542055472726
2856,0,1,0.0000972777237962
2880,0,1,0.00006977213610071
2904,0,1,0.00004996985302341
2928,0,1,0.00003573621671649
2952,0,1,0.0000255211334661
2976,0,1,0.00001820111975803
3000,0,1,0.00001296338371048
3024,0,1,0.00000922094915268
3048,0,1,0.00000655064792454
3072,0,1,0.00000464791582999
3096,0,1,0.00000329390610432
3120,0,1,0.000002331612734
3144,0,1,0.00000164856805895
3168,0,1,0.00000116432840969
3192,0,1,0.00000082143844793
3216,0,1,0.00000057891992356
3240,0,1,0.00000040758584419
3264,0,1,0.00000028667568586
3288,0,1,0.0000002014413667
3312,0,1,0.00000014141954807
3336,0,1,0.00000009919563126
3360,0,1,0.000000069521775
3384,0,1,0.0000000486881504
3408,0,1,0.0000000340751285
3432,0,1,0.00000002383472975
3456,0,1,0.00000001666512617
3480,0,1,0.00000001164983132
3504,0,1,0.0000000081445819
3528,0,1,0.00000000569667691
3552,0,1,0.00000000398858901
3576,0,1,0.0000000027976057
3600,0,1,0.00000000196780547
3624,0,1,0.00000000139004896
3648,0,1,0.00000000098799546
3672,0,1,0.00000000070838269
3696,0,1,0.00000000051403504
3720,0,1,0.00000000037897507
3744,0,1,0.00000000028506975
3768,0,1,0.0000000002198135
3792,0,1,0.00000000017445245
3816,0,1,0.00000000014284751
3840,0,1,0.00000000012084911
3864,0,1,0.00000000010606982
3888,0,1,0.00000000016893864
3912,0,1,0.00000000023504754
3936,0,1,0.00000000030331648
3960,0,1,0.0000000003731202
3984,0,1,0.0000000004439471
4008,0,1,0.00000000051545612
4032,0,1,0.00000000058753358
4056,0,1,0.00000000065989525
4080,0,1,0.00000000073254114
4104,0,1,0.00000000080530072
4128,0,1,0.00000000087817398
4152,0,1,0.00000000095116093
4176,0,1,0.00000000102420472
4200,0,1,0.00000000109724851
4224,0,1,0.00000000117034915
4248,0,1,0.00000000124344979
4272,0,1,0.00000000131655042
4296,0,1,0.00000000138965106
4320,0,1,0.00000000146280854
4344,0,1,0.00000000153590918
4368,0,1,0.00000000160906666
4392,0,1,0.00000000168216729
4416,0,1,0.00000000175532477
4440,0,1,0.00000000182848225
4464,0,1,0.00000000190158289
4488,0,1,0.00000000197468353
4512,0,1,0.00000000204784101
4536,0,1,0.0000000021208848
4560,0,1,0.00000000219392859
4584,0,1,0.00000000226691554
