cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000000055643
48,0,1,0.3616800000005565
72,0,1,7.696550400034103
96,0,1,119.81735040003412
120,0,1,231.9381504000341
144,0,1,344.0589504000342
168,0,1,456.17975040003404
192,0,1,488.05959304624344
216,0,1,489.00204901665256
240,0,1,489.0020490167308
264,0,1,489.00204901680894
288,0,1,489.0020490168821
312,0,1,489.00204901695514
336,0,1,489.0020490170283
360,0,1,489.00204901710157
384,0,1,489.0020490171746
408,0,1,489.00204901724777
432,0,1,489.00204901732087
456,0,1,489.0020490173941
480,0,1,489.00204901746713
504,0,1,489.0020490175403
528,0,1,489.0020490176134
552,0,1,489.00204901768666
576,0,1,489.0020490177597
600,0,1,489.00204901783286
624,0,1,489.002049017906
648,0,1,489.0020490179792
672,0,1,489.0020490180523
696,0,1,489.00204901812543
720,0,1,489.00204901819853
744,0,1,489.0020490182718
768,0,1,489.0020490183449
792,0,1,489.00204901841795
816,0,1,489.0020490184912
840,0,1,489.0020490185644
864,0,1,489.0020490186374
888,0,1,489.0020490187106
912,0,1,489.0020490187837
936,0,1,489.00204901885695
960,0,1,489.00204901892994
984,0,1,487.748511769198
1008,0,1,485.56926391058306
1032,0,1,482.76891201923905
1056,0,1,479.6167161213003
1080,0,1,476.3386952966723
1104,0,1,473.11396006551706
1128,0,1,470.0748521512784
1152,0,1,467.31017793103643
1176,0,1,464.8706607283259
1200,0,1,462.7757032343951
1224,0,1,461.02062317297407
1248,0,1,459.5836715144053
1272,0,1,458.4323286407268
1296,0,1,457.528568057994
1320,0,1,456.83295441650995
1344,0,1,456.3075862612994
1368,0,1,455.9179963858851
1392,0,1,455.63418366902715
1416,0,1,455.43097499357236
1440,0,1,455.2879125188112
1464,0,1,455.1888394409412
1488,0,1,455.12132507706326
1512,0,1,455.0760347078724
1536,0,1,455.04611615719386
1560,0,1,455.0266466118184
1584,0,1,455.0141610275337
1608,0,1,455.00626769838703
1632,0,1,455.00134645590094
1656,0,1,454.99831938413774
1680,0,1,454.99648166157465
1704,0,1,454.99538005117176
1728,0,1,454.9947277415294
1752,0,1,454.9943460183906
1776,0,1,454.99412516382006
1800,0,1,454.9939987707851
1824,0,1,454.99392719047273
1848,0,1,454.99388705675335
1872,0,1,454.99386476949985
1896,0,1,454.9938525060505
1920,0,1,454.9938458173074
1944,0,1,454.9938421998281
1968,0,1,454.99384025922643
1992,0,1,454.9938392263252
2016,0,1,454.9938386807181
2040,0,1,454.9938383946363
2064,0,1,454.99383824571237
2088,0,1,454.99383816873484
2112,0,1,454.99383812922207
2136,0,1,454.993838109079
2160,0,1,454.9938380988796
2184,0,1,454.99383809374956
2208,0,1,454.993838091186
2232,0,1,454.99383808991274
2256,0,1,454.9938380892839
2280,0,1,454.99383808897466
2304,0,1,454.9938380888228
2328,0,1,454.9938380887481
2352,0,1,454.99383808871085
2376,0,1,454.9938380886917
2400,0,1,454.9938380886813
2424,0,1,454.9938380886751
2448,0,1,454.99383808867094
2472,0,1,454.99383808866776
2496,0,1,454.9938380886651
2520,0,1,454.9938380886627
2544,0,1,454.9938380886605
2568,0,1,454.9938380886583
2592,0,1,454.9938380886563
2616,0,1,454.99383808865434
2640,0,1,454.9938380886524
2664,0,1,454.99383808865053
2688,0,1,454.9938380886488
2712,0,1,454.993838088647
2736,0,1,454.9938380886453
2760,0,1,454.99383808864366
2784,0,1,454.993838088642
2808,0,1,454.9938380886404
2832,0,1,454.99383808863894
2856,0,1,454.99383808863746
2880,0,1,454.99383808863604
2904,0,1,454.9938380886347
2928,0,1,454.99383808863325
2952,0,1,454.99383808863195
2976,0,1,454.99383808863064
3000,0,1,454.9938380886294
3024,0,1,454.9938380886282
3048,0,1,454.99383808862694
3072,0,1,454.9938380886258
3096,0,1,454.99383808862467
3120,0,1,454.99383808862353
3144,0,1,454.9938380886224
3168,0,1,454.9938380886214
3192,0,1,454.9938380886203
3216,0,1,454.9938380886193
3240,0,1,454.9938380886183
3264,0,1,454.99383808861734
3288,0,1,454.9938380886163
3312,0,1,454.9938380886154
3336,0,1,454.9938380886145
3360,0,1,454.9938380886136
3384,0,1,454.9938380886127
3408,0,1,454.9938380886119
3432,0,1,454.993838088611
3456,0,1,454.99383808861023
3480,0,1,454.9938380886094
3504,0,1,454.9938380886086
3528,0,1,454.9938380886078
3552,0,1,454.99383808860705
3576,0,1,454.99383808860625
3600,0,1,454.9938380886055
3624,0,1,454.9938380886048
3648,0,1,454.99383808860404
3672,0,1,454.99383808860335
3696,0,1,454.9938380886027
3720,0,1,454.99383808860205
3744,0,1,454.99383808860136
3768,0,1,454.9938380886007
3792,0,1,454.99383808860006
3816,0,1,454.99383808859943
3840,0,1,454.99383808859886
3864,0,1,454.99383808859886
3888,0,1,454.99383808867196
3912,0,1,454.9938380887451
3936,0,1,454.9938380888183
3960,0,1,454.99383808889144
3984,0,1,454.9938380889646
4008,0,1,454.9938380890377
4032,0,1,454.99383808911085
4056,0,1,454.99383808918395
4080,0,1,454.9938380892571
4104,0,1,454.9938380893302
4128,0,1,454.9938380894033
4152,0,1,454.99383808947647
4176,0,1,454.9938380895496
4200,0,1,454.9938380896227
4224,0,1,454.9938380896959
4248,0,1,454.99383808976904
4272,0,1,454.99383808984214
4296,0,1,454.99383808991524
4320,0,1,454.9938380899884
4344,0,1,454.9938380900615
4368,0,1,454.99383809013466
4392,0,1,454.99383809020776
4416,0,1,454.9938380902809
4440,0,1,454.9938380903541
4464,0,1,454.9938380904272
4488,0,1,454.9938380905003
4512,0,1,454.9938380905735
4536,0,1,454.9938380906466
4560,0,1,454.99383809071975
4584,0,1,454.9938380907929
4608,0,1,454.993838090866
4632,0,1,454.99383809093916
4656,0,1,454.9938380910123
4680,0,1,454.9938380910855
4704,0,1,454.9938380911586
4728,0,1,454.99383809123174
4752,0,1,454.9938380913049
