cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000038771947
48,0,1,5.273262242859823
72,0,1,5.06312340381729
96,0,1,5.252183523207091
120,0,1,10.861275401379148
144,0,1,26.039074564486523
168,0,1,28.938024656767777
192,0,1,29.604796007632334
216,0,1,29.75202847474828
240,0,1,29.78470634322107
264,0,1,29.791685675920554
288,0,1,29.79279968090736
312,0,1,29.79295760907933
336,0,1,29.792980760807072
360,0,1,29.792984107087594
384,0,1,29.792984448053794
408,0,1,29.79298448860648
432,0,1,29.792984492523033
456,0,1,29.792984492850163
480,0,1,29.792984492949728
504,0,1,29.79298449304135
528,0,1,29.79298449313752
552,0,1,29.792984493227475
576,0,1,29.792984493319015
600,0,1,29.79298449340763
624,0,1,29.79298449349417
648,0,1,29.792984493579432
672,0,1,29.79298449366106
696,0,1,29.792984493742242
720,0,1,29.79298449381925
744,0,1,29.79298449389623
768,0,1,29.792984493968966
792,0,1,29.79298449403725
816,0,1,29.792984494101592
840,0,1,29.79298449416243
864,0,1,29.792984494220047
888,0,1,29.79298449427475
912,0,1,29.792984494326838
936,0,1,29.79298449437656
960,0,1,29.792984494424125
984,0,1,29.747553799493893
1008,0,1,29.669563606245568
1032,0,1,29.57054002024888
1056,0,1,29.460338888729147
1080,0,1,29.346976293746668
1104,0,1,29.23660367351936
1128,0,1,29.133604578436955
1152,0,1,29.04078280591432
1176,0,1,28.95960902055615
1200,0,1,28.89049434639382
1224,0,1,28.83306382234084
1248,0,1,28.786408864578053
1272,0,1,28.74930482522256
1296,0,1,28.72038640036825
1320,0,1,28.69827932297803
1344,0,1,28.68169108297333
1368,0,1,28.669466234484116
