cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000038771947
48,0,1,5.273262242848302
72,0,1,4.966868905508397
96,0,1,5.060670582480467
120,0,1,10.575144259196104
144,0,1,25.65867541426752
168,0,1,28.463578343525505
192,0,1,29.03633705650755
216,0,1,29.089562864804016
240,0,1,29.028235160659975
264,0,1,28.94120911539156
288,0,1,28.84831170724765
312,0,1,28.754421664501272
336,0,1,28.66027429577857
360,0,1,28.565805954708132
384,0,1,28.470729965201116
408,0,1,28.3746044182805
432,0,1,28.276850922034967
456,0,1,28.17678914836862
480,0,1,28.07369090010667
504,0,1,27.966847670755065
528,0,1,27.855641748803155
552,0,1,27.739610107738542
576,0,1,27.618490557631514
600,0,1,27.492240505643984
624,0,1,27.361020308733377
648,0,1,27.22513593872552
672,0,1,27.08493969003711
696,0,1,26.94069272301089
720,0,1,26.792398740793846
744,0,1,26.63962321046919
768,0,1,26.481316417603793
792,0,1,26.31566061910437
816,0,1,26.139961243236808
840,0,1,25.950599407950197
864,0,1,25.743058225252984
888,0,1,25.512028929740033
912,0,1,25.251595509304636
936,0,1,24.95548903350767
960,0,1,24.617396092539874
984,0,1,24.185869718576463
1008,0,1,23.668412482591975
1032,0,1,23.07216359414026
1056,0,1,22.403867383188782
1080,0,1,21.6699364481933
1104,0,1,20.876583004167962
1128,0,1,20.029986213492627
1152,0,1,19.136462647970923
1176,0,1,18.20261277281042
1200,0,1,17.23542445334003
1224,0,1,16.24232223422456
1248,0,1,15.23115769251451
1272,0,1,14.210141657393109
1296,0,1,13.187723812493832
1320,0,1,12.172429229087392
1344,0,1,11.172664561603948
1368,0,1,10.196508709094914
