cycle,name,size,age_class,parent.name,parent.is_main_stem,parent.level
684,fruit0,0.0,3,stem4,false,3.1
685,fruit0,0.03739119427632562,6,stem4,false,3.1
686,fruit0,0.07473009358642425,9,stem4,false,3.1
687,fruit0,0.11196447610330784,12,stem4,false,3.1
688,fruit0,0.14904226617617444,15,stem4,false,3.1
689,fruit0,0.18591160716291458,18,stem4,false,3.1
690,fruit0,0.22252093395631437,21,stem4,false,3.1
691,fruit0,0.25881904510252074,24,stem4,false,3.1
692,fruit0,0.2947551744109042,27,stem4,false,3.1
693,fruit0,0.3302790619551671,30,stem4,false,3.1
694,fruit0,0.365341024366395,33,stem4,false,3.1
695,fruit0,0.39989202431974097,36,stem4,false,3.1
696,fruit0,0.43388373911755806,39,stem4,false,3.1
697,fruit0,0.467268628273062,42,stem4,false,3.1
698,fruit0,0.49999999999999994,45,stem4,false,3.1
699,fruit0,0.5320320765153367,48,stem4,false,3.1
700,fruit0,0.5633200580636221,51,stem4,false,3.1
701,fruit0,0.5938201855735017,54,stem4,false,3.1
702,fruit0,0.6234898018587335,57,stem4,false,3.1
703,fruit0,0.6522874112781212,60,stem4,false,3.1
704,fruit0,0.6801727377709194,63,stem4,false,3.1
705,fruit0,0.7071067811865475,66,stem4,false,3.1
706,fruit0,0.7330518718298263,69,stem4,false,3.1
707,fruit0,0.757971723145453,72,stem4,false,3.1
708,fruit0,0.7818314824680297,75,stem4,false,3.1
709,fruit0,0.8045977797666684,78,stem4,false,3.1
710,fruit0,0.8262387743159949,81,stem4,false,3.1
711,fruit0,0.8467241992282841,84,stem4,false,3.1
712,fruit0,0.8660254037844386,87,stem4,false,3.1
713,fruit0,0.8841153935046097,90,stem4,false,3.1
714,fruit0,0.9009688679024193,93,stem4,false,3.1
715,fruit0,0.9165622558699762,96,stem4,false,3.1
716,fruit0,0.9308737486442042,99,stem4,false,3.1
717,fruit0,0.9438833303083676,102,stem4,false,3.1
718,fruit0,0.9555728057861408,105,stem4,false,3.1
719,fruit0,0.9659258262890683,108,stem4,false,3.1
720,fruit0,0.9749279121818236,111,stem4,false,3.1
721,fruit0,0.9825664732332882,114,stem4,false,3.1
722,fruit0,0.9888308262251285,117,stem4,false,3.1
723,fruit0,0.9937122098932426,120,stem4,false,3.1
724,fruit0,0.9972037971811801,123,stem4,false,3.1
725,fruit0,0.9993007047883986,126,stem4,false,3.1
726,fruit0,1.0,129,stem4,false,3.1
727,fruit0,0.9993007047883986,132,stem4,false,3.1
728,fruit0,0.9972037971811801,135,stem4,false,3.1
729,fruit0,0.9937122098932426,138,stem4,false,3.1
730,fruit0,0.9888308262251285,141,stem4,false,3.1
731,fruit0,0.9825664732332883,144,stem4,false,3.1
732,fruit0,0.9749279121818236,147,stem4,false,3.1
733,fruit0,0.9659258262890683,150,stem4,false,3.1
734,fruit0,0.9555728057861407,153,stem4,false,3.1
735,fruit0,0.9438833303083676,156,stem4,false,3.1
736,fruit0,0.9308737486442042,159,stem4,false,3.1
737,fruit0,0.9165622558699762,162,stem4,false,3.1
738,fruit0,0.9009688679024191,165,stem4,false,3.1
739,fruit0,0.8841153935046098,168,stem4,false,3.1
740,fruit0,0.8660254037844387,171,stem4,false,3.1
741,fruit0,0.846724199228284,174,stem4,false,3.1
742,fruit0,0.8262387743159951,177,stem4,false,3.1
743,fruit0,0.8045977797666685,180,stem4,false,3.1
744,fruit0,0.7818314824680296,183,stem4,false,3.1
745,fruit0,0.7579717231454529,186,stem4,false,3.1
746,fruit0,0.7330518718298262,189,stem4,false,3.1
747,fruit0,0.7071067811865476,192,stem4,false,3.1
748,fruit0,0.6801727377709194,195,stem4,false,3.1
749,fruit0,0.6522874112781213,198,stem4,false,3.1
750,fruit0,0.6234898018587336,201,stem4,false,3.1
751,fruit0,0.5938201855735016,204,stem4,false,3.1
752,fruit0,0.5633200580636218,207,stem4,false,3.1
753,fruit0,0.5320320765153367,210,stem4,false,3.1
754,fruit0,0.49999999999999994,213,stem4,false,3.1
755,fruit0,0.4672686282730622,216,stem4,false,3.1
756,fruit0,0.43388373911755823,219,stem4,false,3.1
757,fruit0,0.3998920243197409,222,stem4,false,3.1
758,fruit0,0.36534102436639526,225,stem4,false,3.1
759,fruit0,0.3302790619551672,228,stem4,false,3.1
760,fruit0,0.2947551744109042,231,stem4,false,3.1
761,fruit0,0.258819045102521,234,stem4,false,3.1
762,fruit0,0.2225209339563145,237,stem4,false,3.1
763,fruit0,0.185911607162915,240,stem4,false,3.1
764,fruit0,0.14904226617617472,243,stem4,false,3.1
765,fruit0,0.11196447610330754,246,stem4,false,3.1
766,fruit0,0.07473009358642423,249,stem4,false,3.1
767,fruit0,0.03739119427632544,252,stem4,false,3.1
768,fruit0,0.00000000000000012,255,stem4,false,3.1
1008,fruit1,0.0,3,stem8,false,3.4000000000000004
1008,fruit2,0.0,3,stem8,false,3.4000000000000004
1009,fruit1,0.03739119427632562,6,stem8,false,3.4000000000000004
1009,fruit2,0.03739119427632562,6,stem8,false,3.4000000000000004
1010,fruit1,0.07473009358642425,9,stem8,false,3.4000000000000004
1010,fruit2,0.07473009358642425,9,stem8,false,3.4000000000000004
1011,fruit1,0.11196447610330784,12,stem8,false,3.4000000000000004
1011,fruit2,0.11196447610330784,12,stem8,false,3.4000000000000004
1012,fruit1,0.14904226617617444,15,stem8,false,3.4000000000000004
1012,fruit2,0.14904226617617444,15,stem8,false,3.4000000000000004
1013,fruit1,0.18591160716291458,18,stem8,false,3.4000000000000004
1013,fruit2,0.18591160716291458,18,stem8,false,3.4000000000000004
1014,fruit1,0.22252093395631437,21,stem8,false,3.4000000000000004
1014,fruit2,0.22252093395631437,21,stem8,false,3.4000000000000004
1015,fruit1,0.25881904510252074,24,stem8,false,3.4000000000000004
1015,fruit2,0.25881904510252074,24,stem8,false,3.4000000000000004
1016,fruit1,0.2947551744109042,27,stem8,false,3.4000000000000004
1016,fruit2,0.2947551744109042,27,stem8,false,3.4000000000000004
1017,fruit1,0.3302790619551671,30,stem8,false,3.4000000000000004
