cycle,type,name,level,length,width
0,MAIN,stem0,1.0,0.01214817768223547,0.00173050964134408
1,MAIN,stem0,1.0,0.02429271145778006,0.00346050020766098
2,MAIN,stem0,1.0,0.03643360241964194,0.00518997185464985
3,MAIN,stem0,1.0,0.04857085166050107,0.00691892473796312
4,MAIN,stem0,1.0,0.06070446027270916,0.00864735901320643
5,MAIN,stem0,1.0,0.07283442934828965,0.0103752748359387
6,MAIN,stem0,1.0,0.08496075997894681,0.01210267236167334
7,MAIN,stem0,1.0,0.09708345325603862,0.01382955174587445
8,MAIN,stem0,1.0,0.10920251027061735,0.01555591314396258
9,MAIN,stem0,1.0,0.12131793211339349,0.01728175671130961
10,MAIN,stem0,1.0,0.13342971987475832,0.01900708260324192
11,MAIN,stem0,1.0,0.14553787464477042,0.02073189097503852
12,MAIN,stem0,1.0,0.15764239751316006,0.02245618198193163
13,MAIN,stem0,1.0,0.16974328956934281,0.02417995577910866
14,MAIN,stem0,1.0,0.1818405519023925,0.02590321252170833
15,MAIN,stem0,1.0,0.19393418560106374,0.0276259523648239
16,MAIN,stem0,1.0,0.20602419175378733,0.02934817546350247
17,MAIN,stem0,1.0,0.21811057144865695,0.03106988197274315
18,MAIN,stem0,1.0,0.2301933257734514,0.0327910720475002
19,MAIN,stem0,1.0,0.24227245581562132,0.03451174584268109
20,MAIN,stem0,1.0,0.2543479626622846,0.03623190351314595
21,MAIN,stem0,1.0,0.26641984740023544,0.03795154521370875
22,MAIN,stem0,1.0,0.27848811111594424,0.03967067109913736
23,MAIN,stem0,1.0,0.29055275489555765,0.04138928132415351
24,MAIN,stem0,1.0,0.3026137798248941,0.04310737604343221
25,MAIN,stem0,1.0,0.31467118698943936,0.04482495541160104
26,MAIN,stem0,1.0,0.3267249774743688,0.04654201958324342
27,MAIN,stem0,1.0,0.33877515236451616,0.04825856871289404
28,MAIN,stem0,1.0,0.35082171274440044,0.04997460295504279
29,MAIN,stem0,1.0,0.36286465969821236,0.05169012246413281
30,MAIN,stem0,1.0,0.3749039943098144,0.05340512739456046
31,MAIN,stem0,1.0,0.38693971766274987,0.05511961790067662
32,MAIN,stem0,1.0,0.39897183084023374,0.05683359413678543
33,MAIN,stem0,1.0,0.4110003349251573,0.05854705625714492
34,MAIN,stem0,1.0,0.42302523100008366,0.06026000441596632
35,MAIN,stem0,1.0,0.4350465201472475,0.06197243876741416
36,MAIN,stem0,1.0,0.4470642034485779,0.06368435946560938
37,MAIN,stem0,1.0,0.4590782819856577,0.0653957666646236
38,MAIN,stem0,1.0,0.471088756839755,0.0671066605184836
39,MAIN,stem0,1.0,0.4830956290918141,0.06881704118117009
40,MAIN,stem0,1.0,0.4950988998224511,0.07052690880661695
41,MAIN,stem0,1.0,0.5070985701119628,0.07223626354871264
42,MAIN,stem0,1.0,0.5190946410403224,0.07394510556129949
43,MAIN,stem0,1.0,0.5310871136871703,0.0756534349981724
44,MAIN,stem0,1.0,0.5430759891318276,0.07736125201308086
45,MAIN,stem0,1.0,0.5550612684533006,0.07906855675972943
46,MAIN,stem0,1.0,0.5670429527302631,0.08077534939177536
47,MAIN,stem0,1.0,0.5790210430410604,0.08248163006282912
48,MAIN,stem0,1.0,0.5909955404637276,0.08418739892645692
49,MAIN,stem0,1.0,0.6029664460759628,0.08589265613617704
50,MAIN,stem0,1.0,0.6149337609551536,0.08759740184546348
51,MAIN,stem0,1.0,0.6268974861783548,0.08930163620774285
52,MAIN,stem0,1.0,0.6388576228223025,0.09100535937639637
53,MAIN,stem0,1.0,0.6508141719634127,0.09270857150475965
54,MAIN,stem0,1.0,0.6627671346777694,0.09441127274612099
55,MAIN,stem0,1.0,0.6747165120411415,0.09611346325372386
56,MAIN,stem0,1.0,0.6866623051289698,0.09781514318076492
57,MAIN,stem0,1.0,0.6986045150163845,0.09951631268039665
58,MAIN,stem0,1.0,0.7105431427781749,0.10121697190572292
59,MAIN,stem0,1.0,0.7224781894888234,0.1029171210098039
60,MAIN,stem0,1.0,0.7344096562224807,0.10461676014565252
61,MAIN,stem0,1.0,0.7463375440529776,0.10631588946623613
62,MAIN,stem0,1.0,0.7582618540538305,0.10801450912447728
63,MAIN,stem0,1.0,0.7701825872982228,0.1097126192732511
64,MAIN,stem0,1.0,0.7820997448590189,0.11141022006538731
65,MAIN,stem0,1.0,0.7940133278087684,0.11310731165367072
66,MAIN,stem0,1.0,0.805923337219688,0.11480389419083875
67,MAIN,stem0,1.0,0.8178297741636844,0.11649996782958467
68,MAIN,stem0,1.0,0.8297326397123315,0.11819553272255433
69,MAIN,stem0,1.0,0.8416319349368878,0.1198905890223487
70,MAIN,stem0,1.0,0.8535276609082939,0.12158513688152334
71,MAIN,stem0,1.0,0.8654198186971608,0.123279176452587
72,MAIN,stem0,1.0,0.877308409373786,0.12497270788800369
73,MAIN,stem0,1.0,0.8891934340081419,0.12666573134019113
74,MAIN,stem0,1.0,0.9010748936698783,0.1283582469615211
75,MAIN,stem0,1.0,0.9129527894283296,0.13005025490432043
76,MAIN,stem0,1.0,0.9248271223525069,0.1317417553208699
77,MAIN,stem0,1.0,0.9366978935110928,0.13343274836340352
78,MAIN,stem0,1.0,0.9485651039724685,0.13512323418411232
79,MAIN,stem0,1.0,0.9604287548046737,0.13681321293513868
80,MAIN,stem0,1.0,0.9722888470754425,0.13850268476858155
81,MAIN,stem0,1.0,0.9841453818521805,0.14019164983649293
82,MAIN,stem0,1.0,0.995998360201974,0.14188010829087946
83,MAIN,stem0,1.0,1.0078477831915946,0.14356806028370292
84,MAIN,stem0,1.0,1.019693651887486,0.14525550596687833
85,MAIN,stem0,1.0,1.0315359673557858,0.14694244549227717
86,MAIN,stem0,1.0,1.0433747306622898,0.14862887901172217
87,MAIN,stem0,1.0,1.0552099428724973,0.1503148066769939
88,MAIN,stem0,1.0,1.0670416050515703,0.15200022863982482
89,MAIN,stem0,1.0,1.0788697182643603,0.15368514505190317
90,MAIN,stem0,1.0,1.0906942835754,0.1553695560648718
91,MAIN,stem0,1.0,1.1025153020489025,0.15705346183032798
92,MAIN,stem0,1.0,1.1143327747487484,0.1587368624998217
93,MAIN,stem0,1.0,1.1261467027385212,0.16041975822486057
94,MAIN,stem0,1.0,1.1379570870814721,0.16210214915690485
95,MAIN,stem0,1.0,1.1497639288405328,0.16378403544736933
96,MAIN,stem0,1.0,1.1615672290783203,0.16546541724762395
97,MAIN,stem0,1.0,1.173366988857132,0.16714629470899317
98,MAIN,stem0,1.0,1.1851632092389426,0.16882666798275534
99,MAIN,stem0,1.0,1.19695589128542,0.17050653722014528
100,MAIN,stem0,1.0,1.2087450360578993,0.1721859025723503
101,MAIN,stem0,1.0,1.2205306446174065,0.17386476419051372
102,MAIN,stem0,1.0,1.232312718024647,0.17554312222573318
103,MAIN,stem0,1.0,1.2440912573400036,0.17722097682906032
104,MAIN,stem0,1.0,1.2558662636235434,0.1788983281515019
105,MAIN,stem0,1.0,1.2676377379350239,0.18057517634402048
106,MAIN,stem0,1.0,1.2794056813338743,0.18225152155753194
107,MAIN,stem0,1.0,1.2911700948792086,0.1839273639429072
108,MAIN,stem0,1.0,1.3029309796298265,0.18560270365097242
109,MAIN,stem0,1.0,1.3146883366442037,0.18727754083250764
110,MAIN,stem0,1.0,1.3264421669805058,0.1889518756382487
111,MAIN,stem0,1.0,1.3381924716965792,0.19062570821888591
112,MAIN,stem0,1.0,1.3499392518499465,0.19229903872506357
113,MAIN,stem0,1.0,1.36168250849782,0.19397186730738175
114,MAIN,stem0,1.0,1.3734222426970923,0.19564419411639491
115,MAIN,stem0,1.0,1.385158455504338,0.19731601930261222
116,MAIN,stem0,1.0,1.3968911479758246,0.1989873430164992
117,MAIN,stem0,1.0,1.408620321167483,0.20065816540847337
118,MAIN,stem0,1.0,1.4203459761349433,0.2023284866289093
119,MAIN,stem0,1.0,1.4320681139335198,0.20399830682813672
120,MAIN,stem0,1.0,1.4437867356181948,0.205667626156438
121,MAIN,stem0,1.0,1.4555018422436536,0.20733644476405322
122,MAIN,stem0,1.0,1.4672134348642487,0.20900476280117503
123,MAIN,stem0,1.0,1.4789215145340273,0.2106725804179526
124,MAIN,stem0,1.0,1.4906260823067166,0.21233989776448953
125,MAIN,stem0,1.0,1.5023271392357296,0.21400671499084467
126,MAIN,stem0,1.0,1.5140246863741553,0.21567303224703066
127,MAIN,stem0,1.0,1.5257187247747774,0.2173388496830167
128,MAIN,stem0,1.0,1.5374092554900598,0.21900416744872644
129,MAIN,stem0,1.0,1.5490962795721475,0.2206689856940381
130,MAIN,stem0,1.0,1.5607797980728748,0.22233330456878558
131,MAIN,stem0,1.0,1.5724598120437572,0.22399712422275744
132,MAIN,stem0,1.0,1.5841363225359957,0.22566044480569739
133,MAIN,stem0,1.0,1.5958093306004757,0.22732326646730422
134,MAIN,stem0,1.0,1.6074788372877729,0.2289855893572326
135,MAIN,stem0,1.0,1.619144843648135,0.23064741362509045
136,MAIN,stem0,1.0,1.6308073507315124,0.23230873942044333
137,MAIN,stem0,1.0,1.6424663595875229,0.2339695668928095
138,MAIN,stem0,1.0,1.6541218712654744,0.235629896191663
139,MAIN,stem0,1.0,1.6657738868143732,0.2372897274664349
140,MAIN,stem0,1.0,1.677422407282897,0.23894906086650952
141,MAIN,stem0,1.0,1.6890674337194052,0.2406078965412258
142,MAIN,stem0,1.0,1.7007089671719602,0.24226623463988034
143,MAIN,stem0,1.0,1.7123470086882995,0.24392407531172358
144,MAIN,stem0,1.0,1.7239815593158385,0.2455814187059599
145,MAIN,stem0,1.0,1.7356126201016906,0.24723826497175078
146,MAIN,stem0,1.0,1.7472401920926541,0.24889461425821283
147,MAIN,stem0,1.0,1.7588642763352127,0.2505504667144178
148,MAIN,stem0,1.0,1.7704848738755228,0.2522058224893907
149,MAIN,stem0,1.0,1.7821019857594518,0.2538606817321156
150,MAIN,stem0,1.0,1.79371561303253,0.2555150445915285
151,MAIN,stem0,1.0,1.8053257567399879,0.25716891121652247
152,MAIN,stem0,1.0,1.816932417926739,0.2588222817559457
153,MAIN,stem0,1.0,1.8285355976373796,0.2604751563586011
154,MAIN,stem0,1.0,1.8401352969161986,0.2621275351732476
155,MAIN,stem0,1.0,1.8517315168071669,0.26377941834859925
156,MAIN,stem0,1.0,1.8633242583539489,0.265430806033326
157,MAIN,stem0,1.0,1.8749135225998859,0.2670816983760521
158,MAIN,stem0,1.0,1.8864993105880123,0.2687320955253579
159,MAIN,stem0,1.0,1.8980816233610538,0.2703819976297797
160,MAIN,stem0,1.0,1.909660461961416,0.2720314048378085
161,MAIN,stem0,1.0,1.9212358274311891,0.27368031729789016
162,MAIN,stem0,1.0,1.9328077208121635,0.2753287351584278
163,MAIN,stem0,1.0,1.9443761431458095,0.2769766585677791
164,MAIN,stem0,1.0,1.9559410954732777,0.27862408767425606
165,MAIN,stem0,1.0,1.9675025788354186,0.28027102262612796
166,MAIN,stem0,1.0,1.9790605942727673,0.28191746357161923
167,MAIN,stem0,1.0,1.9906151428255439,0.28356341065890933
168,MAIN,stem0,1.0,2.0021662255336587,0.2852088640361337
169,MAIN,stem0,1.0,2.013713843436703,0.28685382385138214
170,MAIN,stem0,1.0,2.0252579975739704,0.28849829025270235
171,MAIN,stem0,1.0,2.0367986889844314,0.2901422633880956
172,MAIN,stem0,1.0,2.0483359187067505,0.29178574340552
173,MAIN,stem0,1.0,2.059869687779274,0.29342873045288803
174,MAIN,stem0,1.0,2.0713999972400448,0.295071224678069
175,MAIN,stem0,1.0,2.0829268481267844,0.29671322622888663
176,MAIN,stem0,1.0,2.0944502414769204,0.29835473525312256
177,MAIN,stem0,1.0,2.105970178327548,0.2999957518985111
178,MAIN,stem0,1.0,2.117486659715471,0.30163627631274514
179,MAIN,stem0,1.0,2.128999686677164,0.3032763086434706
180,MAIN,stem0,1.0,2.1405092602488,0.30491584903829055
181,MAIN,stem0,1.0,2.152015381466248,0.3065548976447646
182,MAIN,stem0,1.0,2.1635180513650556,0.30819345461040676
183,MAIN,stem0,1.0,2.175017270980458,0.3098315200826863
184,MAIN,stem0,1.0,2.186513041347391,0.31146909420903
185,MAIN,stem0,1.0,2.198005363500473,0.31310617713681954
186,MAIN,stem0,1.0,2.2094942384740075,0.3147427690133914
187,MAIN,stem0,1.0,2.2209796673020006,0.3163788699860399
188,MAIN,stem0,1.0,2.232461651018139,0.31801448020201406
189,MAIN,stem0,1.0,2.2439401906557954,0.31964959980851787
190,MAIN,stem0,1.0,2.255415287248051,0.32128422895271375
191,MAIN,stem0,1.0,2.2668869418276514,0.3229183677817167
192,MAIN,stem0,1.0,2.2783551554270476,0.32455201644259934
193,MAIN,stem0,1.0,2.289819929078386,0.3261851750823911
194,MAIN,stem0,1.0,2.3012812638134945,0.3278178438480761
195,MAIN,stem0,1.0,2.312739160663886,0.3294500228865934
196,MAIN,stem0,1.0,2.324193620660782,0.33108171234484074
197,MAIN,stem0,1.0,2.335644644835074,0.33271291236966866
198,MAIN,stem0,1.0,2.3470922342173597,0.334343623107886
199,MAIN,stem0,1.0,2.3585363898379184,0.33597384470625613
200,MAIN,stem0,1.0,2.3699771127267306,0.3376035773115001
201,MAIN,stem0,1.0,2.381414403913452,0.3392328210702923
202,MAIN,stem0,1.0,2.3928482644274482,0.3408615761292661
203,MAIN,stem0,1.0,2.4042786952977613,0.3424898426350087
204,MAIN,stem0,1.0,2.4157056975531317,0.3441176207340643
205,MAIN,stem0,1.0,2.4271292722219875,0.34574491057293266
206,MAIN,stem0,1.0,2.438549420332452,0.34737171229807007
207,MAIN,stem0,1.0,2.449966142912341,0.348998026055889
208,MAIN,stem0,1.0,2.461379440989154,0.350623851992757
209,MAIN,stem0,1.0,2.472789315590096,0.3522491902549994
210,MAIN,stem0,1.0,2.4841957677420488,0.3538740409888958
211,MAIN,stem0,1.0,2.4955987984715917,0.3554984043406826
212,MAIN,stem0,1.0,2.5069984088050017,0.3571222804565529
213,MAIN,stem0,1.0,2.518394599768246,0.3587456694826561
214,MAIN,stem0,1.0,2.5297873723869766,0.36036857156509633
215,MAIN,stem0,1.0,2.5411767276865436,0.36199098684993497
216,MAIN,stem0,1.0,2.5525626666919927,0.3636129154831898
217,MAIN,stem0,1.0,2.563945190428058,0.36523435761083445
218,MAIN,stem0,1.0,2.575324299919161,0.3668553133787978
219,MAIN,stem0,1.0,2.5866999961894277,0.3684757829329669
220,MAIN,stem0,1.0,2.598072280262668,0.3700957664191834
221,MAIN,stem0,1.0,2.6094411531623884,0.3717152639832462
222,MAIN,stem0,1.0,2.620806615911786,0.37333427577090966
223,MAIN,stem0,1.0,2.6321686695337525,0.374952801927885
224,MAIN,stem0,1.0,2.643527315050873,0.3765708425998395
225,MAIN,stem0,1.0,2.6548825534854275,0.37818839793239706
226,MAIN,stem0,1.0,2.6662343858593904,0.3798054680711382
227,MAIN,stem0,1.0,2.6775828131944155,0.3814220531615976
228,MAIN,stem0,1.0,2.688927836511875,0.3830381533492699
229,MAIN,stem0,1.0,2.7002694568328116,0.3846537687796028
230,MAIN,stem0,1.0,2.711607675177972,0.3862688995980017
231,MAIN,stem0,1.0,2.7229424925677974,0.38788354594982866
232,MAIN,stem0,1.0,2.7342739100224227,0.38949770798040206
233,MAIN,stem0,1.0,2.745601928561676,0.3911113858349966
234,MAIN,stem0,1.0,2.756926549205078,0.392724579658843
235,MAIN,stem0,1.0,2.7682477729718404,0.39433728959712827
236,MAIN,stem0,1.0,2.7795656008808765,0.3959495157949966
237,MAIN,stem0,1.0,2.7908800339507955,0.3975612583975492
238,MAIN,stem0,1.0,2.80219107319989,0.39917251754984184
239,MAIN,stem0,1.0,2.8134987196461543,0.40078329339688806
240,MAIN,stem0,1.0,2.8248029743072816,0.40239358608365833
241,MAIN,stem0,1.0,2.8361038382006467,0.4040033957550779
242,MAIN,stem0,1.0,2.8474013123433353,0.40561272255603065
243,MAIN,stem0,1.0,2.8586953977521152,0.4072215666313554
244,MAIN,stem0,1.0,2.8699860954434566,0.40882992812584845
245,MAIN,stem0,1.0,2.8812734064335195,0.410437807184262
246,MAIN,stem0,1.0,2.8925573317381628,0.41204520395130523
247,MAIN,stem0,1.0,2.9038378723729443,0.41365211857164447
248,MAIN,stem0,1.0,2.9151150293531067,0.4152585511899012
249,MAIN,stem0,1.0,2.926388803693596,0.41686450195065466
250,MAIN,stem0,1.0,2.937659196409053,0.41846997099844063
251,MAIN,stem0,1.0,2.948926208513812,0.420074958477751
252,MAIN,stem0,1.0,2.960189841021902,0.42167946453303445
253,MAIN,stem0,1.0,2.9714500949470555,0.4232834893086973
254,MAIN,stem0,1.0,2.982706971302689,0.42488703294910096
255,MAIN,stem0,1.0,2.9939604711019285,0.42649009559856527
256,MAIN,stem0,1.0,3.005210595357583,0.4280926774013651
257,MAIN,stem0,1.0,3.0164573450821677,0.42969477850173327
258,MAIN,stem0,1.0,3.027700721287885,0.4312963990438582
259,MAIN,stem0,1.0,3.038940724986646,0.4328975391718869
260,MAIN,stem0,1.0,3.0501773571900426,0.43449819902992054
261,MAIN,stem0,1.0,3.061410618909379,0.43609837876201973
262,MAIN,stem0,1.0,3.072640511155644,0.43769807851219994
263,MAIN,stem0,1.0,3.0838670349395305,0.43929729842443455
264,MAIN,stem0,1.0,3.0950901912714257,0.44089603864265325
265,MAIN,stem0,1.0,3.1063099811614143,0.44249429931074274
266,MAIN,stem0,1.0,3.117526405619272,0.44409208057254584
267,MAIN,stem0,1.0,3.1287394656544816,0.44568938257186347
268,MAIN,stem0,1.0,3.1399491622762206,0.44728620545245307
269,MAIN,stem0,1.0,3.151155496493356,0.44888254935802785
270,MAIN,stem0,1.0,3.162358469314462,0.45047841443225956
271,MAIN,stem0,1.0,3.173558081747808,0.4520738008187761
272,MAIN,stem0,1.0,3.184754334801353,0.4536687086611614
273,MAIN,stem0,1.0,3.195947229482763,0.45526313810295765
274,MAIN,stem0,1.0,3.207136766799399,0.45685708928766366
275,MAIN,stem0,1.0,3.21832294775832,0.458450562358735
276,MAIN,stem0,1.0,3.2295057733662795,0.460043557459584
277,MAIN,stem0,1.0,3.2406852446297356,0.46163607473358054
278,MAIN,stem0,1.0,3.2518613625548336,0.46322811432405037
279,MAIN,stem0,1.0,3.2630341281474338,0.4648196763742783
280,MAIN,stem0,1.0,3.2742035424130784,0.466410761027504
281,MAIN,stem0,1.0,3.285369606357017,0.46800136842692547
282,MAIN,stem0,1.0,3.2965323209841983,0.4695914987156978
283,MAIN,stem0,1.0,3.3076916872992594,0.4711811520369315
284,MAIN,stem0,1.0,3.3188477063065487,0.4727703285336963
285,MAIN,stem0,1.0,3.330000379010107,0.47435902834901805
286,MAIN,stem0,1.0,3.341149706413672,0.4759472516258792
287,MAIN,stem0,1.0,3.3522956895206883,0.4775349985072205
288,MAIN,stem0,1.0,3.363438329334289,0.4791222691359386
289,MAIN,stem0,1.0,3.374577626857316,0.4807090636548883
290,MAIN,stem0,1.0,3.3857135830923015,0.48229538220688056
291,MAIN,stem0,1.0,3.39684619904149,0.4838812249346851
292,MAIN,stem0,1.0,3.407975475706804,0.4854665919810262
293,MAIN,stem0,1.0,3.4191014140898908,0.48705148348858834
294,MAIN,stem0,1.0,3.430224015192081,0.48863589960001147
295,MAIN,stem0,1.0,3.4413432800144035,0.49021984045789224
296,MAIN,stem0,1.0,3.4524592095575977,0.49180330620478596
297,MAIN,stem0,1.0,3.4635718048220983,0.49338629698320485
298,MAIN,stem0,1.0,3.474681066808032,0.494968812935617
299,MAIN,stem0,1.0,3.4857869965152406,0.4965508542044502
300,MAIN,stem0,1.0,3.496889594943253,0.4981324209320873
301,MAIN,stem0,1.0,3.5079888630913008,0.499713513260869
302,MAIN,stem0,1.0,3.5190848019583254,0.5012941313330948
303,MAIN,stem0,1.0,3.5301774125429533,0.5028742752910189
304,MAIN,stem0,1.0,3.541266695843529,0.5044539452768559
305,MAIN,stem0,1.0,3.5523526528580787,0.5060331414327747
306,MAIN,stem0,1.0,3.5634352845843402,0.5076118639009031
307,MAIN,stem0,1.0,3.574514592019755,0.5091901128233269
308,MAIN,stem0,1.0,3.5855905761614606,0.5107678883420884
309,MAIN,stem0,1.0,3.59666323800629,0.5123451905991866
310,MAIN,stem0,1.0,3.6077325785507868,0.5139220197365792
311,MAIN,stem0,1.0,3.618798598791186,0.5154983758961803
312,MAIN,stem0,1.0,3.6298612997234425,0.5170742592198636
313,MAIN,stem0,1.0,3.6409206823431854,0.5186496698494566
314,MAIN,stem0,1.0,3.6519767476457647,0.5202246079267471
315,MAIN,stem0,1.0,3.663029496626231,0.5217990735934802
316,MAIN,stem0,1.0,3.6740789302793235,0.5233730669913566
317,MAIN,stem0,1.0,3.685125049599497,0.5249465882620366
318,MAIN,stem0,1.0,3.6961678555808986,0.5265196375471365
319,MAIN,stem0,1.0,3.707207349217381,0.5280922149882309
320,MAIN,stem0,1.0,3.718243531502502,0.5296643207268521
321,MAIN,stem0,1.0,3.729276403429516,0.5312359549044895
322,MAIN,stem0,1.0,3.7403059659913778,0.5328071176625894
323,MAIN,stem0,1.0,3.7513322201807577,0.5343778091425581
324,MAIN,stem0,1.0,3.762355166990008,0.5359480294857561
325,MAIN,stem0,1.0,3.7733748074112015,0.5375177788335045
326,MAIN,stem0,1.0,3.784391142436101,0.5390870573270798
327,MAIN,stem0,1.0,3.7954041730561814,0.5406558651077181
328,MAIN,stem0,1.0,3.806413900262611,0.5422242023166113
329,MAIN,stem0,1.0,3.817420325046263,0.5437920690949093
330,MAIN,stem0,1.0,3.828423448397727,0.5453594655837217
331,MAIN,stem0,1.0,3.839423271307272,0.5469263919241127
332,MAIN,stem0,1.0,3.8504197947648846,0.548492848257106
333,MAIN,stem0,1.0,3.8614130197602594,0.5500588347236837
334,MAIN,stem0,1.0,3.8724029472827755,0.5516243514647828
334,MAIN,stem1,1.3,0.00846540054494893,0.00173050964134408
335,MAIN,stem0,1.0,3.883389578321535,0.5531893986213012
335,MAIN,stem1,1.3,0.01692826185063963,0.00346050020766098
336,MAIN,stem0,1.0,3.8943729138653316,0.5547539763340927
336,MAIN,stem1,1.3,0.0253885846787297,0.00518997185464985
337,MAIN,stem0,1.0,3.905352954902668,0.5563180847439698
337,MAIN,stem1,1.3,0.03384636979064805,0.00691892473796312
338,MAIN,stem0,1.0,3.916329702421743,0.5578817239917012
338,MAIN,stem1,1.3,0.04230161794759481,0.00864735901320643
339,MAIN,stem0,1.0,3.927303157410469,0.5594448942180155
339,MAIN,stem1,1.3,0.05075432991054143,0.0103752748359387
340,MAIN,stem0,1.0,3.9382733208564487,0.5610075955635966
340,MAIN,stem1,1.3,0.05920450644023686,0.01210267236167334
341,MAIN,stem0,1.0,3.949240193747008,0.5625698281690894
341,MAIN,stem1,1.3,0.06765214829718881,0.01382955174587445
342,MAIN,stem0,1.0,3.960203777069157,0.5641315921750936
342,MAIN,stem1,1.3,0.07609725624169189,0.01555591314396258
343,MAIN,stem0,1.0,3.9711640718096266,0.565692887722169
343,MAIN,stem1,1.3,0.08453983103380262,0.01728175671130961
344,MAIN,stem0,1.0,3.9821210789548327,0.5672537149508309
344,MAIN,stem1,1.3,0.09297987343335504,0.01900708260324193
345,MAIN,stem0,1.0,3.9930747994909135,0.5688140740015546
345,MAIN,stem1,1.3,0.1014173841999513,0.02073189097503852
346,MAIN,stem0,1.0,4.004025234403701,0.5703739650147722
346,MAIN,stem1,1.3,0.1098523640929649,0.02245618198193163
347,MAIN,stem0,1.0,4.014972384678735,0.5719333881308739
347,MAIN,stem1,1.3,0.11828481387154989,0.02417995577910866
348,MAIN,stem0,1.0,4.025916251301258,0.5734923434902076
348,MAIN,stem1,1.3,0.1267147342946223,0.02590321252170834
349,MAIN,stem0,1.0,4.036856835256221,0.5750508312330799
349,MAIN,stem1,1.3,0.1351421261208756,0.0276259523648239
350,MAIN,stem0,1.0,4.047794137528273,0.5766088514997539
350,MAIN,stem1,1.3,0.14356699010877774,0.02934817546350247
351,MAIN,stem0,1.0,4.058728159101775,0.5781664044304522
351,MAIN,stem1,1.3,0.15198932701656168,0.03106988197274315
352,MAIN,stem0,1.0,4.069658900960784,0.5797234901653538
352,MAIN,stem1,1.3,0.16040913760224096,0.0327910720475002
353,MAIN,stem0,1.0,4.080586364089068,0.5812801088445965
353,MAIN,stem1,1.3,0.16882642262360045,0.0345117458426811
354,MAIN,stem0,1.0,4.091510549470105,0.5828362606082771
354,MAIN,stem1,1.3,0.17724118283819315,0.03623190351314595
355,MAIN,stem0,1.0,4.102431458087064,0.5843919455964479
355,MAIN,stem1,1.3,0.18565341900334648,0.03795154521370876
356,MAIN,stem0,1.0,4.1133490909228305,0.5859471639491212
356,MAIN,stem1,1.3,0.19406313187616223,0.03967067109913736
357,MAIN,stem0,1.0,4.124263448959989,0.5875019158062662
357,MAIN,stem1,1.3,0.2024703222135166,0.04138928132415351
358,MAIN,stem0,1.0,4.135174533180834,0.5890562013078111
