cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,-0.10040735998080003
48,0,1,-0.02055664943218089
72,0,1,-0.0679306641770654
96,0,1,-0.06630792296934036
120,0,1,-0.01897325316496996
144,0,1,0.07362953601575582
168,0,1,0.21169688557264454
192,0,1,0.47292277047617476
216,0,1,0.7367805670574612
240,0,1,1.0028893290066283
264,0,1,1.2723191181631133
288,0,1,1.5461990499251477
312,0,1,1.8254089518742778
336,0,1,2.1102906391008354
360,0,1,2.4004696488469683
384,0,1,2.694814483214941
408,0,1,2.9915157715610183
432,0,1,3.288247513477236
456,0,1,3.5823690904350447
480,0,1,3.8711326578187775
504,0,1,4.15187034075115
528,0,1,4.422145868178698
552,0,1,4.67986403049406
576,0,1,4.923337902700937
600,0,1,5.151318088311205
624,0,1,5.362990615396847
648,0,1,5.557951000371383
672,0,1,5.736161840827004
696,0,1,5.897900501964153
720,0,1,6.04370233394472
744,0,1,6.174303626244358
768,0,1,6.29058732057267
792,0,1,6.3935334563345725
816,0,1,6.484175456764874
840,0,1,6.5635626928111295
864,0,1,6.632729277655627
888,0,1,6.692668726821519
912,0,1,6.744313939673114
936,0,1,6.788521887731285
960,0,1,6.826062403732818
984,0,1,6.8576105250779005
1008,0,1,6.867892721478014
1032,0,1,6.860262863023744
1056,0,1,6.838047295868182
1080,0,1,6.804397535385895
1104,0,1,6.762171462792921
1128,0,1,6.71384710341443
1152,0,1,6.661470110018952
1176,0,1,6.606633431920169
1200,0,1,6.550485527330535
1224,0,1,6.493761993994342
1248,0,1,6.436834686289436
1272,0,1,6.379772212835364
1296,0,1,6.322406064414714
1320,0,1,6.2643973684555325
1344,0,1,6.205300251681155
1368,0,1,6.144618873268343
1392,0,1,6.0818562466941355
1416,0,1,6.016553910915501
1440,0,1,5.948322286284982
1464,0,1,5.876862134893731
1488,0,1,5.801977941757537
1512,0,1,5.723584263485605
1536,0,1,5.641706186342021
1560,0,1,5.556475031193339
1584,0,1,5.4681203725131855
1608,0,1,5.376959331255606
1632,0,1,5.28338397924515
1656,0,1,5.187847571026721
1680,0,1,5.090850206833544
1704,0,1,4.992924431378444
1728,0,1,4.894621187889662
1752,0,1,4.796496473390355
1776,0,1,4.699098976915464
1800,0,1,4.602958924381075
1824,0,1,4.5085782999089865
1848,0,1,4.4164225621071695
1872,0,1,4.326913924515299
1896,0,1,4.2404262222884235
1920,0,1,4.157281342899118
1944,0,1,4.077747158185467
1968,0,1,4.002036859537028
1992,0,1,3.9303095683643496
2016,0,1,3.8626720709650204
2040,0,1,3.7991815108791984
2064,0,1,3.739848862860663
2088,0,1,3.6846430103717047
2112,0,1,3.6334952524384403
2136,0,1,3.5863040749406228
2160,0,1,3.5429400349631432
2184,0,1,3.503250623631171
2208,0,1,3.467064991805809
2232,0,1,3.4341984431020474
2256,0,1,3.404456618976628
2280,0,1,3.377639320323301
2304,0,1,3.3535439284629307
2328,0,1,3.3319684051408665
2352,0,1,3.3127138658142874
2376,0,1,3.295586732941662
2400,0,1,3.280400486115174
2424,0,1,3.266977033749871
2448,0,1,3.255147736788894
2472,0,1,3.244754118691
2496,0,1,3.2356482980644286
2520,0,1,3.2276931809506424
2544,0,1,3.220762449200818
2568,0,1,3.2147403798780667
2592,0,1,3.209521528396098
2616,0,1,3.2050103053836563
