cycle,hour_cyc,stp,value
0,0,1,18.0
24,0,1,18.000000000041837
48,0,1,45.19398496244786
72,0,1,72.38796992485388
96,0,1,99.5819548872599
120,0,1,126.77593984966592
144,0,1,153.96992481207195
168,0,1,154.25505291219503
192,0,1,154.25697304388993
216,0,1,154.25698498759886
240,0,1,154.25698505704565
264,0,1,154.25698505742375
288,0,1,154.25698505746553
312,0,1,154.25698505750742
336,0,1,154.25698505754926
360,0,1,154.25698505759104
384,0,1,154.2569850576329
408,0,1,154.2569850576748
432,0,1,154.2569850577166
456,0,1,154.25698505775847
480,0,1,154.25698505780028
504,0,1,154.25698505784214
528,0,1,154.25698505788395
552,0,1,154.2569850579258
576,0,1,154.25698505796763
600,0,1,154.25698505800943
624,0,1,154.25698505805136
648,0,1,154.2569850580931
672,0,1,154.25698505813494
696,0,1,154.2569850581768
720,0,1,154.25698505821867
744,0,1,154.25698505826048
768,0,1,154.25698505830232
792,0,1,154.25698505834418
816,0,1,154.256985058386
840,0,1,154.25698505842783
864,0,1,154.25698505846967
888,0,1,154.25698505851153
912,0,1,154.25698505855337
936,0,1,154.25698505859523
960,0,1,154.25698505863704
984,0,1,153.87822216955342
1008,0,1,153.1994829846263
1032,0,1,152.29689071747603
1056,0,1,151.24121825514757
1080,0,1,150.09582610529125
1104,0,1,148.91527021720108
1128,0,1,147.74456991310245
1152,0,1,146.61907968363337
1176,0,1,145.56487366148184
1200,0,1,144.59952978440504
1224,0,1,143.73319193530907
1248,0,1,142.96979125795818
1272,0,1,142.3083199719712
1296,0,1,141.74406942037467
1320,0,1,141.26976578013506
1344,0,1,140.87655914675383
1368,0,1,140.55484240281172
1392,0,1,140.29489389360523
1416,0,1,140.08735163081172
1440,0,1,139.92353629766058
1464,0,1,139.79564597860195
1488,0,1,139.69684784557802
1512,0,1,139.6212917358544
1536,0,1,139.56406843091895
1560,0,1,139.5211322179406
1584,0,1,139.48920359677865
1608,0,1,139.46566425541806
1632,0,1,139.4484529968714
1656,0,1,139.43596835011945
1680,0,1,139.4269812173869
1704,0,1,139.42055910097028
1728,0,1,139.41600216361786
1752,0,1,139.41279052705323
1776,0,1,139.4105417131148
1800,0,1,139.40897689288636
1824,0,1,139.4078945528375
1848,0,1,139.40715024883139
1872,0,1,139.40664124893797
1896,0,1,139.4062950279688
1920,0,1,139.4060607457945
1944,0,1,139.40590300232492
1968,0,1,139.40579730595508
1992,0,1,139.4057268155786
2016,0,1,139.405680018413
2040,0,1,139.40564908822253
2064,0,1,139.40562873341585
2088,0,1,139.40561539465168
2112,0,1,139.40560668969883
2136,0,1,139.4056010318302
2160,0,1,139.40559736910797
2184,0,1,139.4055950072982
2208,0,1,139.40559349025796
2232,0,1,139.40559251957208
2256,0,1,139.40559190083667
2280,0,1,139.40559150793092
2304,0,1,139.4055912593663
2328,0,1,139.40559110270345
2352,0,1,139.40559100433066
2376,0,1,139.40559094278868
2400,0,1,139.4055909044303
2424,0,1,139.4055908806102
2448,0,1,139.40559086587263
2472,0,1,139.4055908567879
2496,0,1,139.4055908512083
2520,0,1,139.40559084779392
2544,0,1,139.40559084571208
2568,0,1,139.40559084444726
2592,0,1,139.40559084368152
2616,0,1,139.40559084321947
