cycle,hour_cyc,stp,value
0,0,1,0.015
24,0,1,-0.08540735998179584
48,0,1,-0.10324461091873614
72,0,1,-0.16845587660056094
96,0,1,-0.2320444010746607
120,0,1,-0.24829825574439007
144,0,1,-0.2450770550174359
168,0,1,-0.24503882624136825
192,0,1,-0.24503849921695453
216,0,1,-0.24503849679957157
240,0,1,-0.24503849678356374
264,0,1,-0.24503849678346748
288,0,1,-0.2450384967834571
312,0,1,-0.24503849678344505
336,0,1,-0.24503849678343276
360,0,1,-0.2450384967834203
384,0,1,-0.24503849678340767
408,0,1,-0.24503849678339498
432,0,1,-0.24503849678338252
456,0,1,-0.2450384967833701
480,0,1,-0.24503849678335807
504,0,1,-0.24503849678334633
528,0,1,-0.2450384967833347
552,0,1,-0.24503849678332348
576,0,1,-0.24503849678331252
600,0,1,-0.24503849678330183
624,0,1,-0.24503849678329165
648,0,1,-0.24503849678328146
672,0,1,-0.2450384967832717
696,0,1,-0.2450384967832622
720,0,1,-0.24503849678325276
744,0,1,-0.24503849678324366
768,0,1,-0.24503849678323472
792,0,1,-0.24503849678322595
816,0,1,-0.2450384967832173
840,0,1,-0.24503849678320883
864,0,1,-0.24503849678320055
888,0,1,-0.24503849678319242
912,0,1,-0.24503849678318443
936,0,1,-0.24503849678317655
960,0,1,-0.24503849678316886
984,0,1,-0.24407600522582454
1008,0,1,-0.24233378219930124
1032,0,1,-0.23999520067089464
1056,0,1,-0.23723612321257134
1080,0,1,-0.234218265492258
1104,0,1,-0.23108427912507817
1128,0,1,-0.22795462405911848
1152,0,1,-0.22492615484949366
1176,0,1,-0.22207222787708833
1200,0,1,-0.21944405489189234
1224,0,1,-0.21707298427494884
1248,0,1,-0.21497338271759273
1272,0,1,-0.2131458108221241
1296,0,1,-0.211580228590071
1320,0,1,-0.21025902232733779
1344,0,1,-0.20915970505008669
1368,0,1,-0.20825720120472746
1392,0,1,-0.20752567838701472
1416,0,1,-0.20693993065886454
1440,0,1,-0.20647634872080162
1464,0,1,-0.20611353179089772
1488,0,1,-0.205832605822379
1512,0,1,-0.20561731454970011
1536,0,1,-0.2054539459199746
1560,0,1,-0.2053311488168174
1584,0,1,-0.20523968542429166
1608,0,1,-0.20517215453914484
1632,0,1,-0.20512271163894535
1656,0,1,-0.20508680318665196
1680,0,1,-0.20506092581012894
1704,0,1,-0.2050424157042745
1728,0,1,-0.2050292697629116
1752,0,1,-0.20501999735901505
1776,0,1,-0.20501350011455416
1800,0,1,-0.2050089761918255
1824,0,1,-0.20500584537562494
1848,0,1,-0.20500369131440258
1872,0,1,-0.20500221760286144
1896,0,1,-0.2050012148106249
1920,0,1,-0.2050005360171513
1944,0,1,-0.20500007885439803
1968,0,1,-0.20499977245855067
1992,0,1,-0.20499956807766734
2016,0,1,-0.20499943237019452
2040,0,1,-0.204999342662761
2064,0,1,-0.20499928362037745
2088,0,1,-0.2049992449254135
2112,0,1,-0.20499921967087514
2136,0,1,-0.20499920325540177
2160,0,1,-0.2049991926280144
2184,0,1,-0.20499918577495088
2208,0,1,-0.20499918137294726
2232,0,1,-0.20499917855623645
2256,0,1,-0.20499917676077495
2280,0,1,-0.20499917562061734
2304,0,1,-0.20499917489931196
2328,0,1,-0.20499917444469323
2352,0,1,-0.2049991741592262
2376,0,1,-0.2049991739806391
2400,0,1,-0.2049991738693294
2424,0,1,-0.2049991738002088
2448,0,1,-0.20499917375744522
2472,0,1,-0.20499917373108595
2496,0,1,-0.2049991737148983
2520,0,1,-0.204999173704994
2544,0,1,-0.20499917369895657
2568,0,1,-0.20499917369529
2592,0,1,-0.20499917369307152
2616,0,1,-0.20499917369173423
