cycle,hour_cyc,stp,value
0,0,0,0.006
0,0,1,0.006
24,0,1,0.00478702518142797
48,0,1,0.00457154161306225
72,0,1,0.00378375451086571
96,0,1,0.00301557099372893
120,0,1,0.00281921570241677
144,0,1,0.00285812953670212
168,0,1,0.00285859136084253
192,0,1,0.00285859531147303
216,0,1,0.00285859534067632
240,0,1,0.0028585953408697
264,0,1,0.00285859534087087
288,0,1,0.00285859534087099
312,0,1,0.00285859534087113
336,0,1,0.00285859534087128
360,0,1,0.00285859534087144
384,0,1,0.00285859534087159
408,0,1,0.00285859534087174
432,0,1,0.00285859534087189
456,0,1,0.00285859534087204
480,0,1,0.00285859534087219
504,0,1,0.00285859534087233
528,0,1,0.00285859534087247
552,0,1,0.00285859534087261
576,0,1,0.00285859534087274
600,0,1,0.00285859534087286
624,0,1,0.00285859534087299
648,0,1,0.00285859534087311
672,0,1,0.00285859534087323
696,0,1,0.00285859534087335
720,0,1,0.00285859534087346
744,0,1,0.00285859534087357
768,0,1,0.00285859534087368
792,0,1,0.00285859534087378
816,0,1,0.00285859534087389
840,0,1,0.00285859534087399
864,0,1,0.00285859534087409
888,0,1,0.00285859534087419
912,0,1,0.00285859534087428
936,0,1,0.00285859534087438
960,0,1,0.00285859534087447
984,0,1,0.00286070399536419
1008,0,1,0.0028649328988522
1032,0,1,0.00287111900314443
1056,0,1,0.00287897235709416
1080,0,1,0.00288812316952815
1104,0,1,0.00289816488159437
1128,0,1,0.00290869082539437
1152,0,1,0.00291932301040763
1176,0,1,0.00292973250661522
1200,0,1,0.00293965169478308
1224,0,1,0.00294887927165693
1248,0,1,0.0029572793044888
1272,0,1,0.00296477582809359
1296,0,1,0.00297134449402354
1320,0,1,0.00297700265565557
1344,0,1,0.0029817990516775
1368,0,1,0.00298580397958176
1392,0,1,0.0029891005701852
1416,0,1,0.00299177751444238
1440,0,1,0.00299392337496327
1464,0,1,0.00299562244674091
1488,0,1,0.00299695201632667
1512,0,1,0.00299798080161074
1536,0,1,0.00299876832723664
1560,0,1,0.00299936499359369
1584,0,1,0.00299981262037388
1608,0,1,0.00300014528006194
1632,0,1,0.00300039027540973
1656,0,1,0.00300056915284054
1680,0,1,0.00300069867759242
1704,0,1,0.00300079172455229
1728,0,1,0.00300085806064656
1752,0,1,0.00300090501063598
1776,0,1,0.00300093800898075
1800,0,1,0.00300096104707845
1824,0,1,0.00300097702863974
1848,0,1,0.00300098804717356
1872,0,1,0.00300099559927558
1896,0,1,0.00300100074625289
1920,0,1,0.00300100423501574
1944,0,1,0.00300100658742753
1968,0,1,0.00300100816561784
1992,0,1,0.00300100921923908
2016,0,1,0.00300100991933476
2040,0,1,0.00300101038239811
2064,0,1,0.00300101068732091
2088,0,1,0.00300101088724093
2112,0,1,0.00300101101776317
2136,0,1,0.00300101110262532
2160,0,1,0.00300101115757682
2184,0,1,0.00300101119301821
2208,0,1,0.00300101121578667
2232,0,1,0.00300101123035701
2256,0,1,0.00300101123964532
2280,0,1,0.00300101124554395
2304,0,1,0.0030010112492758
2328,0,1,0.00300101125162795
2352,0,1,0.00300101125310496
2376,0,1,0.00300101125402899
2400,0,1,0.00300101125460492
2424,0,1,0.00300101125496256
2448,0,1,0.00300101125518383
2472,0,1,0.00300101125532022
2496,0,1,0.00300101125540398
2520,0,1,0.00300101125545522
2544,0,1,0.00300101125548646
2568,0,1,0.00300101125550544
2592,0,1,0.00300101125551692
2616,0,1,0.00300101125552384
