cycle,hour_cyc,stp,value
0,0,1,1.0
24,0,1,1.000000000055643
48,0,1,37.16800000005565
72,0,1,73.33600000005566
96,0,1,109.50400000005567
120,0,1,145.67200000005568
144,0,1,181.84000000005568
168,0,1,182.21922037321943
192,0,1,182.2217741483736
216,0,1,182.2217900335065
240,0,1,182.2217901258707
264,0,1,182.22179012637355
288,0,1,182.2217901264292
312,0,1,182.22179012648488
336,0,1,182.22179012654047
360,0,1,182.22179012659615
384,0,1,182.22179012665177
408,0,1,182.2217901267074
432,0,1,182.22179012676312
456,0,1,182.22179012681875
480,0,1,182.22179012687434
504,0,1,182.22179012692996
528,0,1,182.2217901269856
552,0,1,182.2217901270413
576,0,1,182.22179012709682
600,0,1,182.22179012715262
624,0,1,182.2217901272082
648,0,1,182.22179012726386
672,0,1,182.22179012731957
696,0,1,182.22179012737513
720,0,1,182.22179012743075
744,0,1,182.22179012748637
768,0,1,182.22179012754205
792,0,1,182.22179012759773
816,0,1,182.22179012765335
840,0,1,182.221790127709
864,0,1,182.22179012776456
888,0,1,182.2217901278203
912,0,1,182.22179012787592
936,0,1,182.22179012793154
960,0,1,182.22179012798716
984,0,1,182.22179012804284
1008,0,1,182.22179012809846
1032,0,1,182.22179012815414
1056,0,1,182.22179012820973
1080,0,1,182.22179012826544
1104,0,1,182.2217901283211
1128,0,1,182.22179012837668
1152,0,1,182.2217901284323
1176,0,1,182.22179012848795
1200,0,1,182.22179012854363
1224,0,1,182.22179012859928
1248,0,1,182.2217901286549
1272,0,1,182.22179012871055
1296,0,1,182.22179012876617
1320,0,1,182.22179012882188
1344,0,1,182.22179012887747
1368,0,1,182.2217901289331
1392,0,1,182.22179012898877
1416,0,1,182.22179012904442
1440,0,1,182.22179012910004
1464,0,1,182.2217901291557
1488,0,1,182.22179012921134
1512,0,1,182.22179012926694
1536,0,1,182.2217901293226
1560,0,1,182.22179012937826
1584,0,1,182.22179012943388
1608,0,1,182.22179012948953
1632,0,1,182.22179012954518
1656,0,1,182.22179012960083
1680,0,1,182.22179012965648
1704,0,1,182.22179012971213
1728,0,1,182.22179012976778
1752,0,1,182.2217901298234
1776,0,1,182.22179012987903
1800,0,1,182.22179012993467
1824,0,1,182.22179012999032
1848,0,1,182.22179013004597
1872,0,1,182.22179013010162
1896,0,1,182.22179013015725
1920,0,1,182.2217901302129
1944,0,1,182.22179013026854
1968,0,1,182.22179013032417
1992,0,1,182.22179013037984
2016,0,1,182.22179013043547
2040,0,1,182.22179013049112
2064,0,1,182.22179013054676
2088,0,1,182.22179013060241
2112,0,1,182.22179013065804
2136,0,1,182.22179013071366
2160,0,1,182.2217901307693
2184,0,1,182.22179013082496
2208,0,1,182.2217901308806
2232,0,1,182.22179013093626
2256,0,1,182.2217901309919
2280,0,1,182.22179013104753
2304,0,1,182.22179013110318
2328,0,1,182.22179013115883
2352,0,1,182.22179013121448
2376,0,1,182.2217901312701
2400,0,1,182.22179013132575
2424,0,1,182.22179013138137
2448,0,1,182.22179013143705
2472,0,1,182.22179013149267
2496,0,1,182.22179013154832
2520,0,1,182.22179013160397
2544,0,1,182.22179013165962
2568,0,1,182.22179013171527
2592,0,1,182.2217901317709
2616,0,1,182.22179013182654
