cycle,hour_cyc,stp,value
0,0,1,1.0
24,0,1,1.000000000055643
48,0,1,37.16800000005565
72,0,1,73.33600000005566
96,0,1,109.50400000005567
120,0,1,145.67200000005568
144,0,1,181.84000000005568
168,0,1,182.21922037321943
192,0,1,182.2217741483736
216,0,1,182.2217900335065
240,0,1,182.2217901258707
264,0,1,182.22179012637355
288,0,1,182.2217901264292
312,0,1,182.22179012648488
336,0,1,182.22179012654047
360,0,1,182.22179012659615
384,0,1,182.22179012665177
408,0,1,182.2217901267074
432,0,1,182.22179012676312
456,0,1,182.22179012680735
480,0,1,182.22179012670475
504,0,1,182.22179012520968
528,0,1,182.22179011347023
552,0,1,182.2217900436844
576,0,1,182.22178971155898
600,0,1,182.2217883941162
624,0,1,182.22178389462465
648,0,1,182.2217703245282
672,0,1,182.2217334712275
696,0,1,182.22164196419092
720,0,1,182.22143171066986
744,0,1,182.22098033139105
768,0,1,182.2200677398641
792,0,1,182.2183187584246
816,0,1,182.21512392755432
840,0,1,182.20953557787203
864,0,1,182.20013785479279
888,0,1,182.18489167131668
912,0,1,182.16095836306758
936,0,1,182.12450888222818
960,0,1,182.07052837436467
984,0,1,181.99262858575904
1008,0,1,181.8828824161672
1032,0,1,181.7316957899574
1056,0,1,181.5277316893423
1080,0,1,181.25789961623326
1104,0,1,180.90742098786754
1128,0,1,180.45997720597083
1152,0,1,179.8979426453487
1176,0,1,179.20269992597622
1200,0,1,178.35502993298314
1224,0,1,177.33556449523658
1248,0,1,176.12528575058622
1272,0,1,174.70605327462786
1296,0,1,173.06113820812251
1320,0,1,171.1757429732606
1344,0,1,169.0374857176161
1368,0,1,166.63683028125308
1392,0,1,163.96744509280637
1416,0,1,161.0264777594747
1440,0,1,157.8147359875931
1464,0,1,154.33676960709013
1488,0,1,150.60085263334273
1512,0,1,146.6188682638837
1536,0,1,142.40610328832472
1560,0,1,137.98096144176728
1584,0,1,133.36460765358228
1608,0,1,128.58055687849162
1632,0,1,123.65422223162702
1656,0,1,118.61243750752166
1680,0,1,113.48296889984157
1704,0,1,108.29402993295675
1728,0,1,103.0738123632886
1752,0,1,97.85004421175644
1776,0,1,92.64958425480968
1800,0,1,87.4980603332263
1824,0,1,82.41955682977206
1848,0,1,77.43635470219053
1872,0,1,72.56872560641354
1896,0,1,67.8347799611366
1920,0,1,63.250367328809816
1944,0,1,58.829026245088414
1968,0,1,54.5819796311294
1992,0,1,50.51817117151057
2016,0,1,46.64433752602372
2040,0,1,42.96511094951825
2064,0,1,39.483146798028486
2088,0,1,36.19927047550934
2112,0,1,33.112638595439535
2136,0,1,30.22090946655689
2160,0,1,27.520418433924732
2184,0,1,25.006354088880386
2208,0,1,22.672931880012356
2232,0,1,20.51356219082126
2256,0,1,18.521010479924968
2280,0,1,16.687547591581392
2304,0,1,15.005088826103076
2328,0,1,13.465320802628554
2352,0,1,12.05981554466166
2376,0,1,10.780131568223567
2400,0,1,9.617902051942337
2424,0,1,8.564910418264816
2448,0,1,7.613153856984411
2472,0,1,6.7548954792973745
2496,0,1,5.982705906302044
2520,0,1,5.289495174424303
2544,0,1,4.668535886182184
2568,0,1,4.113478552566647
2592,0,1,3.618360067635649
2616,0,1,3.177606231015119
