cycle,hour_cyc,stp,value
0,0,0,0.015
0,0,1,0.0
24,0,1,-0.00239862026720547
48,0,1,-0.00133447178248558
72,0,1,-0.04487052408107155
96,0,1,-0.10472593678878818
120,0,1,-0.15438152942676997
144,0,1,-0.1678473769873105
168,0,1,-0.1678289095899776
192,0,1,-0.1678287486083964
216,0,1,-0.16782874740661635
240,0,1,-0.16782874739860898
264,0,1,-0.1678287473985606
288,0,1,-0.16782874739855538
312,0,1,-0.16782874739854925
336,0,1,-0.167828747398543
360,0,1,-0.16782874739853657
384,0,1,-0.1678287473985301
408,0,1,-0.1678287473985236
432,0,1,-0.16782874739851714
456,0,1,-0.16782874739851072
480,0,1,-0.16782874739850456
504,0,1,-0.16782874739849837
528,0,1,-0.16782874739849235
552,0,1,-0.16782874739848638
576,0,1,-0.1678287473984807
600,0,1,-0.1678287473984751
624,0,1,-0.16782874739846956
648,0,1,-0.16782874739846423
672,0,1,-0.16782874739845902
696,0,1,-0.16782874739845388
720,0,1,-0.16782874739844897
744,0,1,-0.16782874739844414
768,0,1,-0.16782874739843928
792,0,1,-0.16782874739843456
816,0,1,-0.1678287473984299
840,0,1,-0.16782874739842535
864,0,1,-0.16782874739842085
888,0,1,-0.16782874739841644
912,0,1,-0.16782874739841214
936,0,1,-0.16782874739840786
960,0,1,-0.16782874739840367
984,0,1,-0.16782874739839956
1008,0,1,-0.16782874739839543
1032,0,1,-0.16782874739839143
1056,0,1,-0.16782874739838743
1080,0,1,-0.1678287473983835
1104,0,1,-0.16782874739837964
1128,0,1,-0.16782874739837575
1152,0,1,-0.16782874739837197
1176,0,1,-0.16782874739836817
1200,0,1,-0.16782874739836448
1224,0,1,-0.16782874739836084
1248,0,1,-0.1678287473983572
1272,0,1,-0.16782874739835368
1296,0,1,-0.16782874739835021
1320,0,1,-0.1678287473983468
1344,0,1,-0.1678287473983434
1368,0,1,-0.1678287473983401
1392,0,1,-0.16782874739833686
1416,0,1,-0.16782874739833364
1440,0,1,-0.16782874739833056
1464,0,1,-0.1678287473983275
1488,0,1,-0.16782874739832448
1512,0,1,-0.16782874739832154
1536,0,1,-0.16782874739831866
1560,0,1,-0.16782874739831585
1584,0,1,-0.16782874739831305
1608,0,1,-0.1678287473983103
1632,0,1,-0.16782874739830764
1656,0,1,-0.167828747398305
1680,0,1,-0.16782874739830236
1704,0,1,-0.16782874739829978
1728,0,1,-0.16782874739829723
1752,0,1,-0.1678287473982947
1776,0,1,-0.16782874739829218
1800,0,1,-0.16782874739828968
1824,0,1,-0.16782874739828724
1848,0,1,-0.16782874739828474
1872,0,1,-0.1678287473982823
1896,0,1,-0.16782874739827988
1920,0,1,-0.16782874739827747
1944,0,1,-0.16782874739827502
1968,0,1,-0.16782874739827258
1992,0,1,-0.1678287473982702
2016,0,1,-0.16782874739826778
2040,0,1,-0.1678287473982654
2064,0,1,-0.16782874739826298
2088,0,1,-0.1678287473982606
2112,0,1,-0.1678287473982582
2136,0,1,-0.16782874739825582
2160,0,1,-0.1678287473982534
2184,0,1,-0.16782874739825102
2208,0,1,-0.1678287473982486
2232,0,1,-0.16782874739824621
2256,0,1,-0.1678287473982438
2280,0,1,-0.1678287473982414
2304,0,1,-0.16782874739823903
2328,0,1,-0.16782874739823664
2352,0,1,-0.16782874739823425
2376,0,1,-0.16782874739823184
2400,0,1,-0.16782874739822945
2424,0,1,-0.16782874739822706
2448,0,1,-0.16782874739822468
2472,0,1,-0.16782874739822226
2496,0,1,-0.16782874739821987
2520,0,1,-0.1678287473982175
2544,0,1,-0.1678287473982151
2568,0,1,-0.1678287473982127
2592,0,1,-0.16782874739821033
2616,0,1,-0.16782874739820794
