cycle,hour_cyc,stp,value
4,4,1,400.0
5,5,1,400.0
6,6,1,400.0
7,7,1,400.0
8,8,1,400.0
9,9,1,400.0
10,10,1,400.0
11,11,1,400.0
12,12,1,400.0
13,13,1,400.0
14,14,1,400.0
15,15,1,400.0
16,16,1,400.0
17,17,1,400.0
18,18,1,400.0
19,19,1,400.0
20,20,1,400.0
28,4,1,400.0
29,5,1,400.0
30,6,1,400.0
31,7,1,400.0
32,8,1,400.0
33,9,1,400.0
34,10,1,400.0
35,11,1,400.0
36,12,1,400.0
37,13,1,400.0
38,14,1,400.0
39,15,1,400.0
40,16,1,400.0
41,17,1,400.0
42,18,1,400.0
43,19,1,400.0
44,20,1,400.0
52,4,1,400.0
53,5,1,400.0
54,6,1,400.0
55,7,1,400.0
56,8,1,400.0
57,9,1,400.0
58,10,1,400.0
59,11,1,400.0
60,12,1,400.0
61,13,1,400.0
62,14,1,400.0
63,15,1,400.0
64,16,1,400.0
65,17,1,400.0
66,18,1,400.0
67,19,1,400.0
68,20,1,400.0
76,4,1,400.0
77,5,1,400.0
78,6,1,400.0
79,7,1,400.0
80,8,1,400.0
81,9,1,400.0
82,10,1,400.0
83,11,1,400.0
84,12,1,400.0
85,13,1,400.0
86,14,1,400.0
87,15,1,400.0
88,16,1,400.0
89,17,1,400.0
90,18,1,400.0
91,19,1,400.0
92,20,1,400.0
100,4,1,400.0
101,5,1,400.0
102,6,1,400.0
103,7,1,400.0
104,8,1,400.0
105,9,1,400.0
106,10,1,400.0
107,11,1,400.0
108,12,1,400.0
109,13,1,400.0
110,14,1,400.0
111,15,1,400.0
112,16,1,400.0
113,17,1,400.0
114,18,1,400.0
115,19,1,400.0
116,20,1,400.0
124,4,1,400.0
125,5,1,400.0
126,6,1,400.0
127,7,1,400.0
128,8,1,400.0
129,9,1,400.0
130,10,1,400.0
131,11,1,400.0
132,12,1,400.0
133,13,1,400.0
134,14,1,400.0
135,15,1,400.0
136,16,1,400.0
137,17,1,400.0
138,18,1,400.0
139,19,1,400.0
140,20,1,400.0
148,4,1,400.0
149,5,1,400.0
150,6,1,400.0
