cycle,hour_cyc,stp,value
0,0,1,33.0
24,0,1,89.0
48,0,1,150.0
72,0,1,161.0
96,0,1,188.0
120,0,1,245.0
144,0,1,268.0
168,0,1,365.0
192,0,1,456.0
216,0,1,531.0
240,0,1,629.0
264,0,1,720.0
288,0,1,720.0
312,0,1,743.0
336,0,1,751.0
360,0,1,810.0
384,0,1,907.0
408,0,1,1006.0
432,0,1,1072.0
456,0,1,1143.0
480,0,1,1143.0
528,0,1,77.0
552,0,1,171.0
576,0,1,234.0
600,0,1,259.0
624,0,1,291.0
648,0,1,383.0
672,0,1,443.0
696,0,1,522.0
720,0,1,556.0
744,0,1,612.0
768,0,1,653.0
792,0,1,662.0
816,0,1,750.0
840,0,1,757.0
864,0,1,846.0
888,0,1,847.0
912,0,1,870.0
936,0,1,899.0
960,0,1,912.0
1008,0,1,45.0
1032,0,1,119.0
1056,0,1,216.0
1080,0,1,249.0
1104,0,1,295.0
1128,0,1,330.0
1152,0,1,371.0
1176,0,1,413.0
1200,0,1,421.0
1224,0,1,446.0
1248,0,1,493.0
1272,0,1,568.0
1296,0,1,646.0
1320,0,1,703.0
1344,0,1,784.0
1368,0,1,858.0
1392,0,1,932.0
1416,0,1,955.0
1440,0,1,1005.0
1464,0,1,1057.0
1488,0,1,1067.0
1512,0,1,1160.0
1536,0,1,1190.0
1560,0,1,1238.0
1584,0,1,1312.0
1608,0,1,1323.0
1632,0,1,1393.0
1656,0,1,1404.0
1680,0,1,1405.0
1704,0,1,1420.0
1728,0,1,1465.0
1752,0,1,1486.0
1776,0,1,1541.0
1800,0,1,1551.0
1824,0,1,1595.0
1848,0,1,1599.0
1872,0,1,1642.0
1896,0,1,1697.0
1920,0,1,1780.0
1944,0,1,1781.0
1968,0,1,1880.0
1992,0,1,1929.0
2016,0,1,2018.0
2040,0,1,2033.0
2064,0,1,2053.0
2088,0,1,2100.0
2112,0,1,2194.0
2136,0,1,2288.0
2160,0,1,2370.0
2184,0,1,2386.0
2208,0,1,2435.0
2232,0,1,2510.0
2256,0,1,2610.0
2280,0,1,2662.0
2304,0,1,2674.0
2328,0,1,2741.0
2352,0,1,2759.0
2376,0,1,2804.0
2400,0,1,2823.0
