cycle,hour_cyc,stp,value
0,0,2,1.0
1,1,2,1.0
2,2,2,1.0
3,3,2,1.0
4,4,1,1.0475
4,4,2,1.0475
5,5,1,1.0475
5,5,2,1.0475
6,6,1,1.0475
6,6,2,1.0475
7,7,1,1.0475
7,7,2,1.0475
8,8,1,1.0475
8,8,2,1.0475
9,9,1,1.0475
9,9,2,1.0475
10,10,1,1.0475
10,10,2,1.0475
11,11,1,1.0475
11,11,2,1.0475
12,12,1,1.0475
12,12,2,1.0475
13,13,1,1.0475
13,13,2,1.0475
14,14,1,1.0475
14,14,2,1.0475
15,15,1,1.0475
15,15,2,1.0475
16,16,1,1.0475
16,16,2,1.0475
17,17,1,1.0475
17,17,2,1.0475
18,18,1,1.0475
18,18,2,1.0475
19,19,1,1.0475
19,19,2,1.0475
20,20,1,1.0475
20,20,2,1.0475
21,21,2,1.0
22,22,2,1.0
23,23,2,1.0
24,0,2,1.0
25,1,2,1.0
26,2,2,1.0
27,3,2,1.0
28,4,1,1.0475
28,4,2,1.0475
29,5,1,1.0475
29,5,2,1.0475
30,6,1,1.0475
30,6,2,1.0475
31,7,1,1.0475
31,7,2,1.0475
32,8,1,1.0475
32,8,2,1.0475
33,9,1,1.0475
33,9,2,1.0475
34,10,1,1.0475
34,10,2,1.0475
35,11,1,1.0475
35,11,2,1.0475
36,12,1,1.0475
36,12,2,1.0475
37,13,1,1.0475
37,13,2,1.0475
38,14,1,1.0475
38,14,2,1.0475
39,15,1,1.0475
39,15,2,1.0475
40,16,1,1.0475
40,16,2,1.0475
41,17,1,1.0475
41,17,2,1.0475
42,18,1,1.0475
42,18,2,1.0475
43,19,1,1.0475
43,19,2,1.0475
44,20,1,1.0475
44,20,2,1.0475
45,21,2,1.0
46,22,2,1.0
47,23,2,1.0
48,0,2,1.0
49,1,2,1.0
50,2,2,1.0
51,3,2,1.0
52,4,1,1.0475
52,4,2,1.0475
53,5,1,1.0475
53,5,2,1.0475
54,6,1,1.0475
54,6,2,1.0475
55,7,1,1.0475
55,7,2,1.0475
56,8,1,1.0475
56,8,2,1.0475
57,9,1,1.0475
57,9,2,1.0475
58,10,1,1.0475
58,10,2,1.0475
59,11,1,1.0475
59,11,2,1.0475
60,12,1,1.0475
60,12,2,1.0475
61,13,1,1.0475
61,13,2,1.0475
62,14,1,1.0475
62,14,2,1.0475
63,15,1,1.0475
63,15,2,1.0475
64,16,1,1.0475
64,16,2,1.0475
65,17,1,1.0475
65,17,2,1.0475
66,18,1,1.0475
66,18,2,1.0475
67,19,1,1.0475
67,19,2,1.0475
68,20,1,1.0475
68,20,2,1.0475
69,21,2,1.0
70,22,2,1.0
71,23,2,1.0
72,0,2,1.0
73,1,2,1.0
74,2,2,1.0
75,3,2,1.0
76,4,1,1.0315488841657616
76,4,2,1.0315488841657616
77,5,1,1.0315488841657616
77,5,2,1.0315488841657616
78,6,1,1.0315488841657616
78,6,2,1.0315488841657616
79,7,1,1.0315488841657616
79,7,2,1.0315488841657616
80,8,1,1.0315488841657616
80,8,2,1.0315488841657616
81,9,1,1.0315488841657616
81,9,2,1.0315488841657616
82,10,1,1.0315488841657616
82,10,2,1.0315488841657616
83,11,1,1.0315488841657616
83,11,2,1.0315488841657616
84,12,1,1.0315488841657616
84,12,2,1.0315488841657616
85,13,1,1.0315488841657616
85,13,2,1.0315488841657616
86,14,1,1.0315488841657616
86,14,2,1.0315488841657616
87,15,1,1.0315488841657616
87,15,2,1.0315488841657616
88,16,1,1.0315488841657616
88,16,2,1.0315488841657616
89,17,1,1.0315488841657616
89,17,2,1.0315488841657616
90,18,1,1.0315488841657616
