cycle,hour_cyc,stp,value
0,0,1,1.49
24,0,1,1.49
48,0,1,1.49
72,0,1,1.49
96,0,1,1.49
120,0,1,1.49
144,0,1,1.49
168,0,1,1.49
192,0,1,1.49
216,0,1,1.49
240,0,1,1.49
264,0,1,1.49
288,0,1,1.49
312,0,1,1.49
336,0,1,1.49
360,0,1,1.49
384,0,1,1.49
408,0,1,1.49
432,0,1,1.49
456,0,1,1.49
480,0,1,1.49
504,0,1,1.49
528,0,1,1.49
552,0,1,1.49
576,0,1,1.49
600,0,1,1.49
624,0,1,1.49
648,0,1,1.49
672,0,1,1.49
696,0,1,1.49
720,0,1,1.49
744,0,1,1.49
768,0,1,1.49
792,0,1,1.49
816,0,1,1.49
840,0,1,1.49
864,0,1,1.49
888,0,1,1.49
912,0,1,1.49
936,0,1,1.49
960,0,1,1.49
984,0,1,1.49
1008,0,1,1.49
1032,0,1,1.49
1056,0,1,1.49
1080,0,1,1.49
1104,0,1,1.49
1128,0,1,1.49
1152,0,1,1.49
1176,0,1,1.49
1200,0,1,1.49
1224,0,1,1.49
1248,0,1,1.49
1272,0,1,1.49
1296,0,1,1.49
1320,0,1,1.49
1344,0,1,1.49
1368,0,1,1.49
1392,0,1,1.49
1416,0,1,1.49
1440,0,1,1.49
1464,0,1,1.49
1488,0,1,1.49
1512,0,1,1.49
1536,0,1,1.49
1560,0,1,1.49
1584,0,1,1.49
1608,0,1,1.49
1632,0,1,1.49
1656,0,1,1.49
1680,0,1,1.49
1704,0,1,1.49
1728,0,1,1.49
1752,0,1,1.49
1776,0,1,1.49
1800,0,1,1.49
1824,0,1,1.49
1848,0,1,1.49
1872,0,1,1.49
1896,0,1,1.49
1920,0,1,1.49
1944,0,1,1.49
1968,0,1,1.49
1992,0,1,1.49
2016,0,1,1.49
2040,0,1,1.49
2064,0,1,1.49
2088,0,1,1.49
2112,0,1,1.49
2136,0,1,1.49
2160,0,1,1.49
2184,0,1,1.49
2208,0,1,1.49
2232,0,1,1.49
2256,0,1,1.49
2280,0,1,1.49
2304,0,1,1.49
2328,0,1,1.49
2352,0,1,1.49
2376,0,1,1.49
2400,0,1,1.49
2424,0,1,1.49
2448,0,1,1.49
2472,0,1,1.49
2496,0,1,1.49
2520,0,1,1.49
2544,0,1,1.49
2568,0,1,1.49
2592,0,1,1.49
2616,0,1,1.49
