cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000001152031
48,0,1,0.09625449830889278
72,0,1,0.192508996609359
96,0,1,0.2877674390327778
120,0,1,0.38238564049712875
144,0,1,0.4766536485427908
168,0,1,0.5707008115678085
192,0,1,0.6647134494506417
216,0,1,0.7587201082701741
240,0,1,0.8527256808870172
264,0,1,0.9467371278231423
288,0,1,1.0407851043768275
312,0,1,1.1349556254879085
336,0,1,1.2294273129231859
360,0,1,1.3245036434065058
384,0,1,1.4206292308809279
408,0,1,1.518382731043135
432,0,1,1.6184445050366216
456,0,1,1.7215427533981404
480,0,1,1.8283859828413633
504,0,1,1.9395919048894477
528,0,1,2.0556235460440146
552,0,1,2.1767430962425824
576,0,1,2.3029931483187283
600,0,1,2.434213345315875
624,0,1,2.5700977154089943
648,0,1,2.710293964179033
672,0,1,2.854540931286434
696,0,1,3.0028349135804873
720,0,1,3.155610443982126
744,0,1,3.3139172369202563
768,0,1,3.479573035487962
792,0,1,3.655272411419869
816,0,1,3.844634246767318
840,0,1,4.052175429522149
864,0,1,4.283204725089806
888,0,1,4.543638145577291
912,0,1,4.8397446214239785
936,0,1,5.177837562439341
960,0,1,5.563933241472521
984,0,1,6.003400284208682
1008,0,1,6.5006255866637135
1032,0,1,7.058720666095462
1056,0,1,7.679289006108462
1080,0,1,8.362269829906495
1104,0,1,9.105867525499427
1128,0,1,9.906569318498494
1152,0,1,10.759245408300837
1176,0,1,11.657319053608894
1200,0,1,12.592990748671392
1224,0,1,13.557500332618657
1248,0,1,14.541412328384565
1272,0,1,15.534911748429533
1296,0,1,16.52809925444576
1320,0,1,17.511275681924502
1344,0,1,18.475206685944322
1368,0,1,19.411358951479706
1376,8,2,8.057707943741297
