cycle,hour_cyc,stp,value
0,0,1,0.65
1,1,1,0.65
2,2,1,0.65
3,3,1,0.65
4,4,1,0.65
5,5,1,0.65
6,6,1,0.65
7,7,1,0.65
8,8,1,0.65
9,9,1,0.65
10,10,1,0.65
11,11,1,0.65
12,12,1,0.65
13,13,1,0.65
14,14,1,0.65
15,15,1,0.65
16,16,1,0.65
17,17,1,0.65
18,18,1,0.65
19,19,1,0.65
20,20,1,0.65
21,21,1,0.65
22,22,1,0.65
23,23,1,0.65
24,0,1,0.65
25,1,1,0.65
26,2,1,0.65
27,3,1,0.65
28,4,1,0.65
29,5,1,0.65
30,6,1,0.65
31,7,1,0.65
32,8,1,0.65
33,9,1,0.65
34,10,1,0.65
35,11,1,0.65
36,12,1,0.65
37,13,1,0.65
38,14,1,0.65
39,15,1,0.65
40,16,1,0.65
41,17,1,0.65
42,18,1,0.65
43,19,1,0.65
44,20,1,0.65
45,21,1,0.65
46,22,1,0.65
47,23,1,0.65
48,0,1,0.65
49,1,1,0.65
50,2,1,0.65
51,3,1,0.65
52,4,1,0.65
53,5,1,0.65
54,6,1,0.65
55,7,1,0.65
56,8,1,0.65
57,9,1,0.65
58,10,1,0.65
59,11,1,0.65
60,12,1,0.65
61,13,1,0.65
62,14,1,0.65
63,15,1,0.65
64,16,1,0.65
65,17,1,0.65
66,18,1,0.65
67,19,1,0.65
68,20,1,0.65
69,21,1,0.65
70,22,1,0.65
71,23,1,0.65
72,0,1,0.65
73,1,1,0.65
74,2,1,0.65
75,3,1,0.65
76,4,1,0.65
77,5,1,0.65
78,6,1,0.65
79,7,1,0.65
80,8,1,0.65
81,9,1,0.65
82,10,1,0.65
83,11,1,0.65
84,12,1,0.65
85,13,1,0.65
86,14,1,0.65
87,15,1,0.65
88,16,1,0.65
89,17,1,0.65
90,18,1,0.65
91,19,1,0.65
92,20,1,0.65
93,21,1,0.65
94,22,1,0.65
95,23,1,0.65
96,0,1,0.65
97,1,1,0.65
98,2,1,0.65
99,3,1,0.65
100,4,1,0.65
101,5,1,0.65
102,6,1,0.65
103,7,1,0.65
104,8,1,0.65
105,9,1,0.65
106,10,1,0.65
107,11,1,0.65
108,12,1,0.65
109,13,1,0.65
110,14,1,0.65
111,15,1,0.65
112,16,1,0.65
