cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000001854769
48,0,1,12.056000000000001
72,0,1,12.056000000000001
96,0,1,12.056000000000001
120,0,1,12.056000000000001
144,0,1,12.056000000000001
168,0,1,0.12640679105457983
192,0,1,0.00085125838473567
216,0,1,0.00000529504429157
240,0,1,0.00000003078807099
264,0,1,0.00000000016761568
288,0,1,0.00000000001854769
312,0,1,0.00000000001854769
336,0,1,0.00000000001854769
360,0,1,0.00000000001854769
384,0,1,0.00000000001854769
408,0,1,0.00000000001854769
432,0,1,0.00000000001854769
456,0,1,0.00000000001854769
480,0,1,0.00000000001854769
504,0,1,0.00000000001854769
528,0,1,0.00000000001854769
552,0,1,0.00000000001854769
576,0,1,0.00000000001854769
600,0,1,0.00000000001854769
624,0,1,0.00000000001854769
648,0,1,0.00000000001854769
672,0,1,0.00000000001854769
696,0,1,0.00000000001854769
720,0,1,0.00000000001854769
744,0,1,0.00000000001854769
768,0,1,0.00000000001854769
792,0,1,0.00000000001854769
816,0,1,0.00000000001854769
840,0,1,0.00000000001854769
864,0,1,0.00000000001854769
888,0,1,0.00000000001854769
912,0,1,0.00000000001854769
936,0,1,0.00000000001854769
960,0,1,0.00000000001854769
984,0,1,0.00000000001854769
1008,0,1,0.00000000001854769
1032,0,1,0.00000000001854769
1056,0,1,0.00000000001854769
1080,0,1,0.00000000001854769
1104,0,1,0.00000000001854769
1128,0,1,0.00000000001854769
1152,0,1,0.00000000001854769
1176,0,1,0.00000000001854769
1200,0,1,0.00000000001854769
1224,0,1,0.00000000001854769
1248,0,1,0.00000000001854769
1272,0,1,0.00000000001854769
1296,0,1,0.00000000001854769
1320,0,1,0.00000000001854769
1344,0,1,0.00000000001854769
1368,0,1,0.00000000001854769
1392,0,1,0.00000000001854769
1416,0,1,0.00000000001854769
1440,0,1,0.00000000001854769
1464,0,1,0.00000000001854769
1488,0,1,0.00000000001854769
1512,0,1,0.00000000001854769
1536,0,1,0.00000000001854769
1560,0,1,0.00000000001854769
1584,0,1,0.00000000001854769
1608,0,1,0.00000000001854769
1632,0,1,0.00000000001854769
1656,0,1,0.00000000001854769
1680,0,1,0.00000000001854769
1704,0,1,0.00000000001854769
1728,0,1,0.00000000001854769
1752,0,1,0.00000000001854769
1776,0,1,0.00000000001854769
1800,0,1,0.00000000001854769
1824,0,1,0.00000000001854769
1848,0,1,0.00000000001854769
1872,0,1,0.00000000001854769
1896,0,1,0.00000000001854769
1920,0,1,0.00000000001854769
1944,0,1,0.00000000001854769
1968,0,1,0.00000000001854769
1992,0,1,0.00000000001854769
2016,0,1,0.00000000001854769
2040,0,1,0.00000000001854769
2064,0,1,0.00000000001854769
2088,0,1,0.00000000001854769
2112,0,1,0.00000000001854769
2136,0,1,0.00000000001854769
2160,0,1,0.00000000001854769
2184,0,1,0.00000000001854769
2208,0,1,0.00000000001854769
2232,0,1,0.00000000001854769
2256,0,1,0.00000000001854769
2280,0,1,0.00000000001854769
2304,0,1,0.00000000001854769
2328,0,1,0.00000000001854769
2352,0,1,0.00000000001854769
2376,0,1,0.00000000001854769
2400,0,1,0.00000000001854769
2424,0,1,0.00000000001854769
2448,0,1,0.00000000001854769
2472,0,1,0.00000000001854769
2496,0,1,0.00000000001854769
2520,0,1,0.00000000001854769
2544,0,1,0.00000000001854769
2568,0,1,0.00000000001854769
2592,0,1,0.00000000001854769
2616,0,1,0.00000000001854769
