cycle,hour_cyc,stp,value
0,0,2,0.00000000000072769
1,1,2,0.00000000000072769
2,2,2,0.00000000000072769
3,3,2,0.00000000000072769
4,4,2,0.00000000000072769
5,5,2,0.00000000000072769
6,6,2,0.00000000000075308
7,7,2,0.00000000000075308
8,8,2,0.00000000000077846
9,9,2,0.00000000000077846
10,10,2,0.00000000000077846
11,11,2,0.00000000000077846
12,12,2,0.00000000000080989
13,13,2,0.00000000000080989
14,14,2,0.00000000000080989
15,15,2,0.00000000000080989
16,16,2,0.00000000000080989
17,17,2,0.00000000000080989
18,18,2,0.00000000000080989
19,19,2,0.00000000000077846
20,20,2,0.00000000000077846
21,21,2,0.00000000000077846
22,22,2,0.00000000000077846
23,23,2,0.00000000000077846
24,0,2,0.47300000000000003
25,1,2,0.47300000000000003
26,2,2,0.47300000000000003
27,3,2,0.47300000000000003
28,4,2,0.47300000000000003
29,5,2,0.47300000000000003
30,6,2,0.4895
31,7,2,0.4895
32,8,2,0.506
33,9,2,0.506
34,10,2,0.506
35,11,2,0.506
36,12,2,0.5264285714285715
37,13,2,0.5264285714285715
38,14,2,0.5264285714285715
39,15,2,0.5264285714285715
40,16,2,0.5264285714285715
41,17,2,0.5264285714285715
42,18,2,0.5264285714285715
43,19,2,0.506
44,20,2,0.506
45,21,2,0.506
46,22,2,0.506
47,23,2,0.506
48,0,2,0.47300000000000003
49,1,2,0.47300000000000003
50,2,2,0.47300000000000003
51,3,2,0.47300000000000003
52,4,2,0.47300000000000003
53,5,2,0.47300000000000003
54,6,2,0.4895
55,7,2,0.4895
56,8,2,0.506
57,9,2,0.506
58,10,2,0.506
59,11,2,0.506
60,12,2,0.5264285714285715
61,13,2,0.5264285714285715
62,14,2,0.5264285714285715
63,15,2,0.5264285714285715
64,16,2,0.5264285714285715
65,17,2,0.5264285714285715
66,18,2,0.5264285714285715
67,19,2,0.506
68,20,2,0.506
69,21,2,0.506
70,22,2,0.506
71,23,2,0.506
72,0,2,0.47300000000000003
73,1,2,0.47300000000000003
74,2,2,0.47300000000000003
75,3,2,0.47300000000000003
76,4,2,0.47300000000000003
77,5,2,0.47300000000000003
78,6,2,0.4895
79,7,2,0.4895
80,8,2,0.506
81,9,2,0.506
82,10,2,0.506
83,11,2,0.506
84,12,2,0.5264285714285715
85,13,2,0.5264285714285715
86,14,2,0.5264285714285715
87,15,2,0.5264285714285715
88,16,2,0.5264285714285715
89,17,2,0.5264285714285715
90,18,2,0.5264285714285715
91,19,2,0.506
92,20,2,0.506
93,21,2,0.506
94,22,2,0.506
95,23,2,0.506
96,0,2,0.47300000000000003
97,1,2,0.47300000000000003
98,2,2,0.47300000000000003
99,3,2,0.47300000000000003
100,4,2,0.47300000000000003
101,5,2,0.47300000000000003
102,6,2,0.4895
103,7,2,0.4895
104,8,2,0.506
105,9,2,0.506
106,10,2,0.506
107,11,2,0.506
108,12,2,0.5264285714285715
109,13,2,0.5264285714285715
110,14,2,0.5264285714285715
111,15,2,0.5264285714285715
112,16,2,0.5264285714285715
113,17,2,0.5264285714285715
114,18,2,0.5264285714285715
115,19,2,0.506
116,20,2,0.506
117,21,2,0.506
118,22,2,0.506
119,23,2,0.506
120,0,2,0.47300000000000003
121,1,2,0.47300000000000003
122,2,2,0.47300000000000003
123,3,2,0.47300000000000003
124,4,2,0.47300000000000003
125,5,2,0.47300000000000003
126,6,2,0.4895
127,7,2,0.4895
128,8,2,0.506
129,9,2,0.506
130,10,2,0.506
131,11,2,0.506
132,12,2,0.5264285714285715
133,13,2,0.5264285714285715
134,14,2,0.5264285714285715
135,15,2,0.5264285714285715
136,16,2,0.5264285714285715
137,17,2,0.5264285714285715
138,18,2,0.5264285714285715
139,19,2,0.506
140,20,2,0.506
141,21,2,0.506
142,22,2,0.506
143,23,2,0.506
144,0,2,0.00495939052495158
145,1,2,0.00495939052495158
146,2,2,0.00495939052495158
147,3,2,0.00495939052495158
148,4,2,0.00495939052495158
149,5,2,0.00495939052495158
150,6,2,0.00513239252000803
151,7,2,0.00513239252000803
152,8,2,0.00530539451506448
153,9,2,0.00530539451506448
154,10,2,0.00530539451506448
155,11,2,0.00530539451506448
156,12,2,0.00551958746132485
157,13,2,0.00551958746132485
158,14,2,0.00551958746132485
159,15,2,0.00551958746132485
160,16,2,0.00551958746132485
161,17,2,0.00551958746132485
162,18,2,0.00551958746132485
163,19,2,0.00530539451506448
164,20,2,0.00530539451506448
165,21,2,0.00530539451506448
166,22,2,0.00530539451506448
167,23,2,0.00530539451506448
168,0,2,0.00003339791107996
169,1,2,0.00003339791107996
170,2,2,0.00003339791107996
171,3,2,0.00003339791107996
172,4,2,0.00003339791107996
173,5,2,0.00003339791107996
174,6,2,0.00003456295448972
175,7,2,0.00003456295448972
176,8,2,0.00003572799789949
177,9,2,0.00003572799789949
178,10,2,0.00003572799789949
179,11,2,0.00003572799789949
180,12,2,0.0000371704325973
181,13,2,0.0000371704325973
182,14,2,0.0000371704325973
183,15,2,0.0000371704325973
184,16,2,0.0000371704325973
185,17,2,0.0000371704325973
186,18,2,0.0000371704325973
187,19,2,0.00003572799789949
188,20,2,0.00003572799789949
189,21,2,0.00003572799789949
190,22,2,0.00003572799789949
191,23,2,0.00003572799789949
192,0,2,0.00000020774352604
193,1,2,0.00000020774352604
194,2,2,0.00000020774352604
195,3,2,0.00000020774352604
196,4,2,0.00000020774352604
197,5,2,0.00000020774352604
198,6,2,0.00000021499039323
199,7,2,0.00000021499039323
200,8,2,0.00000022223726041
201,9,2,0.00000022223726041
202,10,2,0.00000022223726041
203,11,2,0.00000022223726041
204,12,2,0.00000023120957217
205,13,2,0.00000023120957217
206,14,2,0.00000023120957217
207,15,2,0.00000023120957217
208,16,2,0.00000023120957217
209,17,2,0.00000023120957217
210,18,2,0.00000023120957217
211,19,2,0.00000022223726041
212,20,2,0.00000022223726041
213,21,2,0.00000022223726041
214,22,2,0.00000022223726041
215,23,2,0.00000022223726041
216,0,2,0.00000000120792614
217,1,2,0.00000000120792614
218,2,2,0.00000000120792614
219,3,2,0.00000000120792614
220,4,2,0.00000000120792614
221,5,2,0.00000000120792614
222,6,2,0.0000000012500631
223,7,2,0.0000000012500631
224,8,2,0.00000000129220006
225,9,2,0.00000000129220006
226,10,2,0.00000000129220006
227,11,2,0.00000000129220006
228,12,2,0.00000000134436963
229,13,2,0.00000000134436963
230,14,2,0.00000000134436963
231,15,2,0.00000000134436963
232,16,2,0.00000000134436963
233,17,2,0.00000000134436963
234,18,2,0.00000000134436963
235,19,2,0.00000000129220006
236,20,2,0.00000000129220006
237,21,2,0.00000000129220006
238,22,2,0.00000000129220006
239,23,2,0.00000000129220006
240,0,2,0.00000000000657616
241,1,2,0.00000000000657616
242,2,2,0.00000000000657616
243,3,2,0.00000000000657616
244,4,2,0.00000000000657616
245,5,2,0.00000000000657616
246,6,2,0.00000000000680556
247,7,2,0.00000000000680556
248,8,2,0.00000000000703496
249,9,2,0.00000000000703496
250,10,2,0.00000000000703496
251,11,2,0.00000000000703496
252,12,2,0.00000000000731898
253,13,2,0.00000000000731898
254,14,2,0.00000000000731898
255,15,2,0.00000000000731898
256,16,2,0.00000000000731898
257,17,2,0.00000000000731898
258,18,2,0.00000000000731898
259,19,2,0.00000000000703496
260,20,2,0.00000000000703496
261,21,2,0.00000000000703496
262,22,2,0.00000000000703496
263,23,2,0.00000000000703496
264,0,2,0.00000000000072769
