cycle,hour_cyc,stp,value
0,0,1,0.7
24,0,1,0.7
48,0,1,0.7
72,0,1,0.7
96,0,1,0.7
120,0,1,0.7
144,0,1,0.7
168,0,1,0.7
192,0,1,0.7
216,0,1,0.7
240,0,1,0.7
264,0,1,0.7
288,0,1,0.7
312,0,1,0.7
336,0,1,0.7
360,0,1,0.7
384,0,1,0.7
408,0,1,0.7
432,0,1,0.7
456,0,1,0.7
480,0,1,0.7
504,0,1,0.7
528,0,1,0.7
552,0,1,0.7
576,0,1,0.7
600,0,1,0.7
624,0,1,0.7
648,0,1,0.7
672,0,1,0.7
696,0,1,0.7
720,0,1,0.7
744,0,1,0.7
768,0,1,0.7
792,0,1,0.7
816,0,1,0.7
840,0,1,0.7
864,0,1,0.7
888,0,1,0.7
912,0,1,0.7
936,0,1,0.7
960,0,1,0.7
984,0,1,0.7
1008,0,1,0.7
1032,0,1,0.7
1056,0,1,0.7
1080,0,1,0.7
1104,0,1,0.7
1128,0,1,0.7
1152,0,1,0.7
1176,0,1,0.7
1200,0,1,0.7
1224,0,1,0.7
1248,0,1,0.7
1272,0,1,0.7
1296,0,1,0.7
1320,0,1,0.7
1344,0,1,0.7
1368,0,1,0.7
1392,0,1,0.7
1416,0,1,0.7
1440,0,1,0.7
1464,0,1,0.7
1488,0,1,0.7
1512,0,1,0.7
1536,0,1,0.7
1560,0,1,0.7
1584,0,1,0.7
1608,0,1,0.7
1632,0,1,0.7
1656,0,1,0.7
1680,0,1,0.7
1704,0,1,0.7
1728,0,1,0.7
1752,0,1,0.7
1776,0,1,0.7
1800,0,1,0.7
1824,0,1,0.7
1848,0,1,0.7
1872,0,1,0.7
1896,0,1,0.7
1920,0,1,0.7
1944,0,1,0.7
1968,0,1,0.7
1992,0,1,0.7
2016,0,1,0.7
2040,0,1,0.7
2064,0,1,0.7
2088,0,1,0.7
2112,0,1,0.7
2136,0,1,0.7
2160,0,1,0.7
2184,0,1,0.7
2208,0,1,0.7
2232,0,1,0.7
2256,0,1,0.7
2280,0,1,0.7
2304,0,1,0.7
2328,0,1,0.7
2352,0,1,0.7
2376,0,1,0.7
2400,0,1,0.7
2424,0,1,0.7
2448,0,1,0.7
2472,0,1,0.7
2496,0,1,0.7
2520,0,1,0.7
2544,0,1,0.7
2568,0,1,0.7
2592,0,1,0.7
2616,0,1,0.7
