cycle,hour_cyc,stp,value
0,0,1,0.005
24,0,1,0.01040688882132301
48,0,1,-0.03165047811045808
72,0,1,0.04677097747844637
96,0,1,-0.00770074720544173
120,0,1,-0.02938301942358901
144,0,1,0.22985270855152543
168,0,1,0.6343384732972989
192,0,1,0.638397706329457
216,0,1,0.6384256326117734
240,0,1,0.638425816529392
264,0,1,0.6384258175718667
288,0,1,0.6384258175740937
312,0,1,0.6384258175710662
336,0,1,0.6384258175682488
360,0,1,0.6384258175655291
384,0,1,0.6384258175628851
408,0,1,0.6384258175602257
432,0,1,0.6384258175575659
456,0,1,0.6384258156299266
480,0,1,0.638425794725133
504,0,1,0.6384256742558296
528,0,1,0.6384251846296435
552,0,1,0.6384236100665802
576,0,1,0.6384193457685164
600,0,1,0.6384092325785001
624,0,1,0.6383876601192692
648,0,1,0.6383454557616941
672,0,1,0.6382685888820822
696,0,1,0.6381367121245848
720,0,1,0.637921540116357
744,0,1,0.6375850483248214
768,0,1,0.6370774812633079
792,0,1,0.6363352049468329
816,0,1,0.6352785246086379
840,0,1,0.6338097000929036
864,0,1,0.6318114999876483
888,0,1,0.6291467085037581
912,0,1,0.6256590081582318
936,0,1,0.6211755911743065
960,0,1,0.6155117050142265
984,0,1,0.6084771312489828
1008,0,1,0.598642024989643
1032,0,1,0.5862044872162124
1056,0,1,0.5713434361007781
1080,0,1,0.5542184583725742
1104,0,1,0.5349737158252111
1128,0,1,0.5137448294006217
1152,0,1,0.49066739424744177
1176,0,1,0.4658857249561633
1200,0,1,0.43956063077632396
1224,0,1,0.4118753362948122
1248,0,1,0.38303898975208817
1272,0,1,0.3532874965854794
1296,0,1,0.32288167280862895
1320,0,1,0.29210293365024287
1344,0,1,0.2612469163660196
1368,0,1,0.23061557610089686
1392,0,1,0.20050838222351886
1416,0,1,0.1712132743260223
1440,0,1,0.14299801206289148
1464,0,1,0.11610247729598343
1488,0,1,0.09073237193040769
1512,0,1,0.06705461496169068
1536,0,1,0.04519459322677295
1560,0,1,0.02523527673299412
1584,0,1,0.00721808319341223
1608,0,1,-0.00885472405502825
1632,0,1,-0.0230163906609349
1656,0,1,-0.035331103094276
1680,0,1,-0.04588883201116335
1704,0,1,-0.05479990622462145
1728,0,1,-0.06218960201966399
1752,0,1,-0.06819298534280134
1776,0,1,-0.0729501903844099
1800,0,1,-0.07660226261792658
1824,0,1,-0.07928764178306906
1848,0,1,-0.0811393137289258
1872,0,1,-0.0822826214031975
1896,0,1,-0.08283369544772717
1920,0,1,-0.08289844381490727
1944,0,1,-0.08257202687219521
1968,0,1,-0.08193873849827962
1992,0,1,-0.08107221335386092
2016,0,1,-0.08003588443616741
2040,0,1,-0.07888362187454409
2064,0,1,-0.07766049252653395
2088,0,1,-0.07640358932457439
2112,0,1,-0.07514288875562176
2136,0,1,-0.07390210379276496
2160,0,1,-0.0726995076893611
2184,0,1,-0.07154871109835609
2208,0,1,-0.07045938091977667
2232,0,1,-0.06943789412421893
2256,0,1,-0.06848792362535283
2280,0,1,-0.06761095619120606
2304,0,1,-0.06680674452002756
2328,0,1,-0.06607369709244998
2352,0,1,-0.06540921037167194
2376,0,1,-0.06480994846973373
2400,0,1,-0.0642720756281989
2424,0,1,-0.06379144685774167
2448,0,1,-0.06336376191039474
2472,0,1,-0.0629846874741221
2496,0,1,-0.06264995212370116
2520,0,1,-0.0623554181664596
2544,0,1,-0.06209713410990882
2568,0,1,-0.0618713710679062
2592,0,1,-0.06167464602473358
2616,0,1,-0.06150373450050406
