cycle,hour_cyc,stp,value
0,0,1,3.0
24,0,1,3.0
48,0,1,3.0
72,0,1,3.0
96,0,1,3.0
120,0,1,3.0
144,0,1,3.0
168,0,1,3.0
192,0,1,3.0
216,0,1,3.0
240,0,1,3.0
264,0,1,3.0
288,0,1,3.0
312,0,1,3.0
336,0,1,3.0
360,0,1,3.0
384,0,1,3.0
408,0,1,3.0
432,0,1,3.0
456,0,1,3.0
480,0,1,3.0
504,0,1,3.0
528,0,1,3.0
552,0,1,3.0
576,0,1,3.0
600,0,1,3.0
624,0,1,3.0
648,0,1,3.0
672,0,1,3.0
696,0,1,3.0
720,0,1,3.0
744,0,1,3.0
768,0,1,3.0
792,0,1,3.0
816,0,1,3.0
840,0,1,3.0
864,0,1,3.0
888,0,1,3.0
912,0,1,3.0
936,0,1,3.0
960,0,1,3.0
984,0,1,3.0
1008,0,1,3.0
1032,0,1,3.0
1056,0,1,3.0
1080,0,1,3.0
1104,0,1,3.0
1128,0,1,3.0
1152,0,1,3.0
1176,0,1,3.0
1200,0,1,3.0
1224,0,1,3.0
1248,0,1,3.0
1272,0,1,3.0
1296,0,1,3.0
1320,0,1,3.0
1344,0,1,3.0
1368,0,1,3.0
1392,0,1,3.0
1416,0,1,3.0
1440,0,1,3.0
1464,0,1,3.0
1488,0,1,3.0
1512,0,1,3.0
1536,0,1,3.0
1560,0,1,3.0
1584,0,1,3.0
1608,0,1,3.0
1632,0,1,3.0
1656,0,1,3.0
1680,0,1,3.0
1704,0,1,3.0
1728,0,1,3.0
1752,0,1,3.0
1776,0,1,3.0
1800,0,1,3.0
1824,0,1,3.0
1848,0,1,3.0
1872,0,1,3.0
1896,0,1,3.0
1920,0,1,3.0
1944,0,1,3.0
1968,0,1,3.0
1992,0,1,3.0
2016,0,1,3.0
2040,0,1,3.0
2064,0,1,3.0
2088,0,1,3.0
2112,0,1,3.0
2136,0,1,3.0
2160,0,1,3.0
2184,0,1,3.0
2208,0,1,3.0
2232,0,1,3.0
2256,0,1,3.0
2280,0,1,3.0
2304,0,1,3.0
2328,0,1,3.0
2352,0,1,3.0
2376,0,1,3.0
2400,0,1,3.0
2424,0,1,3.0
2448,0,1,3.0
2472,0,1,3.0
2496,0,1,3.0
2520,0,1,3.0
2544,0,1,3.0
2568,0,1,3.0
2592,0,1,3.0
2616,0,1,3.0
