cycle,hour_cyc,stp,value
0,0,2,5.0
0,0,1,5.0
1,1,2,5.0
1,1,1,5.0
2,2,2,5.0
2,2,1,5.0
3,3,2,5.0
3,3,1,5.0
4,4,1,5.0
4,4,1,5.0
5,5,1,5.0
5,5,1,5.0
6,6,1,5.0
6,6,1,5.0
7,7,1,5.0
7,7,1,5.0
8,8,1,5.0
8,8,1,5.0
9,9,1,5.0
9,9,1,5.0
10,10,1,5.0
10,10,1,5.0
11,11,1,5.0
11,11,1,5.0
12,12,1,5.0
12,12,1,5.0
13,13,1,5.0
13,13,1,5.0
14,14,1,5.0
14,14,1,5.0
15,15,1,5.0
15,15,1,5.0
16,16,1,5.0
16,16,1,5.0
17,17,1,5.0
17,17,1,5.0
18,18,1,5.0
18,18,1,5.0
19,19,1,5.0
19,19,1,5.0
20,20,1,5.0
20,20,1,5.0
21,21,2,5.0
21,21,1,5.0
22,22,2,5.0
22,22,1,5.0
23,23,2,5.0
23,23,1,5.0
24,0,2,5.000000000018548
24,0,1,5.000000000018548
25,1,2,5.000000000018548
25,1,1,5.000000000018548
26,2,2,5.000000000018548
26,2,1,5.000000000018548
27,3,2,5.000000000018548
27,3,1,5.000000000018548
28,4,1,5.000000000018548
28,4,1,5.000000000018548
29,5,1,5.000000000018548
29,5,1,5.000000000018548
30,6,1,5.000000000018548
30,6,1,5.000000000018548
31,7,1,5.000000000018548
31,7,1,5.000000000018548
32,8,1,5.000000000018548
32,8,1,5.000000000018548
33,9,1,5.000000000018548
33,9,1,5.000000000018548
34,10,1,5.000000000018548
34,10,1,5.000000000018548
35,11,1,5.000000000018548
35,11,1,5.000000000018548
36,12,1,5.000000000018548
36,12,1,5.000000000018548
37,13,1,5.000000000018548
37,13,1,5.000000000018548
38,14,1,5.000000000018548
38,14,1,5.000000000018548
39,15,1,5.000000000018548
39,15,1,5.000000000018548
40,16,1,5.000000000018548
40,16,1,5.000000000018548
41,17,1,5.000000000018548
41,17,1,5.000000000018548
42,18,1,5.000000000018548
42,18,1,5.000000000018548
43,19,1,5.000000000018548
43,19,1,5.000000000018548
44,20,1,5.000000000018548
44,20,1,5.000000000018548
45,21,2,5.000000000018548
45,21,1,5.000000000018548
46,22,2,5.000000000018548
46,22,1,5.000000000018548
47,23,2,5.000000000018548
47,23,1,5.000000000018548
48,0,2,17.05600000001855
48,0,1,17.05600000001855
49,1,2,17.05600000001855
49,1,1,17.05600000001855
50,2,2,17.05600000001855
50,2,1,17.05600000001855
51,3,2,17.05600000001855
51,3,1,17.05600000001855
52,4,1,17.05600000001855
52,4,1,17.05600000001855
53,5,1,17.05600000001855
53,5,1,17.05600000001855
54,6,1,17.05600000001855
54,6,1,17.05600000001855
55,7,1,17.05600000001855
55,7,1,17.05600000001855
56,8,1,17.05600000001855
56,8,1,17.05600000001855
57,9,1,17.05600000001855
57,9,1,17.05600000001855
58,10,1,17.05600000001855
58,10,1,17.05600000001855
59,11,1,17.05600000001855
59,11,1,17.05600000001855
60,12,1,17.05600000001855
60,12,1,17.05600000001855
61,13,1,17.05600000001855
61,13,1,17.05600000001855
62,14,1,17.05600000001855
62,14,1,17.05600000001855
63,15,1,17.05600000001855
63,15,1,17.05600000001855
64,16,1,17.05600000001855
64,16,1,17.05600000001855
65,17,1,17.05600000001855
65,17,1,17.05600000001855
66,18,1,17.05600000001855
66,18,1,17.05600000001855
67,19,1,17.05600000001855
67,19,1,17.05600000001855
68,20,1,17.05600000001855
68,20,1,17.05600000001855
69,21,2,17.05600000001855
69,21,1,17.05600000001855
70,22,2,17.05600000001855
70,22,1,17.05600000001855
71,23,2,17.05600000001855
71,23,1,17.05600000001855
72,0,2,29.11200000001855
72,0,1,29.11200000001855
73,1,2,29.11200000001855
73,1,1,29.11200000001855
74,2,2,29.11200000001855
74,2,1,29.11200000001855
75,3,2,29.11200000001855
75,3,1,29.11200000001855
76,4,1,29.11200000001855
76,4,1,29.11200000001855
77,5,1,29.11200000001855
77,5,1,29.11200000001855
78,6,1,29.11200000001855
78,6,1,29.11200000001855
79,7,1,29.11200000001855
79,7,1,29.11200000001855
80,8,1,29.11200000001855
80,8,1,29.11200000001855
81,9,1,29.11200000001855
81,9,1,29.11200000001855
82,10,1,29.11200000001855
82,10,1,29.11200000001855
83,11,1,29.11200000001855
83,11,1,29.11200000001855
84,12,1,29.11200000001855
84,12,1,29.11200000001855
85,13,1,29.11200000001855
85,13,1,29.11200000001855
86,14,1,29.11200000001855
86,14,1,29.11200000001855
87,15,1,29.11200000001855
87,15,1,29.11200000001855
88,16,1,29.11200000001855
88,16,1,29.11200000001855
89,17,1,29.11200000001855
89,17,1,29.11200000001855
90,18,1,29.11200000001855
90,18,1,29.11200000001855
91,19,1,29.11200000001855
91,19,1,29.11200000001855
92,20,1,29.11200000001855
92,20,1,29.11200000001855
93,21,2,29.11200000001855
93,21,1,29.11200000001855
94,22,2,29.11200000001855
94,22,1,29.11200000001855
95,23,2,29.11200000001855
95,23,1,29.11200000001855
96,0,2,41.16800000001855
96,0,1,41.16800000001855
97,1,2,41.16800000001855
97,1,1,41.16800000001855
98,2,2,41.16800000001855
98,2,1,41.16800000001855
99,3,2,41.16800000001855
99,3,1,41.16800000001855
100,4,1,41.16800000001855
100,4,1,41.16800000001855
101,5,1,41.16800000001855
101,5,1,41.16800000001855
102,6,1,41.16800000001855
102,6,1,41.16800000001855
103,7,1,41.16800000001855
103,7,1,41.16800000001855
104,8,1,41.16800000001855
104,8,1,41.16800000001855
105,9,1,41.16800000001855
105,9,1,41.16800000001855
106,10,1,41.16800000001855
106,10,1,41.16800000001855
107,11,1,41.16800000001855
107,11,1,41.16800000001855
108,12,1,41.16800000001855
108,12,1,41.16800000001855
109,13,1,41.16800000001855
109,13,1,41.16800000001855
110,14,1,41.16800000001855
110,14,1,41.16800000001855
111,15,1,41.16800000001855
111,15,1,41.16800000001855
112,16,1,41.16800000001855
112,16,1,41.16800000001855
113,17,1,41.16800000001855
113,17,1,41.16800000001855
114,18,1,41.16800000001855
114,18,1,41.16800000001855
115,19,1,41.16800000001855
115,19,1,41.16800000001855
116,20,1,41.16800000001855
116,20,1,41.16800000001855
117,21,2,41.16800000001855
117,21,1,41.16800000001855
118,22,2,41.16800000001855
118,22,1,41.16800000001855
119,23,2,41.16800000001855
119,23,1,41.16800000001855
120,0,2,53.22400000001855
120,0,1,53.22400000001855
121,1,2,53.22400000001855
121,1,1,53.22400000001855
122,2,2,53.22400000001855
122,2,1,53.22400000001855
123,3,2,53.22400000001855
123,3,1,53.22400000001855
124,4,1,53.22400000001855
124,4,1,53.22400000001855
125,5,1,53.22400000001855
125,5,1,53.22400000001855
126,6,1,53.22400000001855
126,6,1,53.22400000001855
127,7,1,53.22400000001855
127,7,1,53.22400000001855
128,8,1,53.22400000001855
128,8,1,53.22400000001855
129,9,1,53.22400000001855
129,9,1,53.22400000001855
130,10,1,53.22400000001855
130,10,1,53.22400000001855
131,11,1,53.22400000001855
131,11,1,53.22400000001855
132,12,1,53.22400000001855
132,12,1,53.22400000001855
133,13,1,53.22400000001855
133,13,1,53.22400000001855
134,14,1,53.22400000001855
134,14,1,53.22400000001855
135,15,1,53.22400000001855
135,15,1,53.22400000001855
136,16,1,53.22400000001855
136,16,1,53.22400000001855
137,17,1,53.22400000001855
137,17,1,53.22400000001855
138,18,1,53.22400000001855
138,18,1,53.22400000001855
139,19,1,53.22400000001855
139,19,1,53.22400000001855
140,20,1,53.22400000001855
140,20,1,53.22400000001855
141,21,2,53.22400000001855
141,21,1,53.22400000001855
142,22,2,53.22400000001855
142,22,1,53.22400000001855
