cycle,hour_cyc,stp,value
0,0,1,5.0
24,0,1,5.0
48,0,1,5.0
72,0,1,5.0
96,0,1,5.0
120,0,1,5.0
144,0,1,5.0
168,0,1,5.0
192,0,1,5.0
216,0,1,5.0
240,0,1,5.0
264,0,1,5.0
288,0,1,15.5
312,0,1,15.5
336,0,1,15.5
360,0,1,15.5
384,0,1,15.5
408,0,1,15.5
432,0,1,15.5
456,0,1,15.5
480,0,1,15.5
504,0,1,15.5
528,0,1,15.5
552,0,1,15.5
576,0,1,15.5
600,0,1,15.5
624,0,1,15.5
648,0,1,15.5
672,0,1,15.5
696,0,1,15.5
720,0,1,15.5
744,0,1,15.5
768,0,1,15.5
792,0,1,15.5
816,0,1,15.5
840,0,1,15.5
864,0,1,15.5
888,0,1,15.5
912,0,1,15.5
936,0,1,15.5
960,0,1,15.5
984,0,1,15.5
1008,0,1,15.5
1032,0,1,15.5
1056,0,1,15.5
1080,0,1,15.5
1104,0,1,15.5
1128,0,1,15.5
1152,0,1,15.5
1176,0,1,15.5
1200,0,1,15.5
1224,0,1,15.5
1248,0,1,15.5
1272,0,1,15.5
1296,0,1,15.5
1320,0,1,15.5
1344,0,1,15.5
1368,0,1,15.5
1392,0,1,15.5
1416,0,1,15.5
1440,0,1,15.5
1464,0,1,15.5
1488,0,1,15.5
1512,0,1,15.5
1536,0,1,15.5
1560,0,1,15.5
1584,0,1,15.5
1608,0,1,15.5
1632,0,1,15.5
1656,0,1,15.5
1680,0,1,15.5
1704,0,1,15.5
1728,0,1,15.5
1752,0,1,15.5
1776,0,1,15.5
1800,0,1,15.5
1824,0,1,15.5
1848,0,1,15.5
1872,0,1,15.5
1896,0,1,15.5
1920,0,1,15.5
1944,0,1,15.5
1968,0,1,15.5
1992,0,1,15.5
2016,0,1,15.5
2040,0,1,15.5
2064,0,1,15.5
2088,0,1,15.5
2112,0,1,15.5
2136,0,1,15.5
2160,0,1,15.5
2184,0,1,15.5
2208,0,1,15.5
2232,0,1,15.5
2256,0,1,15.5
2280,0,1,15.5
2304,0,1,15.5
2328,0,1,15.5
2352,0,1,15.5
2376,0,1,15.5
2400,0,1,15.5
2424,0,1,15.5
2448,0,1,15.5
2472,0,1,15.5
2496,0,1,15.5
2520,0,1,15.5
2544,0,1,15.5
2568,0,1,15.5
2592,0,1,15.5
2616,0,1,15.5
