cycle,hour_cyc,stp,value
0,0,3,51.1126
1,1,3,51.1126
2,2,3,51.1126
3,3,3,51.1126
4,4,2,62.7291
4,4,3,62.7291
5,5,2,62.7291
5,5,3,62.7291
6,6,2,62.7291
6,6,3,62.7291
7,7,2,62.7291
7,7,3,62.7291
8,8,2,62.7291
8,8,3,62.7291
9,9,2,62.7291
9,9,3,62.7291
10,10,2,62.7291
10,10,3,62.7291
11,11,2,62.7291
11,11,3,62.7291
12,12,2,62.7291
12,12,3,62.7291
13,13,2,62.7291
13,13,3,62.7291
14,14,2,62.7291
14,14,3,62.7291
15,15,2,62.7291
15,15,3,62.7291
16,16,2,62.7291
16,16,3,62.7291
17,17,2,62.7291
17,17,3,62.7291
18,18,2,62.7291
18,18,3,62.7291
19,19,2,62.7291
19,19,3,62.7291
20,20,2,62.7291
20,20,3,62.7291
21,21,3,51.1126
22,22,3,51.1126
23,23,3,51.1126
24,0,3,51.1126
25,1,3,51.1126
26,2,3,51.1126
27,3,3,51.1126
28,4,2,62.7291
28,4,3,62.7291
29,5,2,62.7291
29,5,3,62.7291
30,6,2,62.7291
30,6,3,62.7291
31,7,2,62.7291
31,7,3,62.7291
32,8,2,62.7291
32,8,3,62.7291
33,9,2,62.7291
33,9,3,62.7291
34,10,2,62.7291
34,10,3,62.7291
35,11,2,62.7291
35,11,3,62.7291
36,12,2,62.7291
36,12,3,62.7291
37,13,2,62.7291
37,13,3,62.7291
38,14,2,62.7291
38,14,3,62.7291
39,15,2,62.7291
39,15,3,62.7291
40,16,2,62.7291
40,16,3,62.7291
41,17,2,62.7291
41,17,3,62.7291
42,18,2,62.7291
42,18,3,62.7291
43,19,2,62.7291
43,19,3,62.7291
44,20,2,62.7291
44,20,3,62.7291
45,21,3,51.1126
46,22,3,51.1126
47,23,3,51.1126
48,0,3,51.1126
49,1,3,51.1126
50,2,3,51.1126
51,3,3,51.1126
52,4,2,62.7291
52,4,3,62.7291
53,5,2,62.7291
53,5,3,62.7291
54,6,2,62.7291
54,6,3,62.7291
55,7,2,62.7291
55,7,3,62.7291
56,8,2,62.7291
56,8,3,62.7291
57,9,2,62.7291
57,9,3,62.7291
58,10,2,62.7291
58,10,3,62.7291
59,11,2,62.7291
59,11,3,62.7291
60,12,2,62.7291
60,12,3,62.7291
61,13,2,62.7291
61,13,3,62.7291
62,14,2,62.7291
62,14,3,62.7291
63,15,2,62.7291
63,15,3,62.7291
64,16,2,62.7291
64,16,3,62.7291
65,17,2,62.7291
65,17,3,62.7291
66,18,2,62.7291
66,18,3,62.7291
67,19,2,62.7291
67,19,3,62.7291
68,20,2,62.7291
68,20,3,62.7291
69,21,3,51.1126
70,22,3,51.1126
71,23,3,51.1126
72,0,3,51.1126
73,1,3,51.1126
74,2,3,51.1126
75,3,3,51.1126
76,4,2,62.7291
76,4,3,62.7291
77,5,2,62.7291
77,5,3,62.7291
78,6,2,62.7291
78,6,3,62.7291
79,7,2,62.7291
79,7,3,62.7291
80,8,2,62.7291
80,8,3,62.7291
81,9,2,62.7291
81,9,3,62.7291
82,10,2,62.7291
82,10,3,62.7291
83,11,2,62.7291
83,11,3,62.7291
84,12,2,62.7291
84,12,3,62.7291
85,13,2,62.7291
85,13,3,62.7291
86,14,2,62.7291
86,14,3,62.7291
87,15,2,62.7291
87,15,3,62.7291
88,16,2,62.7291
88,16,3,62.7291
89,17,2,62.7291
89,17,3,62.7291
90,18,2,62.7291
90,18,3,62.7291
91,19,2,62.7291
91,19,3,62.7291
92,20,2,62.7291
92,20,3,62.7291
93,21,3,51.1126
94,22,3,51.1126
95,23,3,51.1126
96,0,3,51.1126
97,1,3,51.1126
98,2,3,51.1126
99,3,3,51.1126
100,4,2,62.7291
100,4,3,62.7291
101,5,2,62.7291
101,5,3,62.7291
102,6,2,62.7291
102,6,3,62.7291
103,7,2,62.7291
103,7,3,62.7291
104,8,2,62.7291
104,8,3,62.7291
105,9,2,62.7291
105,9,3,62.7291
106,10,2,62.7291
106,10,3,62.7291
107,11,2,62.7291
107,11,3,62.7291
108,12,2,62.7291
108,12,3,62.7291
109,13,2,62.7291
109,13,3,62.7291
110,14,2,62.7291
110,14,3,62.7291
111,15,2,62.7291
111,15,3,62.7291
112,16,2,62.7291
112,16,3,62.7291
113,17,2,62.7291
113,17,3,62.7291
114,18,2,62.7291
114,18,3,62.7291
115,19,2,62.7291
115,19,3,62.7291
116,20,2,62.7291
116,20,3,62.7291
117,21,3,51.1126
118,22,3,51.1126
119,23,3,51.1126
120,0,3,50.680800755198106
121,1,3,50.680800755198106
122,2,3,50.680800755198106
123,3,3,50.680800755198106
124,4,2,62.7291
124,4,3,62.19916456319768
125,5,2,62.7291
125,5,3,62.19916456319768
126,6,2,62.7291
126,6,3,62.19916456319768
127,7,2,62.7291
127,7,3,62.19916456319768
128,8,2,62.7291
128,8,3,62.19916456319768
129,9,2,62.7291
129,9,3,62.19916456319768
130,10,2,62.7291
130,10,3,62.19916456319768
131,11,2,62.7291
131,11,3,62.19916456319768
132,12,2,62.7291
132,12,3,62.19916456319768
133,13,2,62.7291
133,13,3,62.19916456319768
134,14,2,62.7291
134,14,3,62.19916456319768
135,15,2,62.7291
135,15,3,62.19916456319768
136,16,2,62.7291
136,16,3,62.19916456319768
137,17,2,62.7291
137,17,3,62.19916456319768
138,18,2,62.7291
138,18,3,62.19916456319768
139,19,2,62.7291
139,19,3,62.19916456319768
140,20,2,62.7291
140,20,3,62.19916456319768
141,21,3,50.680800755198106
142,22,3,50.680800755198106
143,23,3,50.680800755198106
144,0,3,39.285144359995265
145,1,3,39.285144359995265
146,2,3,39.285144359995265
147,3,3,39.285144359995265
148,4,2,62.7291
148,4,3,48.21358625999419
149,5,2,62.7291
149,5,3,48.21358625999419
150,6,2,62.7291
150,6,3,48.21358625999419
151,7,2,62.7291
151,7,3,48.21358625999419
152,8,2,62.7291
152,8,3,48.21358625999419
153,9,2,62.7291
153,9,3,48.21358625999419
154,10,2,62.7291
154,10,3,48.21358625999419
155,11,2,62.7291
155,11,3,48.21358625999419
156,12,2,62.7291
156,12,3,48.21358625999419
157,13,2,62.7291
157,13,3,48.21358625999419
158,14,2,62.7291
158,14,3,48.21358625999419
159,15,2,62.7291
159,15,3,48.21358625999419
160,16,2,62.7291
160,16,3,48.21358625999419
161,17,2,62.7291
161,17,3,48.21358625999419
162,18,2,62.7291
162,18,3,48.21358625999419
163,19,2,62.7291
163,19,3,48.21358625999419
164,20,2,62.7291
164,20,3,48.21358625999419
165,21,3,39.285144359995265
166,22,3,39.285144359995265
167,23,3,39.285144359995265
168,0,3,39.25283946125298
169,1,3,39.25283946125298
170,2,3,39.25283946125298
171,3,3,39.25283946125298
172,4,2,62.7291
172,4,3,48.173939338810484
173,5,2,62.7291
173,5,3,48.173939338810484
174,6,2,62.7291
174,6,3,48.173939338810484
175,7,2,62.7291
175,7,3,48.173939338810484
176,8,2,62.7291
176,8,3,48.173939338810484
177,9,2,62.7291
177,9,3,48.173939338810484
178,10,2,62.7291
178,10,3,48.173939338810484
179,11,2,62.7291
179,11,3,48.173939338810484
180,12,2,62.7291
180,12,3,48.173939338810484
181,13,2,62.7291
181,13,3,48.173939338810484
182,14,2,62.7291
182,14,3,48.173939338810484
183,15,2,62.7291
183,15,3,48.173939338810484
184,16,2,62.7291
184,16,3,48.173939338810484
185,17,2,62.7291
185,17,3,48.173939338810484
186,18,2,62.7291
186,18,3,48.173939338810484
187,19,2,62.7291
187,19,3,48.173939338810484
188,20,2,62.7291
188,20,3,48.173939338810484
189,21,3,39.25283946125298
190,22,3,39.25283946125298
191,23,3,39.25283946125298
192,0,3,39.2526219111064
193,1,3,39.2526219111064
194,2,3,39.2526219111064
195,3,3,39.2526219111064
196,4,2,62.7291
196,4,3,48.173672345448765
197,5,2,62.7291
197,5,3,48.173672345448765
198,6,2,62.7291
198,6,3,48.173672345448765
199,7,2,62.7291
199,7,3,48.173672345448765
200,8,2,62.7291
200,8,3,48.173672345448765
201,9,2,62.7291
201,9,3,48.173672345448765
