cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,5246.346062019752
48,0,1,5382.384677298543
72,0,1,5377.216579085764
96,0,1,5384.898432869314
120,0,1,5520.807573197302
144,0,1,5768.852774794636
168,0,1,6133.201424845896
192,0,1,6535.881701701048
216,0,1,6991.713120561211
240,0,1,7467.311157276498
264,0,1,7992.233866058665
288,0,1,8631.416515011317
312,0,1,9430.030533879464
336,0,1,10414.647167959723
360,0,1,11598.35744010611
384,0,1,12882.470644589233
408,0,1,14292.235399512048
432,0,1,15914.56520120248
456,0,1,17749.45604968662
480,0,1,19783.14504351928
504,0,1,21950.34919697343
528,0,1,24231.14838679783
552,0,1,26703.67917116699
576,0,1,29388.753020334734
600,0,1,32263.564794867827
624,0,1,35197.516947796496
648,0,1,38201.36421612317
672,0,1,41205.186105689485
696,0,1,44208.98298673644
720,0,1,47212.755631343374
744,0,1,50216.50512628993
768,0,1,53220.23278981627
792,0,1,56223.940095418104
816,0,1,59227.62860446214
840,0,1,62231.299908356836
864,0,1,65234.95558024931
888,0,1,68238.59713571437
912,0,1,71242.22600161238
936,0,1,74245.843492174
960,0,1,77249.45079137673
984,0,1,80253.04894076606
1008,0,1,83255.88401699811
1032,0,1,86257.42245517233
1056,0,1,89257.31472743423
1080,0,1,92255.37108713615
1104,0,1,95251.53351747502
1128,0,1,98245.8463967918
1152,0,1,101238.4280547732
1176,0,1,104229.44490940023
1200,0,1,107219.08932445543
1224,0,1,110207.5617844251
1248,0,1,113195.05750444764
1272,0,1,116181.75721422868
1296,0,1,119167.82159279927
1320,0,1,122153.38868411205
1344,0,1,125138.57357707861
1368,0,1,128123.4696652328
1392,0,1,131108.15088542836
1416,0,1,134092.67444773455
1440,0,1,137077.08368978562
1464,0,1,140061.4108033756
1488,0,1,143045.67927964832
1512,0,1,146029.9059973201
1536,0,1,149014.10293527332
1560,0,1,151998.27852849942
1584,0,1,154982.43870807556
1608,0,1,157966.5876755139
1632,0,1,160950.72846313007
1656,0,1,163934.8633282347
1680,0,1,166918.99402242218
1704,0,1,169903.1219697835
1728,0,1,172887.24838061462
1752,0,1,175871.37432076584
1776,0,1,178855.5007514298
1800,0,1,181839.62854993987
1824,0,1,184823.7585189311
1848,0,1,187807.8913888485
1872,0,1,190792.0278170944
1896,0,1,193776.16838591718
1920,0,1,196760.3136003333
1944,0,1,199744.463886825
1968,0,1,202728.619593191
1992,0,1,205712.78098968885
2016,0,1,208696.94827145492
2040,0,1,211681.12156208954
2064,0,1,214665.3009182414
2088,0,1,217649.48633499249
2112,0,1,220633.67775183544
2136,0,1,223617.87505903948
2160,0,1,226602.07810421058
2184,0,1,229586.28669887068
2208,0,1,232570.50062494492
2232,0,1,235554.7196410426
2256,0,1,238538.94348848757
2280,0,1,241523.17189662033
2304,0,1,244507.40458693285
2328,0,1,247491.64127759472
2352,0,1,250475.88168797104
2376,0,1,253460.1255422607
2400,0,1,256444.37257186766
2424,0,1,259428.6225166948
2448,0,1,262412.87512708077
2472,0,1,265397.1301657452
2496,0,1,268381.38740880764
2520,0,1,271365.6466462768
2544,0,1,274349.9076823035
2568,0,1,277334.17033525463
2592,0,1,280318.434437599
2616,0,1,283302.69983549777
