cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.27043012500000013
48,0,1,0.27043012500000013
72,0,1,0.27043012500000013
96,0,1,0.2674480638947892
120,0,1,0.2657617838171108
144,0,1,0.26482534855414475
168,0,1,0.2642295790585388
192,0,1,0.2642244783912006
216,0,1,0.26422444410771684
240,0,1,0.2642244438944676
264,0,1,0.2642244438932276
288,0,1,0.2642244438932209
312,0,1,0.2642244438932201
336,0,1,0.26422444389321925
360,0,1,0.2642244438932187
384,0,1,0.2642244438932178
408,0,1,0.2642244438932172
432,0,1,0.26422444389321637
456,0,1,0.26422444389321553
480,0,1,0.264224443893215
504,0,1,0.2642244438932141
528,0,1,0.2642244438932133
552,0,1,0.26422444389321265
576,0,1,0.2642244438932118
600,0,1,0.26422444389321104
624,0,1,0.26422444389321037
648,0,1,0.2642244438932096
672,0,1,0.2642244438932089
696,0,1,0.26422444389320815
720,0,1,0.2642244438932073
744,0,1,0.26422444389320665
768,0,1,0.2642244438932059
792,0,1,0.2642244438932052
816,0,1,0.26422444389320443
840,0,1,0.2642244438932036
864,0,1,0.264224443893203
888,0,1,0.26422444389320215
912,0,1,0.2642244438932013
936,0,1,0.2642244438932007
960,0,1,0.2642244438931998
984,0,1,0.26422444389319927
1008,0,1,0.26422444389319844
1032,0,1,0.2642244438931976
1056,0,1,0.264224443893197
1080,0,1,0.2642244438931961
1104,0,1,0.2642244438931954
1128,0,1,0.26422444389319466
1152,0,1,0.2642244438931939
1176,0,1,0.2642244438931933
1200,0,1,0.26422444389319244
1224,0,1,0.26422444389319166
1248,0,1,0.26422444389319094
1272,0,1,0.26422444389319016
1296,0,1,0.26422444389318955
1320,0,1,0.2642244438931887
1344,0,1,0.26422444389318794
1368,0,1,0.2642244438931872
1392,0,1,0.26422444389318644
1416,0,1,0.2642244438931856
1440,0,1,0.26422444389318495
1464,0,1,0.26422444389318417
1488,0,1,0.26422444389318356
1512,0,1,0.2642244438931827
1536,0,1,0.2642244438931819
1560,0,1,0.2642244438931813
1584,0,1,0.26422444389318045
1608,0,1,0.2642244438931797
1632,0,1,0.26422444389317906
1656,0,1,0.2642244438931782
1680,0,1,0.26422444389317756
1704,0,1,0.26422444389317673
1728,0,1,0.2642244438931759
1752,0,1,0.2642244438931753
1776,0,1,0.26422444389317445
1800,0,1,0.26422444389317384
1824,0,1,0.264224443893173
1848,0,1,0.26422444389317223
1872,0,1,0.26422444389317157
1896,0,1,0.26422444389317074
1920,0,1,0.26422444389316996
1944,0,1,0.2642244438931693
1968,0,1,0.2642244438931685
1992,0,1,0.2642244438931679
2016,0,1,0.2642244438931671
2040,0,1,0.26422444389316624
2064,0,1,0.26422444389316563
2088,0,1,0.26422444389316485
2112,0,1,0.26422444389316413
2136,0,1,0.26422444389316335
2160,0,1,0.2642244438931625
2184,0,1,0.26422444389316185
2208,0,1,0.2642244438931611
2232,0,1,0.26422444389316024
2256,0,1,0.26422444389315963
2280,0,1,0.2642244438931588
2304,0,1,0.2642244438931582
2328,0,1,0.26422444389315736
2352,0,1,0.2642244438931565
2376,0,1,0.26422444389315597
2400,0,1,0.2642244438931551
2424,0,1,0.26422444389315447
2448,0,1,0.26422444389315364
2472,0,1,0.2642244438931528
2496,0,1,0.2642244438931522
2520,0,1,0.26422444389315136
2544,0,1,0.2642244438931506
2568,0,1,0.2642244438931499
2592,0,1,0.26422444389314914
2616,0,1,0.2642244438931485
