cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.35989875000000016
48,0,1,0.35989875000000016
72,0,1,0.35989875000000016
96,0,1,0.3559029954835233
120,0,1,0.35364349743881374
144,0,1,0.35238873930362796
168,0,1,0.3515904496077239
192,0,1,0.35103787530637176
216,0,1,0.3509047138400281
240,0,1,0.3509011253096431
264,0,1,0.35090112530964296
288,0,1,0.3509011253096426
312,0,1,0.35090112530964224
336,0,1,0.35090112530964207
360,0,1,0.35090112530964174
384,0,1,0.35090112530964135
408,0,1,0.35090112530964124
432,0,1,0.35090112530964074
456,0,1,0.35090112530964046
480,0,1,0.35090112530964035
504,0,1,0.35090112530963996
528,0,1,0.3509011253096395
552,0,1,0.3509011253096394
576,0,1,0.3509011253096391
600,0,1,0.3509011253096387
624,0,1,0.35090112530963846
648,0,1,0.3509011253096382
672,0,1,0.35090112530963774
696,0,1,0.3509011253096376
720,0,1,0.3509011253096373
744,0,1,0.35090112530963685
768,0,1,0.3509011253096367
792,0,1,0.3509011253096364
816,0,1,0.3509011253096361
840,0,1,0.3509011253096358
864,0,1,0.3509011253096355
888,0,1,0.35090112530963513
912,0,1,0.3509011253096349
936,0,1,0.3509011253096345
960,0,1,0.35090112530963424
984,0,1,0.350901125309634
1008,0,1,0.35090112530963363
1032,0,1,0.35090112530963335
1056,0,1,0.3509011253096331
1080,0,1,0.35090112530963274
1104,0,1,0.35090112530963247
1128,0,1,0.3509011253096323
1152,0,1,0.35090112530963186
1176,0,1,0.3509011253096316
1200,0,1,0.3509011253096314
1224,0,1,0.35090112530963097
1248,0,1,0.35090112530963063
1272,0,1,0.35090112530963047
1296,0,1,0.35090112530963014
1320,0,1,0.35090112530962975
1344,0,1,0.3509011253096295
1368,0,1,0.3509011253096292
1392,0,1,0.3509011253096288
1416,0,1,0.3509011253096287
1440,0,1,0.3509011253096283
1464,0,1,0.3509011253096279
1488,0,1,0.3509011253096278
1512,0,1,0.35090112530962747
1536,0,1,0.350901125309627
1560,0,1,0.3509011253096269
1584,0,1,0.3509011253096266
1608,0,1,0.35090112530962614
1632,0,1,0.35090112530962597
1656,0,1,0.3509011253096257
1680,0,1,0.35090112530962525
1704,0,1,0.35090112530962503
1728,0,1,0.3509011253096248
1752,0,1,0.3509011253096243
1776,0,1,0.35090112530962414
1800,0,1,0.3509011253096239
1824,0,1,0.3509011253096234
1848,0,1,0.35090112530962325
1872,0,1,0.35090112530962303
1896,0,1,0.35090112530962264
1920,0,1,0.35090112530962236
1944,0,1,0.3509011253096221
1968,0,1,0.3509011253096217
1992,0,1,0.3509011253096215
2016,0,1,0.3509011253096212
2040,0,1,0.3509011253096208
2064,0,1,0.3509011253096206
2088,0,1,0.35090112530962025
2112,0,1,0.3509011253096199
2136,0,1,0.35090112530961964
2160,0,1,0.35090112530961937
2184,0,1,0.35090112530961903
2208,0,1,0.35090112530961887
2232,0,1,0.3509011253096184
2256,0,1,0.35090112530961814
2280,0,1,0.350901125309618
2304,0,1,0.3509011253096176
2328,0,1,0.3509011253096172
2352,0,1,0.35090112530961703
2376,0,1,0.3509011253096167
2400,0,1,0.3509011253096163
2424,0,1,0.3509011253096162
2448,0,1,0.35090112530961576
2472,0,1,0.35090112530961554
2496,0,1,0.35090112530961526
2520,0,1,0.350901125309615
2544,0,1,0.35090112530961465
2568,0,1,0.35090112530961437
2592,0,1,0.35090112530961404
2616,0,1,0.35090112530961376
2640,0,1,0.3509011253096135
2664,0,1,0.35090112530961315
2688,0,1,0.35090112530961287
2712,0,1,0.35090112530961254
2736,0,1,0.35090112530961226
2760,0,1,0.350901125309612
2784,0,1,0.3509011253096116
2808,0,1,0.3509011253096114
2832,0,1,0.35090112530961104
2856,0,1,0.3509011253096107
2880,0,1,0.3509011253096105
2904,0,1,0.35090112530961026
2928,0,1,0.3509011253096098
2952,0,1,0.3509011253096096
2976,0,1,0.3509011253096093
3000,0,1,0.350901125309609
3024,0,1,0.35090112530960865
3048,0,1,0.35090112530960843
3072,0,1,0.35090112530960804
3096,0,1,0.35090112530960776
3120,0,1,0.3509011253096076
3144,0,1,0.35090112530960715
3168,0,1,0.3509011253096068
3192,0,1,0.35090112530960665
3216,0,1,0.3509011253096063
3240,0,1,0.35090112530960593
3264,0,1,0.3509011253096057
3288,0,1,0.35090112530960543
3312,0,1,0.3509011253096051
3336,0,1,0.3509011253096048
3360,0,1,0.35090112530960454
3384,0,1,0.35090112530960416
3408,0,1,0.35090112530960393
3432,0,1,0.35090112530960366
3456,0,1,0.35090112530960327
3480,0,1,0.35090112530960305
3504,0,1,0.35090112530960277
3528,0,1,0.35090112530960244
3552,0,1,0.3509011253096021
3576,0,1,0.3509011253096019
3600,0,1,0.3509011253096017
3624,0,1,0.3509011253096012
3648,0,1,0.35090112530960094
3672,0,1,0.35090112530960077
3696,0,1,0.3509011253096003
3720,0,1,0.35090112530960005
3744,0,1,0.3509011253095997
3768,0,1,0.35090112530959944
3792,0,1,0.35090112530959916
3816,0,1,0.3509011253095988
3840,0,1,0.35090112530959855
3864,0,1,0.35090112530959827
3888,0,1,0.35090112530959794
3912,0,1,0.35090112530959766
3936,0,1,0.35090112530959733
3960,0,1,0.35090112530959705
3984,0,1,0.35090112530959683
4008,0,1,0.3509011253095965
4032,0,1,0.35090112530959616
4056,0,1,0.35090112530959594
4080,0,1,0.35090112530959555
4104,0,1,0.3509011253095954
4128,0,1,0.350901125309595
4152,0,1,0.35090112530959466
4176,0,1,0.35090112530959444
4200,0,1,0.35090112530959416
4224,0,1,0.3509011253095939
4248,0,1,0.35090112530959355
4272,0,1,0.3509011253095932
4296,0,1,0.35090112530959294
4320,0,1,0.35090112530959267
4344,0,1,0.35090112530959233
4368,0,1,0.350901125309592
4392,0,1,0.3509011253095918
4416,0,1,0.35090112530959144
4440,0,1,0.3509011253095911
4464,0,1,0.3509011253095909
4488,0,1,0.3509011253095905
4512,0,1,0.35090112530959017
4536,0,1,0.35090112530958995
4560,0,1,0.3509011253095896
4584,0,1,0.35090112530958933
4608,0,1,0.3509011253095891
4632,0,1,0.35090112530958867
4656,0,1,0.35090112530958845
4680,0,1,0.3509011253095883
4704,0,1,0.3509011253095879
4728,0,1,0.3509011253095875
4752,0,1,0.35090112530958734
4776,0,1,0.3509011253095869
