cycle,hour_cyc,stp,value
0,0,1,81.29290909090909
24,0,1,0.00000000040348302
48,0,1,69.54618749599098
72,0,1,68.10217932782089
96,0,1,58.57906171898873
120,0,1,47.40177050744793
144,0,1,39.31605912157448
168,0,1,0.2814872627594876
192,0,1,0.00186588080721297
216,0,1,0.0000116058297888
240,0,1,0.000000067482164
264,0,1,0.00000000036738478
288,0,1,0.00000000003445013
312,0,1,0.00000000004034539
336,0,1,0.00000000004034539
360,0,1,0.00000000004034539
384,0,1,0.00000000004034539
408,0,1,0.00000000004034539
432,0,1,0.00000000004034539
456,0,1,0.00000000004034539
480,0,1,0.00000000004034539
504,0,1,0.00000000004034539
528,0,1,0.0000000000403454
552,0,1,0.00000000004034543
576,0,1,0.00000000004034551
600,0,1,0.00000000004034568
624,0,1,0.00000000004034606
648,0,1,0.00000000004034676
672,0,1,0.000000000040348
696,0,1,0.00000000004035
720,0,1,0.00000000004035306
744,0,1,0.00000000004035747
768,0,1,0.00000000004036347
792,0,1,0.00000000004037121
816,0,1,0.00000000004038067
840,0,1,0.00000000004039153
864,0,1,0.00000000004040311
888,0,1,0.0000000000404142
912,0,1,0.00000000004042301
936,0,1,0.000000000040427
960,0,1,0.00000000004042281
984,0,1,0.00000000004040615
1008,0,1,0.00000000004042709
1032,0,1,0.00000000004047898
1056,0,1,0.00000000004054606
1080,0,1,0.00000000004061026
1104,0,1,0.0000000000406524
1128,0,1,0.00000000004065316
1152,0,1,0.00000000004059399
1176,0,1,0.00000000004045789
1200,0,1,0.00000000004022995
1224,0,1,0.00000000003989784
1248,0,1,0.00000000003945202
1272,0,1,0.00000000003888594
1296,0,1,0.00000000003819604
1320,0,1,0.00000000003738171
1344,0,1,0.00000000003644515
1368,0,1,0.00000000003539116
1392,0,1,0.00000000003422692
1416,0,1,0.00000000003296174
1440,0,1,0.00000000003160669
1464,0,1,0.00000000003017438
1488,0,1,0.00000000002867854
1512,0,1,0.00000000002713371
1536,0,1,0.00000000002555489
1560,0,1,0.00000000002395721
1584,0,1,0.00000000002235557
1608,0,1,0.00000000002076435
1632,0,1,0.00000000001919713
1656,0,1,0.00000000001766642
1680,0,1,0.00000000001618349
1704,0,1,0.00000000001475819
1728,0,1,0.00000000001339883
1752,0,1,0.00000000001211216
1776,0,1,0.00000000001090333
1800,0,1,0.00000000000977591
1824,0,1,0.000000000008732
1848,0,1,0.00000000000777229
1872,0,1,0.00000000000689622
1896,0,1,0.00000000000610212
1920,0,1,0.00000000000538735
1944,0,1,0.00000000000474849
1968,0,1,0.0000000000041815
1992,0,1,0.00000000000368187
2016,0,1,0.00000000000324475
2040,0,1,0.00000000000286515
2064,0,1,0.00000000000253796
2088,0,1,0.00000000000225815
2112,0,1,0.0000000000020208
2136,0,1,0.00000000000182119
2160,0,1,0.00000000000165486
2184,0,1,0.00000000000151762
2208,0,1,0.0000000000014056
2232,0,1,0.00000000000131528
2256,0,1,0.00000000000124346
2280,0,1,0.00000000000118728
2304,0,1,0.00000000000114418
2328,0,1,0.00000000000111193
2352,0,1,0.00000000000108859
2376,0,1,0.00000000000107246
2400,0,1,0.00000000000106211
2424,0,1,0.00000000000105631
2448,0,1,0.00000000000105403
2472,0,1,0.00000000000105443
2496,0,1,0.00000000000105679
2520,0,1,0.00000000000106054
2544,0,1,0.00000000000106523
2568,0,1,0.00000000000107049
2592,0,1,0.00000000000107603
2616,0,1,0.00000000000108165
