cycle,hour_cyc,stp,value
0,0,1,0.0135
1,1,1,0.0135
2,2,1,0.0135
3,3,1,0.0135
4,4,1,0.01414125
5,5,1,0.01414125
6,6,1,0.014665
7,7,1,0.014665
8,8,1,0.01518875
9,9,1,0.01518875
10,10,1,0.01518875
11,11,1,0.01518875
12,12,1,0.01623625
13,13,1,0.01623625
14,14,1,0.01623625
15,15,1,0.01623625
16,16,1,0.01623625
17,17,1,0.01623625
18,18,1,0.01623625
19,19,1,0.01518875
20,20,1,0.01518875
21,21,1,0.0145
22,22,1,0.0145
23,23,1,0.0145
24,0,1,0.0135
25,1,1,0.0135
26,2,1,0.0135
27,3,1,0.0135
28,4,1,0.01414125
29,5,1,0.01414125
30,6,1,0.014665
31,7,1,0.014665
32,8,1,0.01518875
33,9,1,0.01518875
34,10,1,0.01518875
35,11,1,0.01518875
36,12,1,0.01623625
37,13,1,0.01623625
38,14,1,0.01623625
39,15,1,0.01623625
40,16,1,0.01623625
41,17,1,0.01623625
42,18,1,0.01623625
43,19,1,0.01518875
44,20,1,0.01518875
45,21,1,0.0145
46,22,1,0.0145
47,23,1,0.0145
48,0,1,0.0135
49,1,1,0.0135
50,2,1,0.0135
51,3,1,0.0135
52,4,1,0.01414125
53,5,1,0.01414125
54,6,1,0.014665
55,7,1,0.014665
56,8,1,0.01518875
57,9,1,0.01518875
58,10,1,0.01518875
59,11,1,0.01518875
60,12,1,0.01623625
61,13,1,0.01623625
62,14,1,0.01623625
63,15,1,0.01623625
64,16,1,0.01623625
65,17,1,0.01623625
66,18,1,0.01623625
67,19,1,0.01518875
68,20,1,0.01518875
69,21,1,0.0145
70,22,1,0.0145
71,23,1,0.0145
72,0,1,0.0135
73,1,1,0.0135
74,2,1,0.0135
75,3,1,0.0135
76,4,1,0.01392590993623778
77,5,1,0.01392590993623778
78,6,1,0.01444168437832066
79,7,1,0.01444168437832066
80,8,1,0.01495745882040354
81,9,1,0.01495745882040354
82,10,1,0.01495745882040354
83,11,1,0.01495745882040354
84,12,1,0.01598900770456931
85,13,1,0.01598900770456931
86,14,1,0.01598900770456931
87,15,1,0.01598900770456931
88,16,1,0.01598900770456931
89,17,1,0.01598900770456931
90,18,1,0.01598900770456931
91,19,1,0.01495745882040354
92,20,1,0.01495745882040354
93,21,1,0.0145
94,22,1,0.0145
95,23,1,0.0145
96,0,1,0.0135
97,1,1,0.0135
98,2,1,0.0135
99,3,1,0.0135
100,4,1,0.01380414058053487
101,5,1,0.01380414058053487
102,6,1,0.01431540504648061
103,7,1,0.01431540504648061
104,8,1,0.01482666951242634
105,9,1,0.01482666951242634
106,10,1,0.01482666951242634
107,11,1,0.01482666951242634
108,12,1,0.01584919844431781
109,13,1,0.01584919844431781
110,14,1,0.01584919844431781
111,15,1,0.01584919844431781
112,16,1,0.01584919844431781
113,17,1,0.01584919844431781
114,18,1,0.01584919844431781
115,19,1,0.01482666951242634
116,20,1,0.01482666951242634
117,21,1,0.0145
118,22,1,0.0145
119,23,1,0.0145
120,0,1,0.0135
121,1,1,0.0135
122,2,1,0.0135
123,3,1,0.0135
124,4,1,0.01373651888462665
125,5,1,0.01373651888462665
126,6,1,0.01424527884331653
127,7,1,0.01424527884331653
128,8,1,0.0147540388020064
129,9,1,0.0147540388020064
130,10,1,0.0147540388020064
131,11,1,0.0147540388020064
132,12,1,0.01577155871938616
133,13,1,0.01577155871938616
134,14,1,0.01577155871938616
135,15,1,0.01577155871938616
136,16,1,0.01577155871938616
137,17,1,0.01577155871938616
138,18,1,0.01577155871938616
139,19,1,0.0147540388020064
140,20,1,0.0147540388020064
141,21,1,0.0145
142,22,1,0.0145
143,23,1,0.0145
144,0,1,0.0135
145,1,1,0.0135
146,2,1,0.0135
147,3,1,0.0135
148,4,1,0.01369349728424859
149,5,1,0.01369349728424859
150,6,1,0.01420066385033187
151,7,1,0.01420066385033187
152,8,1,0.01470783041641515
153,9,1,0.01470783041641515
154,10,1,0.01470783041641515
155,11,1,0.01470783041641515
156,12,1,0.01572216354858171
157,13,1,0.01572216354858171
158,14,1,0.01572216354858171
159,15,1,0.01572216354858171
160,16,1,0.01572216354858171
161,17,1,0.01572216354858171
162,18,1,0.01572216354858171
163,19,1,0.01470783041641515
164,20,1,0.01470783041641515
165,21,1,0.0145
166,22,1,0.0145
167,23,1,0.0145
168,0,1,0.0135
169,1,1,0.0135
170,2,1,0.0135
171,3,1,0.0135
172,4,1,0.01366371783088231
173,5,1,0.01366371783088231
174,6,1,0.01416978145424833
175,7,1,0.01416978145424833
176,8,1,0.01467584507761434
177,9,1,0.01467584507761434
178,10,1,0.01467584507761434
179,11,1,0.01467584507761434
180,12,1,0.01568797232434636
181,13,1,0.01568797232434636
182,14,1,0.01568797232434636
183,15,1,0.01568797232434636
184,16,1,0.01568797232434636
185,17,1,0.01568797232434636
186,18,1,0.01568797232434636
187,19,1,0.01467584507761434
188,20,1,0.01467584507761434
189,21,1,0.0145
190,22,1,0.0145
191,23,1,0.0145
192,0,1,0.0135
193,1,1,0.0135
194,2,1,0.0135
195,3,1,0.0135
196,4,1,0.01365654146443265
197,5,1,0.01365654146443265
198,6,1,0.01416233929644868
199,7,1,0.01416233929644868
200,8,1,0.0146681371284647
201,9,1,0.0146681371284647
202,10,1,0.0146681371284647
203,11,1,0.0146681371284647
204,12,1,0.01567973279249675
205,13,1,0.01567973279249675
206,14,1,0.01567973279249675
207,15,1,0.01567973279249675
208,16,1,0.01567973279249675
209,17,1,0.01567973279249675
210,18,1,0.01567973279249675
211,19,1,0.0146681371284647
212,20,1,0.0146681371284647
213,21,1,0.0145
214,22,1,0.0145
215,23,1,0.0145
216,0,1,0.0135
217,1,1,0.0135
218,2,1,0.0135
219,3,1,0.0135
220,4,1,0.01365634807057957
221,5,1,0.01365634807057957
222,6,1,0.01416213873986029
223,7,1,0.01416213873986029
224,8,1,0.01466792940914102
225,9,1,0.01466792940914102
226,10,1,0.01466792940914102
227,11,1,0.01466792940914102
228,12,1,0.01567951074770247
229,13,1,0.01567951074770247
230,14,1,0.01567951074770247
231,15,1,0.01567951074770247
232,16,1,0.01567951074770247
233,17,1,0.01567951074770247
234,18,1,0.01567951074770247
235,19,1,0.01466792940914102
236,20,1,0.01466792940914102
237,21,1,0.0145
238,22,1,0.0145
239,23,1,0.0145
240,0,1,0.0135
241,1,1,0.0135
242,2,1,0.0135
243,3,1,0.0135
244,4,1,0.01365634807057955
245,5,1,0.01365634807057955
246,6,1,0.01416213873986028
247,7,1,0.01416213873986028
248,8,1,0.014667929409141
249,9,1,0.014667929409141
250,10,1,0.014667929409141
251,11,1,0.014667929409141
252,12,1,0.01567951074770245
253,13,1,0.01567951074770245
254,14,1,0.01567951074770245
255,15,1,0.01567951074770245
256,16,1,0.01567951074770245
257,17,1,0.01567951074770245
258,18,1,0.01567951074770245
259,19,1,0.014667929409141
260,20,1,0.014667929409141
261,21,1,0.0145
262,22,1,0.0145
263,23,1,0.0145
264,0,1,0.0135
265,1,1,0.0135
266,2,1,0.0135
267,3,1,0.0135
268,4,1,0.01365634807057954
269,5,1,0.01365634807057954
270,6,1,0.01416213873986026
271,7,1,0.01416213873986026
272,8,1,0.01466792940914099
273,9,1,0.01466792940914099
274,10,1,0.01466792940914099
275,11,1,0.01466792940914099
276,12,1,0.01567951074770244
277,13,1,0.01567951074770244
278,14,1,0.01567951074770244
279,15,1,0.01567951074770244
280,16,1,0.01567951074770244
281,17,1,0.01567951074770244
282,18,1,0.01567951074770244
283,19,1,0.01466792940914099
284,20,1,0.01466792940914099
285,21,1,0.0145
286,22,1,0.0145
287,23,1,0.0145
288,0,1,0.0135
289,1,1,0.0135
290,2,1,0.0135
291,3,1,0.0135
292,4,1,0.01365634807057952
293,5,1,0.01365634807057952
294,6,1,0.01416213873986025
295,7,1,0.01416213873986025
296,8,1,0.01466792940914097
297,9,1,0.01466792940914097
298,10,1,0.01466792940914097
299,11,1,0.01466792940914097
300,12,1,0.01567951074770241
301,13,1,0.01567951074770241
302,14,1,0.01567951074770241
303,15,1,0.01567951074770241
304,16,1,0.01567951074770241
305,17,1,0.01567951074770241
306,18,1,0.01567951074770241
307,19,1,0.01466792940914097
308,20,1,0.01466792940914097
309,21,1,0.0145
310,22,1,0.0145
311,23,1,0.0145
312,0,1,0.0135
313,1,1,0.0135
314,2,1,0.0135
315,3,1,0.0135
316,4,1,0.01365634807057951
317,5,1,0.01365634807057951
318,6,1,0.01416213873986023
319,7,1,0.01416213873986023
320,8,1,0.01466792940914095
321,9,1,0.01466792940914095
322,10,1,0.01466792940914095
323,11,1,0.01466792940914095
324,12,1,0.0156795107477024
325,13,1,0.0156795107477024
326,14,1,0.0156795107477024
327,15,1,0.0156795107477024
328,16,1,0.0156795107477024
329,17,1,0.0156795107477024
330,18,1,0.0156795107477024
331,19,1,0.01466792940914095
332,20,1,0.01466792940914095
333,21,1,0.0145
334,22,1,0.0145
335,23,1,0.0145
336,0,1,0.0135
337,1,1,0.0135
338,2,1,0.0135
339,3,1,0.0135
340,4,1,0.01365634807057949
341,5,1,0.01365634807057949
342,6,1,0.01416213873986021
343,7,1,0.01416213873986021
344,8,1,0.01466792940914094
345,9,1,0.01466792940914094
346,10,1,0.01466792940914094
347,11,1,0.01466792940914094
348,12,1,0.01567951074770238
349,13,1,0.01567951074770238
350,14,1,0.01567951074770238
351,15,1,0.01567951074770238
352,16,1,0.01567951074770238
353,17,1,0.01567951074770238
354,18,1,0.01567951074770238
355,19,1,0.01466792940914094
356,20,1,0.01466792940914094
357,21,1,0.0145
358,22,1,0.0145
359,23,1,0.0145
360,0,1,0.0135
361,1,1,0.0135
362,2,1,0.0135
363,3,1,0.0135
364,4,1,0.01365634807057947
365,5,1,0.01365634807057947
366,6,1,0.0141621387398602
367,7,1,0.0141621387398602
368,8,1,0.01466792940914092
369,9,1,0.01466792940914092
370,10,1,0.01466792940914092
371,11,1,0.01466792940914092
372,12,1,0.01567951074770236
373,13,1,0.01567951074770236
374,14,1,0.01567951074770236
375,15,1,0.01567951074770236
376,16,1,0.01567951074770236
377,17,1,0.01567951074770236
378,18,1,0.01567951074770236
379,19,1,0.01466792940914092
380,20,1,0.01466792940914092
381,21,1,0.0145
382,22,1,0.0145
383,23,1,0.0145
384,0,1,0.0135
385,1,1,0.0135
386,2,1,0.0135
387,3,1,0.0135
388,4,1,0.01365634807057946
389,5,1,0.01365634807057946
390,6,1,0.01416213873986018
391,7,1,0.01416213873986018
392,8,1,0.0146679294091409
393,9,1,0.0146679294091409
394,10,1,0.0146679294091409
395,11,1,0.0146679294091409
396,12,1,0.01567951074770234
397,13,1,0.01567951074770234
398,14,1,0.01567951074770234
399,15,1,0.01567951074770234
400,16,1,0.01567951074770234
401,17,1,0.01567951074770234
402,18,1,0.01567951074770234
403,19,1,0.0146679294091409
404,20,1,0.0146679294091409
405,21,1,0.0145
406,22,1,0.0145
407,23,1,0.0145
408,0,1,0.0135
409,1,1,0.0135
410,2,1,0.0135
411,3,1,0.0135
412,4,1,0.01365634807057944
413,5,1,0.01365634807057944
414,6,1,0.01416213873986016
415,7,1,0.01416213873986016
416,8,1,0.01466792940914088
417,9,1,0.01466792940914088
418,10,1,0.01466792940914088
419,11,1,0.01466792940914088
420,12,1,0.01567951074770232
421,13,1,0.01567951074770232
422,14,1,0.01567951074770232
423,15,1,0.01567951074770232
424,16,1,0.01567951074770232
425,17,1,0.01567951074770232
426,18,1,0.01567951074770232
427,19,1,0.01466792940914088
428,20,1,0.01466792940914088
429,21,1,0.0145
430,22,1,0.0145
431,23,1,0.0145
432,0,1,0.0135
433,1,1,0.0135
434,2,1,0.0135
435,3,1,0.0135
436,4,1,0.01365634807057943
437,5,1,0.01365634807057943
438,6,1,0.01416213873986014
439,7,1,0.01416213873986014
440,8,1,0.01466792940914086
441,9,1,0.01466792940914086
442,10,1,0.01466792940914086
443,11,1,0.01466792940914086
444,12,1,0.0156795107477023
445,13,1,0.0156795107477023
446,14,1,0.0156795107477023
447,15,1,0.0156795107477023
448,16,1,0.0156795107477023
449,17,1,0.0156795107477023
450,18,1,0.0156795107477023
451,19,1,0.01466792940914086
452,20,1,0.01466792940914086
453,21,1,0.0145
454,22,1,0.0145
455,23,1,0.0145
456,0,1,0.0135
457,1,1,0.0135
458,2,1,0.0135
459,3,1,0.0135
460,4,1,0.01365634807057941
461,5,1,0.01365634807057941
462,6,1,0.01416213873986013
463,7,1,0.01416213873986013
464,8,1,0.01466792940914085
465,9,1,0.01466792940914085
466,10,1,0.01466792940914085
467,11,1,0.01466792940914085
468,12,1,0.01567951074770229
469,13,1,0.01567951074770229
470,14,1,0.01567951074770229
471,15,1,0.01567951074770229
472,16,1,0.01567951074770229
473,17,1,0.01567951074770229
474,18,1,0.01567951074770229
475,19,1,0.01466792940914085
476,20,1,0.01466792940914085
477,21,1,0.0145
478,22,1,0.0145
479,23,1,0.0145
480,0,1,0.0135
481,1,1,0.0135
482,2,1,0.0135
483,3,1,0.0135
484,4,1,0.0136563480705794
485,5,1,0.0136563480705794
486,6,1,0.01416213873986011
487,7,1,0.01416213873986011
488,8,1,0.01466792940914083
489,9,1,0.01466792940914083
490,10,1,0.01466792940914083
491,11,1,0.01466792940914083
492,12,1,0.01567951074770227
493,13,1,0.01567951074770227
494,14,1,0.01567951074770227
495,15,1,0.01567951074770227
496,16,1,0.01567951074770227
497,17,1,0.01567951074770227
498,18,1,0.01567951074770227
499,19,1,0.01466792940914083
500,20,1,0.01466792940914083
501,21,1,0.0145
502,22,1,0.0145
503,23,1,0.0145
504,0,1,0.0135
505,1,1,0.0135
506,2,1,0.0135
507,3,1,0.0135
508,4,1,0.01365634807057938
509,5,1,0.01365634807057938
510,6,1,0.0141621387398601
511,7,1,0.0141621387398601
512,8,1,0.01466792940914081
513,9,1,0.01466792940914081
514,10,1,0.01466792940914081
515,11,1,0.01466792940914081
516,12,1,0.01567951074770225
517,13,1,0.01567951074770225
518,14,1,0.01567951074770225
519,15,1,0.01567951074770225
520,16,1,0.01567951074770225
521,17,1,0.01567951074770225
522,18,1,0.01567951074770225
523,19,1,0.01466792940914081
524,20,1,0.01466792940914081
525,21,1,0.0145
526,22,1,0.0145
527,23,1,0.0145
528,0,1,0.0135
529,1,1,0.0135
530,2,1,0.0135
531,3,1,0.0135
532,4,1,0.01365634807057936
533,5,1,0.01365634807057936
534,6,1,0.01416213873986008
535,7,1,0.01416213873986008
536,8,1,0.0146679294091408
537,9,1,0.0146679294091408
538,10,1,0.0146679294091408
539,11,1,0.0146679294091408
540,12,1,0.01567951074770223
541,13,1,0.01567951074770223
542,14,1,0.01567951074770223
543,15,1,0.01567951074770223
544,16,1,0.01567951074770223
545,17,1,0.01567951074770223
546,18,1,0.01567951074770223
547,19,1,0.0146679294091408
548,20,1,0.0146679294091408
549,21,1,0.0145
550,22,1,0.0145
551,23,1,0.0145
552,0,1,0.0135
553,1,1,0.0135
554,2,1,0.0135
555,3,1,0.0135
556,4,1,0.01365634807057935
557,5,1,0.01365634807057935
558,6,1,0.01416213873986007
559,7,1,0.01416213873986007
560,8,1,0.01466792940914078
561,9,1,0.01466792940914078
562,10,1,0.01466792940914078
563,11,1,0.01466792940914078
564,12,1,0.01567951074770221
565,13,1,0.01567951074770221
566,14,1,0.01567951074770221
567,15,1,0.01567951074770221
568,16,1,0.01567951074770221
569,17,1,0.01567951074770221
570,18,1,0.01567951074770221
571,19,1,0.01466792940914078
572,20,1,0.01466792940914078
573,21,1,0.0145
574,22,1,0.0145
575,23,1,0.0145
576,0,1,0.0135
577,1,1,0.0135
578,2,1,0.0135
579,3,1,0.0135
580,4,1,0.01365634807057933
581,5,1,0.01365634807057933
582,6,1,0.01416213873986005
583,7,1,0.01416213873986005
584,8,1,0.01466792940914076
585,9,1,0.01466792940914076
586,10,1,0.01466792940914076
587,11,1,0.01466792940914076
588,12,1,0.01567951074770219
589,13,1,0.01567951074770219
590,14,1,0.01567951074770219
591,15,1,0.01567951074770219
592,16,1,0.01567951074770219
593,17,1,0.01567951074770219
594,18,1,0.01567951074770219
595,19,1,0.01466792940914076
596,20,1,0.01466792940914076
597,21,1,0.0145
598,22,1,0.0145
599,23,1,0.0145
600,0,1,0.0135
601,1,1,0.0135
602,2,1,0.0135
603,3,1,0.0135
604,4,1,0.01365634807057932
605,5,1,0.01365634807057932
606,6,1,0.01416213873986003
607,7,1,0.01416213873986003
608,8,1,0.01466792940914075
609,9,1,0.01466792940914075
610,10,1,0.01466792940914075
611,11,1,0.01466792940914075
612,12,1,0.01567951074770218
613,13,1,0.01567951074770218
614,14,1,0.01567951074770218
615,15,1,0.01567951074770218
616,16,1,0.01567951074770218
617,17,1,0.01567951074770218
618,18,1,0.01567951074770218
619,19,1,0.01466792940914075
620,20,1,0.01466792940914075
621,21,1,0.0145
622,22,1,0.0145
623,23,1,0.0145
624,0,1,0.0135
625,1,1,0.0135
626,2,1,0.0135
627,3,1,0.0135
628,4,1,0.0136563480705793
629,5,1,0.0136563480705793
630,6,1,0.01416213873986001
631,7,1,0.01416213873986001
632,8,1,0.01466792940914073
633,9,1,0.01466792940914073
634,10,1,0.01466792940914073
635,11,1,0.01466792940914073
636,12,1,0.01567951074770216
637,13,1,0.01567951074770216
638,14,1,0.01567951074770216
639,15,1,0.01567951074770216
640,16,1,0.01567951074770216
641,17,1,0.01567951074770216
642,18,1,0.01567951074770216
643,19,1,0.01466792940914073
644,20,1,0.01466792940914073
645,21,1,0.0145
646,22,1,0.0145
647,23,1,0.0145
648,0,1,0.0135
649,1,1,0.0135
650,2,1,0.0135
651,3,1,0.0135
652,4,1,0.01365634807057928
653,5,1,0.01365634807057928
654,6,1,0.01416213873986
655,7,1,0.01416213873986
656,8,1,0.01466792940914071
657,9,1,0.01466792940914071
658,10,1,0.01466792940914071
659,11,1,0.01466792940914071
660,12,1,0.01567951074770214
661,13,1,0.01567951074770214
662,14,1,0.01567951074770214
663,15,1,0.01567951074770214
664,16,1,0.01567951074770214
665,17,1,0.01567951074770214
666,18,1,0.01567951074770214
667,19,1,0.01466792940914071
668,20,1,0.01466792940914071
669,21,1,0.0145
670,22,1,0.0145
671,23,1,0.0145
672,0,1,0.0135
673,1,1,0.0135
674,2,1,0.0135
675,3,1,0.0135
676,4,1,0.01365634807057927
677,5,1,0.01365634807057927
678,6,1,0.01416213873985998
679,7,1,0.01416213873985998
680,8,1,0.01466792940914069
681,9,1,0.01466792940914069
682,10,1,0.01466792940914069
683,11,1,0.01466792940914069
684,12,1,0.01567951074770212
685,13,1,0.01567951074770212
686,14,1,0.01567951074770212
687,15,1,0.01567951074770212
688,16,1,0.01567951074770212
689,17,1,0.01567951074770212
690,18,1,0.01567951074770212
691,19,1,0.01466792940914069
692,20,1,0.01466792940914069
693,21,1,0.0145
694,22,1,0.0145
695,23,1,0.0145
696,0,1,0.0135
697,1,1,0.0135
698,2,1,0.0135
699,3,1,0.0135
700,4,1,0.01365634807057925
701,5,1,0.01365634807057925
702,6,1,0.01416213873985996
703,7,1,0.01416213873985996
704,8,1,0.01466792940914068
705,9,1,0.01466792940914068
706,10,1,0.01466792940914068
707,11,1,0.01466792940914068
708,12,1,0.0156795107477021
709,13,1,0.0156795107477021
