cycle,hour_cyc,stp,value
0,0,1,0.0104
1,1,1,0.0104
2,2,1,0.0104
3,3,1,0.0104
4,4,1,0.010894
5,5,1,0.010894
6,6,1,0.01120825
7,7,1,0.01120825
8,8,1,0.0115225
9,9,1,0.0115225
10,10,1,0.0115225
11,11,1,0.0115225
12,12,1,0.011784375
13,13,1,0.011784375
14,14,1,0.011784375
15,15,1,0.011784375
16,16,1,0.011784375
17,17,1,0.011784375
18,18,1,0.011784375
19,19,1,0.0115225
20,20,1,0.0115225
21,21,1,0.011
22,22,1,0.011
23,23,1,0.011
24,0,1,0.0104
25,1,1,0.0104
26,2,1,0.0104
27,3,1,0.0104
28,4,1,0.010894
29,5,1,0.010894
30,6,1,0.01120825
31,7,1,0.01120825
32,8,1,0.0115225
33,9,1,0.0115225
34,10,1,0.0115225
35,11,1,0.0115225
36,12,1,0.011784375
37,13,1,0.011784375
38,14,1,0.011784375
39,15,1,0.011784375
40,16,1,0.011784375
41,17,1,0.011784375
42,18,1,0.011784375
43,19,1,0.0115225
44,20,1,0.0115225
45,21,1,0.011
46,22,1,0.011
47,23,1,0.011
48,0,1,0.0104
49,1,1,0.0104
50,2,1,0.0104
51,3,1,0.0104
52,4,1,0.010894
53,5,1,0.010894
54,6,1,0.01120825
55,7,1,0.01120825
56,8,1,0.0115225
57,9,1,0.0115225
58,10,1,0.0115225
59,11,1,0.0115225
60,12,1,0.011784375
61,13,1,0.011784375
62,14,1,0.011784375
63,15,1,0.011784375
64,16,1,0.011784375
65,17,1,0.011784375
66,18,1,0.011784375
67,19,1,0.0115225
68,20,1,0.0115225
69,21,1,0.011
70,22,1,0.011
71,23,1,0.011
72,0,1,0.0104
73,1,1,0.0104
74,2,1,0.0104
75,3,1,0.0104
76,4,1,0.01072810839532392
77,5,1,0.01072810839532392
78,6,1,0.01103757306057365
79,7,1,0.01103757306057365
80,8,1,0.01134703772582338
81,9,1,0.01134703772582338
82,10,1,0.01134703772582338
83,11,1,0.01134703772582338
84,12,1,0.01160492494686482
85,13,1,0.01160492494686482
86,14,1,0.01160492494686482
87,15,1,0.01160492494686482
88,16,1,0.01160492494686482
89,17,1,0.01160492494686482
90,18,1,0.01160492494686482
91,19,1,0.01134703772582338
92,20,1,0.01134703772582338
93,21,1,0.011
94,22,1,0.011
95,23,1,0.011
96,0,1,0.0104
97,1,1,0.0104
98,2,1,0.0104
99,3,1,0.0104
100,4,1,0.01063430089167131
101,5,1,0.01063430089167131
102,6,1,0.01094105957123875
103,7,1,0.01094105957123875
104,8,1,0.01124781825080619
105,9,1,0.01124781825080619
106,10,1,0.01124781825080619
107,11,1,0.01124781825080619
108,12,1,0.01150345048377906
109,13,1,0.01150345048377906
110,14,1,0.01150345048377906
111,15,1,0.01150345048377906
112,16,1,0.01150345048377906
113,17,1,0.01150345048377906
114,18,1,0.01150345048377906
115,19,1,0.01124781825080619
116,20,1,0.01124781825080619
117,21,1,0.011
118,22,1,0.011
119,23,1,0.011
120,0,1,0.0104
121,1,1,0.0104
122,2,1,0.0104
123,3,1,0.0104
124,4,1,0.01058220714074942
125,5,1,0.01058220714074942
126,6,1,0.01088746311596335
127,7,1,0.01088746311596335
128,8,1,0.01119271909117727
129,9,1,0.01119271909117727
130,10,1,0.01119271909117727
131,11,1,0.01119271909117727
132,12,1,0.01144709907052221
133,13,1,0.01144709907052221
134,14,1,0.01144709907052221
135,15,1,0.01144709907052221
136,16,1,0.01144709907052221
137,17,1,0.01144709907052221
138,18,1,0.01144709907052221
139,19,1,0.01119271909117727
140,20,1,0.01119271909117727
141,21,1,0.011
142,22,1,0.011
143,23,1,0.011
144,0,1,0.0104
145,1,1,0.0104
146,2,1,0.0104
147,3,1,0.0104
148,4,1,0.01054906457453225
149,5,1,0.01054906457453225
150,6,1,0.01085336451418221
151,7,1,0.01085336451418221
152,8,1,0.01115766445383218
153,9,1,0.01115766445383218
154,10,1,0.01115766445383218
155,11,1,0.01115766445383218
156,12,1,0.01141124773687382
157,13,1,0.01141124773687382
158,14,1,0.01141124773687382
159,15,1,0.01141124773687382
160,16,1,0.01141124773687382
161,17,1,0.01141124773687382
162,18,1,0.01141124773687382
163,19,1,0.01115766445383218
164,20,1,0.01115766445383218
165,21,1,0.011
166,22,1,0.011
167,23,1,0.011
168,0,1,0.0104
169,1,1,0.0104
170,2,1,0.0104
171,3,1,0.0104
172,4,1,0.0105487808251858
173,5,1,0.0105487808251858
174,6,1,0.01085307257975847
175,7,1,0.01085307257975847
176,8,1,0.01115736433433114
177,9,1,0.01115736433433114
178,10,1,0.01115736433433114
179,11,1,0.01115736433433114
180,12,1,0.01141094079647503
181,13,1,0.01141094079647503
182,14,1,0.01141094079647503
183,15,1,0.01141094079647503
184,16,1,0.01141094079647503
185,17,1,0.01141094079647503
186,18,1,0.01141094079647503
187,19,1,0.01115736433433114
188,20,1,0.01115736433433114
189,21,1,0.011
190,22,1,0.011
191,23,1,0.011
192,0,1,0.0104
193,1,1,0.0104
194,2,1,0.0104
195,3,1,0.0104
196,4,1,0.01054877891800083
197,5,1,0.01054877891800083
198,6,1,0.01085307061755854
199,7,1,0.01085307061755854
200,8,1,0.01115736231711626
201,9,1,0.01115736231711626
202,10,1,0.01115736231711626
203,11,1,0.01115736231711626
204,12,1,0.01141093873341436
205,13,1,0.01141093873341436
206,14,1,0.01141093873341436
207,15,1,0.01141093873341436
208,16,1,0.01141093873341436
209,17,1,0.01141093873341436
210,18,1,0.01141093873341436
211,19,1,0.01115736231711626
212,20,1,0.01115736231711626
213,21,1,0.011
214,22,1,0.011
215,23,1,0.011
216,0,1,0.0104
217,1,1,0.0104
218,2,1,0.0104
219,3,1,0.0104
220,4,1,0.0105487789061378
221,5,1,0.0105487789061378
222,6,1,0.01085307060535332
223,7,1,0.01085307060535332
224,8,1,0.01115736230456883
225,9,1,0.01115736230456883
226,10,1,0.01115736230456883
227,11,1,0.01115736230456883
228,12,1,0.01141093872058176
229,13,1,0.01141093872058176
230,14,1,0.01141093872058176
231,15,1,0.01141093872058176
232,16,1,0.01141093872058176
233,17,1,0.01141093872058176
234,18,1,0.01141093872058176
235,19,1,0.01115736230456883
236,20,1,0.01115736230456883
237,21,1,0.011
238,22,1,0.011
239,23,1,0.011
240,0,1,0.0104
241,1,1,0.0104
242,2,1,0.0104
243,3,1,0.0104
244,4,1,0.01054877890606883
245,5,1,0.01054877890606883
246,6,1,0.01085307060528235
247,7,1,0.01085307060528235
248,8,1,0.01115736230449587
249,9,1,0.01115736230449587
250,10,1,0.01115736230449587
251,11,1,0.01115736230449587
252,12,1,0.01141093872050714
253,13,1,0.01141093872050714
254,14,1,0.01141093872050714
255,15,1,0.01141093872050714
256,16,1,0.01141093872050714
257,17,1,0.01141093872050714
258,18,1,0.01141093872050714
259,19,1,0.01115736230449587
260,20,1,0.01115736230449587
261,21,1,0.011
262,22,1,0.011
263,23,1,0.011
264,0,1,0.0104
265,1,1,0.0104
266,2,1,0.0104
267,3,1,0.0104
268,4,1,0.01054877890606845
269,5,1,0.01054877890606845
270,6,1,0.01085307060528196
271,7,1,0.01085307060528196
272,8,1,0.01115736230449547
273,9,1,0.01115736230449547
274,10,1,0.01115736230449547
275,11,1,0.01115736230449547
276,12,1,0.01141093872050673
277,13,1,0.01141093872050673
278,14,1,0.01141093872050673
279,15,1,0.01141093872050673
280,16,1,0.01141093872050673
281,17,1,0.01141093872050673
282,18,1,0.01141093872050673
283,19,1,0.01115736230449547
284,20,1,0.01115736230449547
285,21,1,0.011
286,22,1,0.011
287,23,1,0.011
288,0,1,0.0104
289,1,1,0.0104
290,2,1,0.0104
291,3,1,0.0104
292,4,1,0.01054877890606841
293,5,1,0.01054877890606841
294,6,1,0.01085307060528192
295,7,1,0.01085307060528192
296,8,1,0.01115736230449543
297,9,1,0.01115736230449543
