cycle,hour_cyc,stp,value
4,4,1,0.00095
5,5,1,0.00095
6,6,1,0.00095
7,7,1,0.00095
8,8,1,0.00095
9,9,1,0.00095
10,10,1,0.00095
11,11,1,0.00095
12,12,1,0.00095
13,13,1,0.00095
14,14,1,0.00095
15,15,1,0.00095
16,16,1,0.00095
17,17,1,0.00095
18,18,1,0.00095
19,19,1,0.00095
20,20,1,0.00095
28,4,1,0.00095
29,5,1,0.00095
30,6,1,0.00095
31,7,1,0.00095
32,8,1,0.00095
33,9,1,0.00095
34,10,1,0.00095
35,11,1,0.00095
36,12,1,0.00095
37,13,1,0.00095
38,14,1,0.00095
39,15,1,0.00095
40,16,1,0.00095
41,17,1,0.00095
42,18,1,0.00095
43,19,1,0.00095
44,20,1,0.00095
52,4,1,0.00095
53,5,1,0.00095
54,6,1,0.00095
55,7,1,0.00095
56,8,1,0.00095
57,9,1,0.00095
58,10,1,0.00095
59,11,1,0.00095
60,12,1,0.00095
61,13,1,0.00095
62,14,1,0.00095
63,15,1,0.00095
64,16,1,0.00095
65,17,1,0.00095
66,18,1,0.00095
67,19,1,0.00095
68,20,1,0.00095
76,4,1,0.00095
77,5,1,0.00095
78,6,1,0.00095
79,7,1,0.00095
80,8,1,0.00095
81,9,1,0.00095
82,10,1,0.00095
83,11,1,0.00095
84,12,1,0.00095
85,13,1,0.00095
86,14,1,0.00095
87,15,1,0.00095
88,16,1,0.00095
89,17,1,0.00095
90,18,1,0.00095
91,19,1,0.00095
92,20,1,0.00095
100,4,1,0.00095
101,5,1,0.00095
102,6,1,0.00095
103,7,1,0.00095
104,8,1,0.00095
105,9,1,0.00095
106,10,1,0.00095
107,11,1,0.00095
108,12,1,0.00095
109,13,1,0.00095
110,14,1,0.00095
111,15,1,0.00095
112,16,1,0.00095
113,17,1,0.00095
114,18,1,0.00095
115,19,1,0.00095
116,20,1,0.00095
124,4,1,0.00095
125,5,1,0.00095
126,6,1,0.00095
127,7,1,0.00095
128,8,1,0.00095
129,9,1,0.00095
130,10,1,0.00095
131,11,1,0.00095
132,12,1,0.00095
133,13,1,0.00095
134,14,1,0.00095
135,15,1,0.00095
136,16,1,0.00095
137,17,1,0.00095
138,18,1,0.00095
139,19,1,0.00095
140,20,1,0.00095
148,4,1,0.00095
149,5,1,0.00095
150,6,1,0.00095
151,7,1,0.00095
152,8,1,0.00095
153,9,1,0.00095
154,10,1,0.00095
155,11,1,0.00095
156,12,1,0.00095
157,13,1,0.00095
158,14,1,0.00095
159,15,1,0.00095
160,16,1,0.00095
161,17,1,0.00095
162,18,1,0.00095
163,19,1,0.00095
164,20,1,0.00095
172,4,1,0.00095
173,5,1,0.00095
174,6,1,0.00095
175,7,1,0.00095
176,8,1,0.00095
177,9,1,0.00095
