cycle,hour_cyc,stp,value
0,0,1,0
24,0,1,0
48,0,1,0
72,0,1,0
96,0,1,0
120,0,1,0
144,0,1,0
168,0,1,0
192,0,1,0
216,0,1,0
240,0,1,0
264,0,1,0
288,0,1,0
312,0,1,0
336,0,1,0
360,0,1,0
384,0,1,0
408,0,1,0
432,0,1,0
456,0,1,0
480,0,1,0
504,0,1,1
528,0,1,1
552,0,1,1
576,0,1,1
600,0,1,1
624,0,1,1
648,0,1,1
672,0,1,1
696,0,1,1
720,0,1,1
744,0,1,1
768,0,1,1
792,0,1,1
816,0,1,1
840,0,1,1
864,0,1,1
888,0,1,1
912,0,1,1
936,0,1,1
960,0,1,1
984,0,1,2
1008,0,1,2
1032,0,1,2
1056,0,1,2
1080,0,1,2
1104,0,1,2
1128,0,1,2
1152,0,1,2
1176,0,1,2
1200,0,1,2
1224,0,1,2
1248,0,1,2
1272,0,1,2
1296,0,1,2
1320,0,1,2
1344,0,1,2
1368,0,1,2
1392,0,1,2
1416,0,1,2
1440,0,1,2
1464,0,1,2
1488,0,1,2
1512,0,1,2
1536,0,1,2
1560,0,1,2
1584,0,1,2
1608,0,1,2
1632,0,1,2
1656,0,1,2
1680,0,1,2
1704,0,1,2
1728,0,1,2
1752,0,1,2
1776,0,1,2
1800,0,1,2
1824,0,1,2
1848,0,1,2
1872,0,1,2
1896,0,1,2
1920,0,1,2
1944,0,1,2
1968,0,1,2
1992,0,1,2
2016,0,1,2
2040,0,1,2
2064,0,1,2
2088,0,1,2
2112,0,1,2
2136,0,1,2
2160,0,1,2
2184,0,1,2
2208,0,1,2
2232,0,1,2
2256,0,1,2
2280,0,1,2
2304,0,1,2
2328,0,1,2
2352,0,1,2
2376,0,1,2
2400,0,1,2
2424,0,1,2
2448,0,1,2
2472,0,1,2
2496,0,1,2
2520,0,1,2
2544,0,1,2
2568,0,1,2
2592,0,1,2
2616,0,1,2
2640,0,1,2
2664,0,1,2
2688,0,1,2
2712,0,1,2
2736,0,1,2
2760,0,1,2
2784,0,1,2
2808,0,1,2
2832,0,1,2
2856,0,1,2
2880,0,1,2
2904,0,1,2
2928,0,1,2
2952,0,1,2
2976,0,1,2
3000,0,1,2
3024,0,1,2
3048,0,1,2
3072,0,1,2
3096,0,1,2
3120,0,1,2
3144,0,1,2
3168,0,1,2
3192,0,1,2
3216,0,1,2
3240,0,1,2
3264,0,1,2
3288,0,1,2
3312,0,1,2
3336,0,1,2
3360,0,1,2
3384,0,1,2
3408,0,1,2
3432,0,1,2
3456,0,1,2
3480,0,1,2
3504,0,1,2
3528,0,1,2
