cycle,hour_cyc,stp,value
0,0,1,0.33
0,0,2,0.33
24,0,1,0.33
24,0,2,0.33
48,0,1,0.33
48,0,2,0.33
72,0,1,0.33
72,0,2,0.33
96,0,1,0.33
96,0,2,0.33
120,0,1,0.33
120,0,2,0.33
144,0,1,0.33
144,0,2,0.33
168,0,1,0.33
168,0,2,0.33
192,0,1,0.33
192,0,2,0.33
216,0,1,0.33
216,0,2,0.33
240,0,1,0.33
240,0,2,0.33
264,0,1,0.33
264,0,2,0.33
288,0,1,0.33
288,0,2,0.33
312,0,1,0.33
312,0,2,0.33
336,0,1,0.33
336,0,2,0.33
360,0,1,0.33
360,0,2,0.33
384,0,1,0.33
384,0,2,0.33
408,0,1,0.33
408,0,2,0.33
432,0,1,0.33
432,0,2,0.33
456,0,1,0.33
456,0,2,0.33
480,0,1,0.33
480,0,2,0.33
504,0,1,0.33
504,0,2,0.33
528,0,1,0.33
528,0,2,0.33
552,0,1,0.33
552,0,2,0.33
576,0,1,0.33
576,0,2,0.33
600,0,1,0.33
600,0,2,0.33
624,0,1,0.33
624,0,2,0.33
648,0,1,0.33
648,0,2,0.33
672,0,1,0.33
672,0,2,0.33
696,0,1,0.33
696,0,2,0.33
720,0,1,0.33
720,0,2,0.33
744,0,1,0.33
744,0,2,0.33
768,0,1,0.33
768,0,2,0.33
792,0,1,0.33
792,0,2,0.33
816,0,1,0.33
816,0,2,0.33
840,0,1,0.33
840,0,2,0.33
864,0,1,0.33
864,0,2,0.33
888,0,1,0.33
888,0,2,0.33
912,0,1,0.33
912,0,2,0.33
936,0,1,0.33
936,0,2,0.33
960,0,1,0.33
960,0,2,0.33
984,0,1,0.33
984,0,2,0.33
1008,0,1,0.33
1008,0,2,0.33
1032,0,1,0.33
1032,0,2,0.33
1056,0,1,0.33
1056,0,2,0.33
1080,0,1,0.33
1080,0,2,0.33
1104,0,1,0.33
1104,0,2,0.33
1128,0,1,0.33
1128,0,2,0.33
1152,0,1,0.33
1152,0,2,0.33
1176,0,1,0.33
1176,0,2,0.33
1200,0,1,0.33
1200,0,2,0.33
1224,0,1,0.33
1224,0,2,0.33
1248,0,1,0.33
1248,0,2,0.33
1272,0,1,0.33
1272,0,2,0.33
1296,0,1,0.33
1296,0,2,0.33
1320,0,1,0.33
1320,0,2,0.33
1344,0,1,0.33
1344,0,2,0.33
1368,0,1,0.33
1368,0,2,0.33
1392,0,1,0.33
1392,0,2,0.33
1416,0,1,0.33
1416,0,2,0.33
1440,0,1,0.33
1440,0,2,0.33
1464,0,1,0.33
1464,0,2,0.33
1488,0,1,0.33
1488,0,2,0.33
1512,0,1,0.33
1512,0,2,0.33
1536,0,1,0.33
1536,0,2,0.33
1560,0,1,0.33
1560,0,2,0.33
1584,0,1,0.33
1584,0,2,0.33
1608,0,1,0.33
1608,0,2,0.33
1632,0,1,0.33
1632,0,2,0.33
1656,0,1,0.33
1656,0,2,0.33
1680,0,1,0.33
1680,0,2,0.33
1704,0,1,0.33
1704,0,2,0.33
1728,0,1,0.33
1728,0,2,0.33
1752,0,1,0.33
1752,0,2,0.33
1776,0,1,0.33
1776,0,2,0.33
1800,0,1,0.33
1800,0,2,0.33
1824,0,1,0.33
1824,0,2,0.33
1848,0,1,0.33
1848,0,2,0.33
1872,0,1,0.33
1872,0,2,0.33
1896,0,1,0.33
1896,0,2,0.33
1920,0,1,0.33
1920,0,2,0.33
1944,0,1,0.33
1944,0,2,0.33
1968,0,1,0.33
1968,0,2,0.33
1992,0,1,0.33
1992,0,2,0.33
2016,0,1,0.33
2016,0,2,0.33
2040,0,1,0.33
2040,0,2,0.33
2064,0,1,0.33
2064,0,2,0.33
2088,0,1,0.33
2088,0,2,0.33
2112,0,1,0.33
2112,0,2,0.33
2136,0,1,0.33
2136,0,2,0.33
2160,0,1,0.33
2160,0,2,0.33
2184,0,1,0.33
2184,0,2,0.33
2208,0,1,0.33
2208,0,2,0.33
2232,0,1,0.33
2232,0,2,0.33
2256,0,1,0.33
2256,0,2,0.33
2280,0,1,0.33
2280,0,2,0.33
2304,0,1,0.33
2304,0,2,0.33
2328,0,1,0.33
2328,0,2,0.33
2352,0,1,0.33
2352,0,2,0.33
2376,0,1,0.33
2376,0,2,0.33
2400,0,1,0.33
2400,0,2,0.33
2424,0,1,0.33
2424,0,2,0.33
2448,0,1,0.33
2448,0,2,0.33
2472,0,1,0.33
2472,0,2,0.33
2496,0,1,0.33
2496,0,2,0.33
2520,0,1,0.33
2520,0,2,0.33
2544,0,1,0.33
2544,0,2,0.33
2568,0,1,0.33
2568,0,2,0.33
2592,0,1,0.33
2592,0,2,0.33
2616,0,1,0.33
2616,0,2,0.33
